"Downloaded on",03/05/2025,"13:27:00 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2299%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2469",https://www.congress.gov/bill/99th-congress/senate-bill/2469,"99th Congress (1985-1986)","A bill to amend the Immigration and Nationality Act to restrict the examination of children who apply for naturalization.","Bradley, Bill [Sen.-D-NJ] (Introduced 05/20/1986)",Democratic,05/20/1986,"Senate - Judiciary","Committee on Judiciary requested executive comment from Justice Department.",05/29/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Children and youth",Families,Immigration,Naturalization,"Youth services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Immigration and Nationality Act to prohibit the naturalization examination of persons under 18 years old unless:  (1) the Attorney General determines the likelihood of fraud; or (2) in the case of a child between 15 years old and 18 years old, the Attorney General specifically requires such examination.",,,,,,
"S. 2467",https://www.congress.gov/bill/99th-congress/senate-bill/2467,"99th Congress (1985-1986)","A bill to approve an interstate highway project in Hawaii.","Inouye, Daniel K. [Sen.-D-HI] (Introduced 05/20/1986)",Democratic,05/20/1986,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",05/20/1986,"Matsunaga, Spark M. [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hawaii,"Highway construction and repair","Highway engineering","Interstate highway system","Roads and highways","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Directs the Secretary of Transportation to approve construction of a portion of Interstate Route H-3 in Hawaii between the Halawa interchange and the Halekou interchange, including the latter interchange.",,,,,,
"S. 2466",https://www.congress.gov/bill/99th-congress/senate-bill/2466,"99th Congress (1985-1986)","A bill to designate a segment of the Saline Bayou in Louisiana as a component of the National Wild and Scenic Rivers System.","Johnston, J. Bennett [Sen.-D-LA] (Introduced 05/20/1986)",Democratic,05/20/1986,"Senate - Energy and Natural Resources","Indefinitely postponed by Senate by Voice Vote.",10/17/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Louisiana,Management,"Parks and Natural Areas","Public Lands and Natural Resources",Rivers,"Volunteer workers","Water and Water Resources Development","Water pollution control","Wild rivers","Wilderness areas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"(Measure indefinitely postponed in Senate) <p>Amends the Wild and Scenic Rivers Act to designate the Saline Bayou, Louisiana, as a component of the National Wild and Scenic Rivers System. Authorizes appropriations. <p>Makes technical amendments to the Wild and Scenic Rivers Act.  Requires maps of designated river segments to be available for public inspection. Requires the preparation of management plans to protect river values for all rivers designated after 1985. <p>Extends the time for submission of studies of four rivers until the start of 1987. Authorizes appropriations. <p>Expands the cooperative authorities of Federal agencies for the planning and management of river resources. <p>Encourages the use of volunteer assistance. <p>Makes the Administrator of the Environmental Protection Agency (currently, the Secretary of the Interior) in charge of abating river water pollution. <p>Authorizes the donation of land interests to private nonprofit organizations for conservation purposes. <p>Redefines scenic easement for purposes of such Act.",,,,,,
"S. 2465",https://www.congress.gov/bill/99th-congress/senate-bill/2465,"99th Congress (1985-1986)","A bill to amend section 207(e) of title 18, United States Code, to require that the Executive Office of the President be treated as a single agency or department.","Hart, Gary W. [Sen.-D-CO] (Introduced 05/20/1986)",Democratic,05/20/1986,"Senate - Judiciary","Committee on Judiciary requested executive comment from Justice Department.",06/02/1986,"Boren, David L. [Sen.-D-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Conflict of interests","Executive Office of the President","Federal employees and officials","Federal officials","Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4857,,,CRS,Senate,"05/29/1986 Referred to Subcommittee on Administrative Law and Governmental Relations.",,,"<p>Requires that the Executive Office of the President be treated as a department or agency without any separate agencies or bureaus for purposes of determining conflicts of interests of certain former Federal officials.",,,,,,
"S. 2463",https://www.congress.gov/bill/99th-congress/senate-bill/2463,"99th Congress (1985-1986)","A bill to amend the Internal Revenue Code of 1954 to permit individuals to receive tax-free distributions from an individual retirement account or annuity to purchase their first home, and for other purposes.","Riegle, Donald W., Jr. [Sen.-D-MI] (Introduced 05/15/1986)",Democratic,05/15/1986,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/15/1986,"Cranston, Alan [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Home ownership","Housing and Housing Finance","Housing finance","Income tax","Individual retirement accounts","Tax-deferred compensation plans",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>First-Time Homebuyer Opportunity Act of 1986 - Amends the Internal Revenue Code to allow distributions from an individual retirement account or annuity to be used to purchase a home by a first-time homebuyer.  Limits the amount of such a distribution to a $10,000 aggregate maximum.  Defines a ""first-time homebuyer"" as any individual who has had no present ownership interest in a principal residence during the three-year period prior to the purchase of the principal residence for which individual retirement account distributions are used.",,,,,,
"S. 2462",https://www.congress.gov/bill/99th-congress/senate-bill/2462,"99th Congress (1985-1986)","A bill to provide for the awarding of a special gold medal to Aaron Copland.","Kennedy, Edward M. [Sen.-D-MA] (Introduced 05/15/1986)",Democratic,05/15/1986,"House - Banking, Finance, and Urban Affairs | Senate - Banking, Housing, and Urban Affairs","Became Public Law No: 99-418.",09/23/1986,"Andrews, Mark [Sen.-R-ND]","Danforth, John C. [Sen.-R-MO]","Kerry, John F. [Sen.-D-MA]","Lugar, Richard G. [Sen.-R-IN]","Moynihan, Daniel Patrick [Sen.-D-NY]","Pell, Claiborne [Sen.-D-RI]","Stennis, John C. [Sen.-D-MS]","Cranston, Alan [Sen.-D-CA]","Simpson, Alan K. [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Authors and authorship","Awards, medals, prizes",Commemorations,"Congressional tributes",Music,"Arts, Culture, Religion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3041,,,CRS,,"09/09/1986 Other Measure S.2462 Passed House in Lieu.",,,"(Measure passed Senate, amended) <p>Authorizes the President, on behalf of the Congress, to present a gold medal to Aaron Copland in recognition of his contributions to American musical composition. <p>Authorizes the Secretary of the Treasury to provide for the sale of bronze duplicates of the medal. <p>Authorizes appropriations.",,,,,,
"S. 2461",https://www.congress.gov/bill/99th-congress/senate-bill/2461,"99th Congress (1985-1986)","A bill to amend part C of the Balanced Budget and Emergency Deficit Control Act of 1985 to exempt certain benefits payable from the Military Retirement Fund from sequestration or reduction under an order issued by the President under section 252 of such Act.","Hollings, Ernest F. [Sen.-D-SC] (Introduced 05/15/1986)",Democratic,05/15/1986,"Senate - Governmental Affairs","Read twice and referred to the Committee on Governmental Affairs.",05/15/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security","Budget deficits","Economics and Public Finance","Federal budgets","Government spending reductions","Government trust funds","Military pensions","Survivors' benefits","Veterans' disability compensation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Balanced Budget and Emergency Deficit Control Act of 1985 (Gramm-Rudman-Hollings Act) to exempt from any sequestration or reduction order issued by the President under such Act certain specified veterans' disability and survivors' benefits payable from the Military Retirement Fund.",,,,,,
"S. 2458",https://www.congress.gov/bill/99th-congress/senate-bill/2458,"99th Congress (1985-1986)","A bill to clarify the antitrust exemption of the business of insurance, and for other purposes.","Simon, Paul [Sen.-D-IL] (Introduced 05/15/1986)",Democratic,05/15/1986,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",05/15/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Antitrust law","Antitrust policy","Business and commerce",Commerce,"Federal preemption","Federal-state relations",Insurance,"Price fixing","State laws",States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Insurance Competition Act of 1986 - Revises the applicability of the Federal antitrust laws to the insurance industry.  Specifies limited activities that may be subject to an exempt agreement, understanding, or concert of action between or among insurers, members of an advisory organization, or other persons.  Provides that no agreement, understanding, contract, or combination among such parties to fix rates or proposed rates for commercial risk insurance shall be exempt from such laws by reason of any State law, rule, or regulation permitting, but not requiring, any such agreement, understanding, contract, or combination.  Permits insurers participating in joint underwriting pools, or residual market mechanisms to cooperate with each other in the following activities if the residual market mechanism is required by law or approved by a government agency, or if the joint underwriting pools do not unreasonably restrain trade: (1) making rates, rating systems, policy forms, underwriting rules, surveys, inspections, and investigations; (2) furnishing loss statistics; and (3) carrying on research on causes or the prevention of losses. Permits any State to: (1) establish or approve a residual market mechanism; and (2) require a workers' compensation and employers' liability insurer to adhere to the uniform classification system and uniform rating plan applicable to such types of insurance in such State.",,,,,,
"S. 2455",https://www.congress.gov/bill/99th-congress/senate-bill/2455,"99th Congress (1985-1986)","A bill entitled the National Organ and Tissue Donor Act.","Mitchell, George J. [Sen.-D-ME] (Introduced 05/15/1986)",Democratic,05/15/1986,"Senate - Labor and Human Resources","Read twice and referred to the Committee on Labor and Human Resources.",05/15/1986,"Cohen, William S. [Sen.-R-ME]","Nunn, Sam [Sen.-D-GA]","Thurmond, Strom [Sen.-R-SC]","DeConcini, Dennis [Sen.-D-AZ]","Harkin, Tom [Sen.-D-IA]","Zorinsky, Edward [Sen.-D-NE]","Bumpers, Dale [Sen.-D-AR]","Glenn, John H., Jr. [Sen.-D-OH]","Hecht, Chic [Sen.-R-NV]","Exon, J. James [Sen.-D-NE]","Riegle, Donald W., Jr. [Sen.-D-MI]","Grassley, Chuck [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"Donation of organs, tissues, etc.",Health,"Health facilities",Hospitals,"State laws",States,Surgery,"Transplantation of organs, tissues, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Public Health Service Act to direct the Secretary of Health and Human Services to encourage and assist States in enacting and implementing State laws requiring hospitals to establish protocols for identifying and assisting potential human organ and tissue donors. <p>Directs the Secretary to report to the Congress within one year on such activities.",,,,,,
"S. 2452",https://www.congress.gov/bill/99th-congress/senate-bill/2452,"99th Congress (1985-1986)","A bill to designate the United States Post Office to be constructed in Barnwell, South Carolina, as the ""Solomon Blatt, Sr., Post Office Building"".","Hollings, Ernest F. [Sen.-D-SC] (Introduced 05/15/1986)",Democratic,05/15/1986,"House - Post Office and Civil Service | Senate - Governmental Affairs","Became Public Law No: 99-636.",11/07/1986,"Thurmond, Strom [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,California,"Federal installations","Government Operations and Politics",Louisiana,Missouri,Names,"New Jersey","New York State","Postal Services and Facilities","Postal facilities","South Carolina",Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.633,,,CRS,,"10/15/1986 See S.2452.",,,"(Measure passed House, amended) <p>Designates certain postal facilities as follows: (1) the Post Office to be constructed on Main Street, Barnwell, South Carolina, as the Solomon Blatt, Sr., Post Office Building; (2) the building on North Kings Highway, St. Louis, Missouri, as the Frederick N. Weathers station of the United States Postal Service; (3) the Post Office on Main Street, Flushing, New York, as the Benjamin S. Rosenthal Post Office Building; (4) the building to be constructed at Florida and Central Avenues, Los Angeles, California, as the Leslie Nelson Shaw, Sr., General Mail Facility of the United States Postal Service; (5) the building located at 2909 Rogerdale, Houston, Texas, as the Debra Sue Schatz Post Office Building; (6) the building at East Second Street and Chester Avenue, Moorestown, New Jersey, as the Edwin B. Forsythe Post Office Building; (7) the building located on South Ervay, Dallas, Texas, as the Juanita Craft Post Office of South Dallas; and (8) the building being constructed at Belle Terre Boulevard, La Place, Louisiana, as the Gillis W. Long Post Office Building.",,,,,,
"S. 2451",https://www.congress.gov/bill/99th-congress/senate-bill/2451,"99th Congress (1985-1986)","A bill to provide for entry into the United States of sugar only from friendly developing countries, to provide for entry of sugar from the Philippines on at least as favorable terms as sugar from any other country, and for other purposes.","Melcher, John [Sen.-D-MT] (Introduced 05/14/1986)",Democratic,05/14/1986,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/14/1986,"Inouye, Daniel K. [Sen.-D-HI]","Kerry, John F. [Sen.-D-MA]","Quayle, Dan [Sen.-R-IN]","Pressler, Larry [Sen.-R-SD]","Nunn, Sam [Sen.-D-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Agriculture and Rural Affairs","Agriculture in foreign trade","Developing countries","Foreign Trade and Investments","Foreign Trade and International Finance",Imports,Philippines,"Sugar and sugar trade",Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Philippines Sugar Quota Act of 1986 - Prohibits certain countries (listed in headnote 3, subpart A of part 10 of schedule 1 of the Tariff Schedules of the United States) from being eligible to receive an allocation of the total base quota of imported sugars unless such country is a friendly developing country and a net exporter of sugars.  Requires the quota to be reallocated among the remaining countries on a proportional basis provided that the amounts shall first be reallocated to the Philippines to the extent that country's allocation is less than the percentage allocated to any other country. <p>Grants duty-free treatment to sugar imports from the Philippines during any calendar year in which such imports from any other country are granted duty-free treatment.  Prohibits granting sugar imports from any country more favorable treatment than is granted sugar imports from the Philippines.",,,,,,
"S. 2442",https://www.congress.gov/bill/99th-congress/senate-bill/2442,"99th Congress (1985-1986)","A bill to establish the San Pedro Riparian National Conservation Area in Cochise County, Arizona, in order to assure the protection of the riparian, wildlife, archaeological, paleontological, scientific, cultural, educational, and recreational resources of the conservation area, and for other purposes.","DeConcini, Dennis [Sen.-D-AZ] (Introduced 05/13/1986)",Democratic,05/13/1986,"Senate - Energy and Natural Resources","Subcommittee on Public Lands and Reserved Water. Hearings held.",09/23/1986,"Goldwater, Barry [Sen.-R-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Advisory bodies","Animals and Animal Protection",Arizona,"Conservation of natural resources","Environmental Protection","Federal advisory bodies","Nature conservation","Wildlife conservation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4811,,,CRS,Senate,"09/23/1986 Subcommittee on Public Lands and Reserved Water. Hearings held.",,,"<p>Establishes the San Pedro Riparian National Conservation Area, Arizona.  Directs the Secretary of the Interior to develop, within two years, a comprehensive management plan for such area to protect the natural riparian, wildlife, cultural, and recreational resources. <p>Directs the Secretary to establish a Multiple Use Advisory Council for such Area. <p>Requires the Secretary to report within five years to the Congress on the implementation of this Act. Authorizes appropriations.",,,,,,
"S. 2439",https://www.congress.gov/bill/99th-congress/senate-bill/2439,"99th Congress (1985-1986)","Federal Onshore Competitive Oil and Gas Leasing Act of 1986","Bumpers, Dale [Sen.-D-AR] (Introduced 05/13/1986)",Democratic,05/13/1986,"Senate - Energy and Natural Resources","Placed on Senate Legislative Calendar under General Orders. Calendar No. 861.",08/15/1986,"Bradley, Bill [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alaska,Competition,"Courts and Civil Procedure",Energy,"Fines (Penalties)",Fraud,"Oil and gas leases","Oil and gas royalties",Petroleum,"Petroleum and petroleum products","Public Lands and Real Property","Public Lands and Natural Resources","Civil actions and liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"(Reported to Senate from the Committee on Energy and Natural Resources with amendment, S. Rept. 99-412)  <p>Federal Onshore Competitive Oil and Gas Leasing Act of 1986 - Amends Federal law regarding competitive leasing of oil and gas for onshore Federal lands to increase from 640 acres to 2,560 acres the units of land open to competitive leasing. <p>Provides for lease sales to be:  (1) conducted by oral bidding or by a combination of oral and sealed bidding; and (2) held at least quarterly in each State (or more frequently at the Secretary's discretion).  Requires the Secretary of the Interior to accept the highest bid which is at least $20 or greater per acre without evaluation of the economic or geologic value of the lands proposed for lease. Requires that all bids for less than $20 per acre be rejected. <p>Makes lands available for leasing for a one-year period if the highest bid received for such lands was less than $20 per acre. <p>Describes circumstances under which certain lands may be leased without competitive bidding. <p>Authorizes the Secretary to disapprove partial assignments of less than 640 acres outside of Alaska, or of less than 2,560 acres within Alaska. <p>Subjects a lease to cancellation by the Secretary after 30 days' notice for noncompliance with the lease terms unless:  (1) the leasehold contains a well capable of production of oil or gas in paying quantities; or (2) the lease is committed to an approved cooperative or unit plan or communitization agreement which contains a well capable of production of unitized substances in paying quantities. <p>Amends the Alaska National Interest Lands Conservation Act to make leasing in Alaska consistent with that in the contiguous 48 States.  Repeals provisions regarding:  (1) determination of favorable petroleum geological provinces; and (2) suspension of noncompetitive leasing. <p>Establishes an interim period during which certain pending lease applications will be processed as they would have been prior to the date of enactment of this Act. <p>Prohibits noncompetitive lease applications for specified lands from being processed until such lands are posted for competitive bidding in accordance with this Act. <p>Requires the Secretary to hold at least one competitive lease sale for tracts which but for this Act would have been posted for the filing of simultaneous oil and gas lease applications.  Permits the inclusion in such sale of certain tracts which had over-the-counter noncompetitive oil and gas lease offers. <p>Imposes civil penalties upon persons who willfully and knowingly misrepresent the value of lands and leases under this Act.  Grants to the States concurrent civil and criminal jurisdiction for violations of this Act.",,,,,,
"S. 2437",https://www.congress.gov/bill/99th-congress/senate-bill/2437,"99th Congress (1985-1986)","A bill to remove foreign policy controls on exports to the Soviet Union of oil and gas equipment and technology.","Bentsen, Lloyd M. [Sen.-D-TX] (Introduced 05/12/1986)",Democratic,05/12/1986,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking.",05/12/1986,"Heinz, John [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Equipment and supplies","Export controls",Exports,"Foreign Trade and Investments","Foreign Trade and International Finance","Petroleum and petroleum products","Petroleum engineering",U.S.S.R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5444,,,CRS,Senate,"08/22/1986 Referred to Subcommittee on International Economic Policy and Trade.",,,"<p>Petroleum Equipment Export Act of 1986 - Rescinds foreign policy export controls on the export of oil and gas equipment and technology to the Soviet Union. <p>Retains national security export controls covering the export of goods or technology to the Soviet Union.",,,,,,
