"Downloaded on",03/04/2025,"18:29:41 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22100%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2251",https://www.congress.gov/bill/100th-congress/senate-bill/2251,"100th Congress (1987-1988)","A bill to protect all Federal law enforcement officers and State and local law enforcement officers and corrections officers involved in drug law enforcement by providing for the imposition of the death penalty for killing any such law enforcement officer or corrections officer and to increase the Federal public safety officer death benefit.","Wilson, Pete [Sen.-R-CA] (Introduced 03/31/1988)",Republican,03/31/1988,"Senate - Judiciary","Referred to Subcommittee on Constitution.",05/04/1988,"D'Amato, Alfonse [Sen.-R-NY]","Karnes, David K. [Sen.-R-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Capital punishment","Civil service compensation","Correctional personnel","Corrections and Correctional Institutions","Courts and Civil Procedure","Crime and Law Enforcement","Crime prevention","Criminal procedure and sentencing","Criminal procedure",Discrimination,"Drugs and narcotics","Federal employees","Federal employees and officials","Fire fighters","Fires and Fire Fighters",Homicide,"Judicial review",Juries,"Law enforcement officers",Murder,"Narcotic traffic","Pregnant women",Prisoners,"Sentences (Criminal procedure)","Survivors' benefits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Law Enforcement Officers Protection Act - Amends the Federal criminal code to provide for the imposition of the death penalty (or a sentence of life imprisonment without the possibility of parole) for:  (1) the first degree murder of a Federal law enforcement officer (including persons involved in the prevention, investigation, prosecution, or adjudication of an offense and corrections, probation, and parole functions); (2) killing a State or local law enforcement officer during the commission of a Controlled Substances Act violation (provides a penalty of up to 20 years' imprisonment for the attempted murder of such officers); and (3) killing a State or local corrections officer while serving a sentence for a Controlled Substances Act offense (provides a penalty of up to 20 years' imprisonment for the attempted murder of such officials). <p>Requires the Government, for such offense, to serve notice upon the defendant a reasonable time before trial or acceptance of a plea, disclosing that it intends to seek the death penalty and the aggravating factors upon which it will rely. <p>Requires a separate sentencing hearing before a jury, or the court upon motion by the defendant, when the defendant is found guilty or pleads guilty to such offense. <p>Allows the defendant and the Government to present any information relevant to sentencing, without regard to the rules of evidence, but permits information to be excluded where its probative value is substantially outweighed by the danger of unfair prejudice, confusion of the issues, or misleading of the jury. <p>Directs the court, or the jury by unanimous vote, to impose the death penalty upon finding that such sentence is justified based on consideration of both aggravating and mitigating factors. <p>Sets forth some mitigating factors to be considered by the jury or the court when imposing its sentence.  Includes as aggravating factors to be considered by the jury or the court:  (1) the intentional nature of the act which resulted in the victim's death; (2) previous convictions for offenses for which life imprisonment or death is authorized; and (3) the especially heinous, cruel, or depraved nature of the offense. <p>Requires the court to instruct the jury not to consider the race, color, national origin, creed, or sex of the defendant in its consideration of the sentence. <p>Allows the court to impose a sentence of life imprisonment without the possibility of parole for such offenses when the death penalty is not imposed. <p>Establishes procedures for appeal from a death sentence. Requires the Court of Appeals, upon consideration of the record and the information and procedures of the sentencing hearing, to affirm the decision if: (1) the sentence was not imposed under the influence of passion, prejudice, or arbitrariness; and (2) the information supports the finding of aggravating factors or the absence of mitigating factors. Requires the court to provide a written explanation of its determination. <p>States that a sentence of death shall not be carried out upon a pregnant woman. <p>Amends the Omnibus Crime Control and Safe Streets Act of 1968 to increase from $50,000 to $100,000 the benefits paid to survivors of public safety officers (law enforcement officers and fire fighters) who died as a result of injuries sustained in the line of duty.",,,,,,
"S. 2249",https://www.congress.gov/bill/100th-congress/senate-bill/2249,"100th Congress (1987-1988)","A bill to amend the Internal Revenue Code of 1986 with respect to the creditability of taxes paid to the Republic of Panama.","Durenberger, Dave [Sen.-R-MN] (Introduced 03/31/1988)",Republican,03/31/1988,"Senate - Finance","Read twice and referred to the Committee on Finance.",03/31/1988,"Symms, Steven D. [Sen.-R-ID]","Boren, David L. [Sen.-D-OK]","Boschwitz, Rudy [Sen.-R-MN]","D'Amato, Alfonse [Sen.-R-NY]","Dole, Robert J. [Sen.-R-KS]","Garn, E. J. (Jake) [Sen.-R-UT]","Helms, Jesse [Sen.-R-NC]","Kennedy, Edward M. [Sen.-D-MA]","Kerry, John F. [Sen.-D-MA]","Nickles, Don [Sen.-R-OK]","Wilson, Pete [Sen.-R-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,"American investments","Corporations and Stocks","Foreign Trade and Investments","Foreign tax credit","Foreign Trade and International Finance","Income tax","International Affairs",Panama,"Sanctions (International law)","Tax credits","Tax deductions",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Internal Revenue Code to disallow both an income tax deduction and application of the foreign tax credit in connection with taxes paid or accrued after March 24, 1988, to the Republic of Panama, except for taxes paid to the government recognized as legitimate by the United States. <p>Terminates these limitations when the Secretary of State certifies to the Congress that progress toward restoration of constitutional government in Panama has been made.",,,,,,
"S. 2248",https://www.congress.gov/bill/100th-congress/senate-bill/2248,"100th Congress (1987-1988)","A bill to designate the United States Courthouse located at 156 Federal Street in Portland, maine, as the ""Edward Thaxter Gignoux United States Courthouse.","Cohen, William S. [Sen.-R-ME] (Introduced 03/31/1988)",Republican,03/31/1988,"House - Public Works and Transportation | Senate - Environment and Public Works","Became Public Law No: 100-374.",07/19/1988,"Mitchell, George J. [Sen.-D-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Courthouses,"Federal office buildings","Government Operations and Politics",Maine,Names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4525,,,,CRS,,,"07/07/1988 Other Measure S.2248 Passed House in Lieu.",,,"<p>Designates the United States Courthouse at 156 Federal Street, Portland, Maine, as the Edward Thaxter Gignoux United States Courthouse.",,,,,,
"S. 2247",https://www.congress.gov/bill/100th-congress/senate-bill/2247,"100th Congress (1987-1988)","A bill to modify restrictions on the use of certain property conveyed to the Peninsula Airport Commission.","Trible, Paul S., Jr. [Sen.-R-VA] (Introduced 03/31/1988)",Republican,03/31/1988,"House - Public Works and Transportation | Senate - Commerce, Science, and Transportation","Referred to Subcommittee on Aviation.",07/11/1988,"Warner, John [Sen.-R-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Airports,Aviation,"Land transfers","Public Lands and Real Property","Transportation and Public Works",Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"(Measure passed Senate, amended) <p>Repeals property conveyance restrictions placed upon certain property transferred to the Peninsula Airport Commission, Virginia, relating to:  (1) the total acreage for which the Secretary of Transportation may grant releases; and (2) such Commission's conveyance of any property interest to persons other than the City of Newport News, Virginia.",,,,,,
"S. 2241",https://www.congress.gov/bill/100th-congress/senate-bill/2241,"100th Congress (1987-1988)","A bill to amend title 5, United States Code, to prohibit reimbursement by the United States of costs incurred by contractors in connection with proceedings relating to violations of laws or regulations.","Grassley, Chuck [Sen.-R-IA] (Introduced 03/31/1988)",Republican,03/31/1988,"Senate - Governmental Affairs","Read twice and referred to the Committee on Governmental Affairs.",03/31/1988,"Harkin, Tom [Sen.-D-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Courts and Civil Procedure","Government contractors","Government Operations and Politics","Lawyers and legal services","Legal fees","Public Contracts, Procurement, and Property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Contractor Legal Fees Reform Act of 1988 - Prohibits the United States from reimbursing a contractor for any costs incurred by such contractor in connection with any proceeding that relates to a violation of, or failure to comply with, any Federal, State, or local law or regulation on the part of the contractor if the proceeding results in: (1) certain civil, criminal, or administrative action; or (2) debarment of the contractor or rescission of the contract. <p>Prohibits the United States from paying contractor attorney fee costs incurred in connection with violation proceedings not resulting in adverse actions, in excess of $75 per hour, unless the contracting officer, the agency board of contract appeals, or the person or body representing the agency involved finds that a special factor justifies an award of higher fees.",,,,,,
"S. 2239",https://www.congress.gov/bill/100th-congress/senate-bill/2239,"100th Congress (1987-1988)","A bill to authorize the provision of trauma care for victims of the Nicaraguan civil war.","Hatfield, Mark O. [Sen.-R-OR] (Introduced 03/31/1988)",Republican,03/31/1988,"Senate - Foreign Relations","Read twice and referred to the Committee on Foreign Relations.",03/31/1988,"Chafee, John H. [Sen.-R-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"American economic assistance","Emergency medical services",Health,"Health facilities",Hospitals,Insurgency,"International Affairs",Nicaragua,Rehabilitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Directs the Agency for International Development to provide trauma care for victims of the Nicaraguan civil war through a contract with the Brown University Medical School's International Health Institute. <p>Specifies that such care shall include:  (1) a medical evacuation system; (2) a trauma care hospital center; and (3) a rehabilitation capability. <p>Directs that such care be provided:  (1) in accordance with guidelines specified by the American College of Surgeons; (2) on a nondiscriminatory basis; and (3) consistent with the requirements of the 1977 Protocols to the Geneva Conventions of 1949, the Esquipulas II Accord of August 1987, and the March 23, 1988, Nicaraguan ceasefire agreement. <p>Makes assistance under this Act contingent upon the approval of the Government of Nicaragua and the Nicaraguan resistance and upon assurance that no reprisals will be taken against wounded persons and that the trauma center established would not be subject to any harassment. <p>Recommends a hospital in La Trinidad, Nicaragua, as the site of the trauma center. <p>Authorizes appropriations.",,,,,,
"S. 2237",https://www.congress.gov/bill/100th-congress/senate-bill/2237,"100th Congress (1987-1988)","A bill to exempt organization determination letters from the user fee program.","Symms, Steven D. [Sen.-R-ID] (Introduced 03/31/1988)",Republican,03/31/1988,"Senate - Finance","Read twice and referred to the Committee on Finance.",03/31/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Department of the Treasury","Government paperwork","Government records, documents, and information","Income tax","Internal Revenue Service (IRS)","Tax-exempt organizations",Taxation,"User charges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Revenue Act of 1987 to exclude exempt organization determination letters from the program requiring user fee payments in connection with various requests to the Internal Revenue Service.",,,,,,
"S. 2235",https://www.congress.gov/bill/100th-congress/senate-bill/2235,"100th Congress (1987-1988)","A bill to provide tax incentives and assistance to low income working families.","Wallop, Malcolm [Sen.-R-WY] (Introduced 03/30/1988)",Republican,03/30/1988,"Senate - Finance","Read twice and referred to the Committee on Finance.",03/30/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Child support","Children and youth",Costs,"Day care","Domestic Relations and Families",Earnings,"Economics and Public Finance","Excise tax",Families,"Federal aid to child welfare","Income tax","Indexing (Economic policy)",Inflation,"Social Welfare","State finance",States,"Support of dependents","Tax credits",Taxation,Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Employment Incentive Act of 1988 - <b>Title I:  The Family Earned Income Tax Credit</b> - Amends Internal Revenue Code provisions governing the earned income tax credit to:  (1) increase from $5,714 to $7,143 the amount of earned income subject to the credit; and (2) increase the credit percentage incrementally from 14 percent to 35 percent, adjusted annually for inflation, as the number of the taxpayer's dependent children increases from one to four or more. <p><b>Title II: Child Care Tax Credits</b> - Allows an individual taxpayer a refundable income tax credit, in an amount based on adjusted gross income (minimum credit of $150), for each dependent below the age of compulsory school attendance in the State where the taxpayer resides. <p>Disallows application of the nonrefundable dependent care income tax credit with respect to a taxpayer's dependents under age 15, unless the child is physically or mentally incapable of self-care. <p><b>Title III:  Child Support Tax</b> - Imposes a child support tax on every liable absent parent (one who is absent on other than a temporary basis, who has a legal obligation under State law to furnish child support, and whose whereabouts are known).  Bases the rate of the tax (maximum rate is 40%) on the number of children to whom the parent has support obligations.  Applies in connection with this tax the same withholding, information return, penalty, and other administrative provisions currently applied with respect to income tax collection. <p>Amends part D (Child Support and Establishment of Paternity) of title IV of the Social Security Act to establish a program of Federal child support benefits for use on behalf of any child under age 18 who has at least one absent parent and who is living with another parent or has been removed from home for his or her welfare.  Directs the Secretary of Health and Human Services to make these payments monthly to the custodial parent or other appropriate person. <p>Sets 1989 benefit rates at between $830 (nine or more children) and $2,000 (one child), depending on the number of eligible children living in the recipient household.  Provides for rate increases in subsequent years.  Limits the amount of benefits to the amount of child support tax collected from the absent liable parent. <p>Describes general administrative features, benefit adjustment procedures, and procedures for appealing eligibility determinations with respect to this new benefit program. <p>Penalizes persons who fail to report changes in circumstances that would affect either benefit amount or eligibility.  Provides criminal penalties for misrepresentation and fraud in connection with the program. <p>Directs the Secretary to undertake a demonstration program under which at least six voluntarily participating States would implement State programs essentially corresponding to the Federal child support tax and child support payment program described in this Act.  Requires the Secretary to submit to the Congress an annual report on the demonstration program. <p>Directs the Office of Management and Budget to report to the Congress before January 1, 1989, on the budgetary ramifications of implementing the child support program nationwide. <p>Directs the Secretary to provide for the comprehensive independent evaluation of these programs according to prescribed standards and to report evaluation results to the Congress.",,,,,,
"S. 2234",https://www.congress.gov/bill/100th-congress/senate-bill/2234,"100th Congress (1987-1988)","A bill to provide special rules for health insurance costs of self-employed individuals.","Durenberger, Dave [Sen.-R-MN] (Introduced 03/30/1988)",Republican,03/30/1988,"Senate - Finance","Read twice and referred to the Committee on Finance.",03/30/1988,"Grassley, Chuck [Sen.-R-IA]","Heflin, Howell [Sen.-D-AL]","Bond, Christopher S. [Sen.-R-MO]","Stevens, Ted [Sen.-R-AK]","Symms, Steven D. [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Business and commerce",Health,"Health insurance","Income tax",Insurance,"Insurance premiums","Medical economics",Self-employed,"Tax deductions",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Internal Revenue Code to increase from 25 percent to 100 percent the income tax deduction for the health insurance costs of a self-employed individual.",,,,,,
"S. 2232",https://www.congress.gov/bill/100th-congress/senate-bill/2232,"100th Congress (1987-1988)","A bill to temporarily suspend the duty on high resolution cathode-ray tubes.","Durenberger, Dave [Sen.-R-MN] (Introduced 03/30/1988)",Republican,03/30/1988,"Senate - Finance","Read twice and referred to the Committee on Finance.",03/30/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and Investments","Foreign Trade and International Finance",Imports,Tariff,"Video display terminals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4337,,,,CRS,Senate,,"04/14/1988 Executive Comment Requested from State, Treasury, Commerce, Labor, ITC, USTR.",,,"<p>Amends the Tariff Schedules of the United States to suspend the duty on high resolution cathode-ray tubes through December 31, 1991.",,,,,,
