"Downloaded on",03/04/2025,"18:24:24 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%2296%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3236",https://www.congress.gov/bill/96th-congress/senate-bill/3236,"96th Congress (1979-1980)","A bill to provide that royalties received by the United States from the production of oil, gas, coal, and minerals on Federal lands shall be used to reduce the public debt.","Bellmon, Henry L. [Sen.-R-OK] (Introduced 12/02/1980)",Republican,12/02/1980,"Senate - Finance","Referred to Senate Committee on Finance.",12/02/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Coal,"Economics and Public Finance","Mines and mineral resources","Mining leases","Oil and gas leases","Petroleum and petroleum products","Public Lands and Real Property","Public debt","Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Requires the deposit of royalties received by the United States under oil, gas, coal, and mineral leases in a special fund in the Treasury of the United States. Limits the availability and use of such moneys to the retirement of obligations of the United States issued under the Second Liberty Bond Act. <p>Reduces the limitations on the face amount of obligations issued under the Second Liberty Bond Act by the amount deposited daily in the account established by this Act. Specifies when such reductions shall take effect.",,,,,,
"S. 3233",https://www.congress.gov/bill/96th-congress/senate-bill/3233,"96th Congress (1979-1980)","A bill to amend the Energy Security Act by adding a domestic procurement requirement.","Heinz, John [Sen.-R-PA] (Introduced 12/01/1980)",Republican,12/01/1980,"Senate - Energy and Natural Resources","Referred to Senate Committee on Energy and Natural Resources.",12/01/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Business and commerce","Buy American","Government and business","Government Operations and Politics","Government procurement","Public Contracts, Procurement, and Property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Energy Security Act to prohibit the use of Federal funds in excess of $500,000 unless the goods to be used by contractors hired with such funds are mined, produced, or manufactured in the United States.  Waives such restriction if the contracting authority determines that: (1) such restriction is not consistent with the public interest; (2) adequate domestic goods are not available; or (3) such restriction will increase project costs more than 20 percent.",,,,,,
"S. 3230",https://www.congress.gov/bill/96th-congress/senate-bill/3230,"96th Congress (1979-1980)","A bill to provide for reconstruction assistance for the victims of the recent earthquakes in Italy, and for other purposes.","Domenici, Pete V. [Sen.-R-NM] (Introduced 11/25/1980)",Republican,11/25/1980,"Senate - Foreign Relations","Referred to Senate Committee on Foreign Relations.",11/25/1980,"Lugar, Richard G. [Sen.-R-IN]","McClure, James A. [Sen.-R-ID]","McGovern, George [Sen.-D-SD]","Heinz, John [Sen.-R-PA]","Sarbanes, Paul S. [Sen.-D-MD]","Baker, Howard H., Jr. [Sen.-R-TN]","Biden, Joseph R., Jr. [Sen.-D-DE]","Bradley, Bill [Sen.-D-NJ]","Chafee, John H. [Sen.-R-RI]","DeConcini, Dennis [Sen.-D-AZ]","Dole, Robert J. [Sen.-R-KS]","Heflin, Howell [Sen.-D-AL]","Javits, Jacob K. [Sen.-R-NY]","Kassebaum, Nancy Landon [Sen.-R-KS]","Leahy, Patrick J. [Sen.-D-VT]","Metzenbaum, Howard M. [Sen.-D-OH]","Percy, Charles H. [Sen.-R-IL]","Warner, John [Sen.-R-VA]","Zorinsky, Edward [Sen.-D-NE]","Glenn, John H., Jr. [Sen.-D-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,"American civilian assistance",Authorization,"Disaster relief","Disasters and Disaster Relief",Earthquakes,"Economics and Public Finance","Emergency Management","International Affairs",Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Italy Disaster Assistance Act of 1980 - Authorizes the President to provide reconstruction assistance for the victims of the recent earthquakes in Italy.  States that such assistance may be provided in accordance with specified congressional policies and authorities. <p>Authorizes appropriations for fiscal year 1981, to remain available until expended, to carry out the purposes of this Act.  Allows obligations previously incurred for the provision of reconstruction assistance to the people of Italy to be charged to such appropriations. <p>Directs the President to report quarterly to specified Senate Committees and to the Speaker of the House on the programing and obligations of funds under this Act.",,,,,,
"S. 3227",https://www.congress.gov/bill/96th-congress/senate-bill/3227,"96th Congress (1979-1980)","A bill for the relief of Benjamin Bane.","Hayakawa, Samuel Ichiye [Sen.-R-CA] (Introduced 11/25/1980)",Republican,11/25/1980,"Senate - Judiciary","Measure passed Senate.",12/12/1980,"Cranston, Alan [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Directs that a named individual shall be held and considered not to have lost his status as a United States citizen.",,,,,,
"S. 3226",https://www.congress.gov/bill/96th-congress/senate-bill/3226,"96th Congress (1979-1980)","A bill for the relief of Wesley United Methodist Church, Wichita Falls, Texas.","Tower, John G. [Sen.-R-TX] (Introduced 11/25/1980)",Republican,11/25/1980,"Senate - Small Business (Select)","Referred to Senate Select Committee on Small Business.",11/25/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Directs that a Small Business Administration loan made to a named church shall be at an interest rate of five percent.",,,,,,
"S. 3225",https://www.congress.gov/bill/96th-congress/senate-bill/3225,"96th Congress (1979-1980)","A bill for the relief of Roy P. Benavidez.","Tower, John G. [Sen.-R-TX] (Introduced 11/21/1980)",Republican,11/21/1980,"Senate - Armed Services","Measure indefinitely postponed in Senate.",12/05/1980,"Bentsen, Lloyd M. [Sen.-D-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.8386,,,,CRS,,"12/18/1980 Private Law 96-81.",,,,"<p>Waives the time limitation for the awarding of the Medal of Honor to a named veteran.",,,,,,
"S. 3220",https://www.congress.gov/bill/96th-congress/senate-bill/3220,"96th Congress (1979-1980)","A bill for the relief of Sally Zussman.","Boschwitz, Rudy [Sen.-R-MN] (Introduced 11/20/1980)",Republican,11/20/1980,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",11/20/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 3219",https://www.congress.gov/bill/96th-congress/senate-bill/3219,"96th Congress (1979-1980)","A bill for the relief of Young Chul Lee.","Boschwitz, Rudy [Sen.-R-MN] (Introduced 11/20/1980)",Republican,11/20/1980,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",11/20/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 3218",https://www.congress.gov/bill/96th-congress/senate-bill/3218,"96th Congress (1979-1980)","A bill for the relief of Faith Wong.","Boschwitz, Rudy [Sen.-R-MN] (Introduced 11/20/1980)",Republican,11/20/1980,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",11/20/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 3217",https://www.congress.gov/bill/96th-congress/senate-bill/3217,"96th Congress (1979-1980)","A bill for the relief of Afsaneh Naimollah.","Boschwitz, Rudy [Sen.-R-MN] (Introduced 11/20/1980)",Republican,11/20/1980,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",11/20/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
