"Downloaded on",03/05/2025,"13:18:52 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22congress%22%3A%5B%22109%22%5D%2C%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3740",https://www.congress.gov/bill/109th-congress/senate-bill/3740,"109th Congress (2005-2006)","A bill to amend the Internal Revenue Code of 1986 to reform the system of public financing for Presidential elections, and for other purposes.","Feingold, Russell D. [Sen.-D-WI] (Introduced 07/26/2006)",Democratic,07/26/2006,"Senate - Finance","Read twice and referred to the Committee on Finance. (text of measure as introduced:  CR S8275-8278)",07/26/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Income tax","Economics and Public Finance","Political conventions","Political parties","Presidential elections",Primaries,"Science, Technology, Communications","Soft money","Tax returns",Taxation,"Election candidates","Electronic government information","Foreign Trade and International Finance","Foreign trade promotion","Fund raising","Government Operations and Politics","Government paperwork","Government publicity","Government spending reductions","Government trust funds","Agriculture and Food","Agriculture in foreign trade","Campaign funds",Checkoff,"Computer software","Cost of living adjustments","Indexing (Economic policy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5905,,,,,,,,,,,,CRS,,,"07/26/2006 Referred to the Committee on House Administration, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",,,,,,,,,,," <p>Presidential Funding Act of 2006 - Amends Internal Revenue Code provisions relating to public financing of presidential election campaigns to: (1) quadruple (1:1 to 4:1) the matching rate for contributions to primary election candidates; (2) lower from $250 to $200 the limit on individual campaign contributions; (3) increase the presidential primary qualifying threshold from $5,000 to $25,000 in 20 states; (4) require presidential candidates to participate in the primary payment system to be eligible for general election payments; (5) move the starting date for payments to primary candidates from January 1 to July 1 of the year immediately preceding the presidential election year; (6) allow additional payments and increased expenditure limits for candidates who face opponents who do not participate in public financing and who raise more than 20% of applicable spending limits; (7) designate the last Friday before the first Monday in September as the date for payments to eligible presidential candidates; and (8) increase from $3 to $10 the presidential campaign tax return check-off amount.</p><p>Amends the Federal Election Campaign Act of 1971 to: (1) increase expenditure limits for presidential primary campaigns and eliminate state primary spending limits; (2) limit political party general election campaign expenditures to $25 million, with an additional $25 million allowance after the party's candidate is nominated; (3) prohibit political parties from spending unregulated funds (soft money) on their national conventions; and (4) require presidential campaign committees to disclose information about bundled contributions (series of contributions aggregating more than $10,000).</p><p>Amends the Agricultural Trade Act of 1978 to reduce funding for the market access program by $100 million in FY2007.</p>",,,,,,
"S. 3738",https://www.congress.gov/bill/109th-congress/senate-bill/3738,"109th Congress (2005-2006)","A bill to amend the Internal Revenue Code of 1986 to provide an additional standard deduction for real property taxes for nonitemizers.","Baucus, Max [Sen.-D-MT] (Introduced 07/26/2006)",Democratic,07/26/2006,"Senate - Finance","Read twice and referred to the Committee on Finance.",07/26/2006,"Menendez, Robert [Sen.-D-NJ]","Lautenberg, Frank R. [Sen.-D-NJ]","Clinton, Hillary Rodham [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Tax shelters","Tax deductions","Tax evasion","Tax penalties","Tax returns","Income tax",Taxation,"Taxation of foreign income","Property tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6122,,,,,,,,,,,,CRS,,,"09/20/2006 Referred to the House Committee on Ways and Means.",,,,,,,,,,," <p>Nonitemizer Real Property Tax Deduction Act of 2006 - Amends the Internal Revenue Code to: (1) increase the standard tax deduction for taxpayers who do not itemize tax deductions by $500 ($1,000 for joint returns) of the real property taxes paid or accrued by such taxpayers in a taxable year; (2) define economic substance for purposes of evaluating tax shelter transactions; and (3) impose a penalty for understatements of tax liability resulting from transactions lacking economic substance.</p>",,,,,,
"S. 3737",https://www.congress.gov/bill/109th-congress/senate-bill/3737,"109th Congress (2005-2006)","A bill to amend the National Trails System Act to designate the Washington-Rochambeau Route National Historic Trail.","Lieberman, Joseph I. [Sen.-D-CT] (Introduced 07/26/2006)",Democratic,07/26/2006,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",07/26/2006,"Biden, Joseph R., Jr. [Sen.-D-DE]","Warner, John [Sen.-R-VA]","Dodd, Christopher J. [Sen.-D-CT]","Reed, Jack [Sen.-D-RI]","Chafee, Lincoln [Sen.-R-RI]","Menendez, Robert [Sen.-D-NJ]","Schumer, Charles E. [Sen.-D-NY]","Specter, Arlen [Sen.-R-PA]","Allen, George [Sen.-R-VA]","Clinton, Hillary Rodham [Sen.-D-NY]","Lugar, Richard G. [Sen.-R-IN]","Carper, Thomas R. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"Land transfers","Historic sites",Maryland,Massachusetts,"New Jersey","New York State",Pennsylvania,"Public Lands and Natural Resources","Rhode Island","District of Columbia",Delaware,Connecticut,Commemorations,"Civil Rights and Liberties, Minority Issues","American Revolution",Virginia,Trails,"Sports and Recreation","Right of property",Landowners,History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5895,,,,,,,,,,,,CRS,,,"08/02/2006 Executive Comment Requested from Interior.",,,,,,,,,,," <p>Washington-Rochambeau Revolutionary Route National Historic Trail Designation Act - Amends the National Trails System Act to designate a corridor of approximately 600 miles following the route taken by the armies of General George Washington and Count Rochambeau between Newport, Rhode Island, and Yorktown, Virginia, in 1781 and 1782, as the &quot;Washington-Rochambeau Revolutionary Route National Historic Trail.&quot; </p>",,,,,,
"S. 3736",https://www.congress.gov/bill/109th-congress/senate-bill/3736,"109th Congress (2005-2006)","A bill to suspend temporarily the duty on vulcanized rubber lug bottom boots for use in fishing waders.","Baucus, Max [Sen.-D-MT] (Introduced 07/26/2006)",Democratic,07/26/2006,"Senate - Finance","Read twice and referred to the Committee on Finance.",07/26/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on vulcanized rubber lug bottom boots for use in fishing waders.",,,,,,
"S. 3735",https://www.congress.gov/bill/109th-congress/senate-bill/3735,"109th Congress (2005-2006)","A bill to suspend temporarily the duty on vulcanized rubber felt bottom boots for use in waders.","Baucus, Max [Sen.-D-MT] (Introduced 07/26/2006)",Democratic,07/26/2006,"Senate - Finance","Read twice and referred to the Committee on Finance.",07/26/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on vulcanized rubber felt bottom boots for use in waders.",,,,,,
"S. 3733",https://www.congress.gov/bill/109th-congress/senate-bill/3733,"109th Congress (2005-2006)","A bill to suspend temporarily the duty on certain plasma flat panel displays.","Pryor, Mark L. [Sen.-D-AR] (Introduced 07/26/2006)",Democratic,07/26/2006,"Senate - Finance","Read twice and referred to the Committee on Finance.",07/26/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Tariff,"Foreign Trade and International Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on certain plasma flat panel displays.",,,,,,
"S. 3732",https://www.congress.gov/bill/109th-congress/senate-bill/3732,"109th Congress (2005-2006)","A bill to suspend temporarily the duty on certain liquid crystal divide (LCD) flat panel displays.","Pryor, Mark L. [Sen.-D-AR] (Introduced 07/26/2006)",Democratic,07/26/2006,"Senate - Finance","Read twice and referred to the Committee on Finance.",07/26/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on certain liquid crystal divide (LCD) flat panel displays.",,,,,,
"S. 3729",https://www.congress.gov/bill/109th-congress/senate-bill/3729,"109th Congress (2005-2006)","A bill to provide for the establishment of emergency wildland fire suppression funds.","Baucus, Max [Sen.-D-MT] (Introduced 07/25/2006)",Democratic,07/25/2006,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",07/25/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Economics and Public Finance","Emergency Management","Fire fighters","Public Lands and Natural Resources","Forest fires","Government trust funds","National forests","Fire prevention",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Stable Fire Funding Act of 2006 - Establishes in the Treasury separate funds to be used to pay 80% of the cost for Bureau of Land Management (BLM) and Forest Service emergency wildland fire suppression activities that exceed amounts annually appropriated for wildland fire suppression activities. </p>",,,,,,
"S. 3727",https://www.congress.gov/bill/109th-congress/senate-bill/3727,"109th Congress (2005-2006)","A bill to amend title XVIII of the Social Security Act to provide for an adjustment to the reduction of Medicare resident positions based on settled cost reports.","Kohl, Herb [Sen.-D-WI] (Introduced 07/25/2006)",Democratic,07/25/2006,"Senate - Finance","Read twice and referred to the Committee on Finance. (text of measure as introduced: CR S8201-8202)",07/25/2006,"Feingold, Russell D. [Sen.-D-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Higher education","Hospital care",Hospitals,"Housing and Community Development","Medical education","Medical residents",Health,"Rural health","Economics and Public Finance","Federal aid to education","Federal aid to health facilities",Medicare,"Social Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5935,,,,,,,,,,,,CRS,,,"07/27/2006 Referred to the House Committee on Ways and Means.",,,,,,,,,,," <p>Medicare Residency Program Fairness Act of 2006 - Amends title XVIII (Medicare) of the Social Security Act with respect to payments to hospitals for the direct graduate medical education (DGME) costs of inpatient hospital services, particularly the redistribution among qualifying hospitals of unused resident positions which figure in the calculation of DGME costs.</p> <p>Requires a specified adjustment to the reduction of Medicare resident positions for rural and small urban hospitals, where that reduction was based on a cost report subsequently settled, whether as a result of an appeal or otherwise, if the reference resident level under such settled cost report is higher than the resident level used for the reduction.</p>",,,,,,
"S. 3724",https://www.congress.gov/bill/109th-congress/senate-bill/3724,"109th Congress (2005-2006)","A bill to enhance scientific research and competitiveness through the Experimental Program to Stimulate Competitive Research, and for other purposes.","Rockefeller, John D., IV [Sen.-D-WV] (Introduced 07/25/2006)",Democratic,07/25/2006,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",07/25/2006,"Inouye, Daniel K. [Sen.-D-HI]","Cochran, Thad [Sen.-R-MS]","Snowe, Olympia J. [Sen.-R-ME]","Johnson, Tim [Sen.-D-SD]","Baucus, Max [Sen.-D-MT]","Hagel, Chuck [Sen.-R-NE]","Reed, Jack [Sen.-D-RI]","Lincoln, Blanche L. [Sen.-D-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Congress,"Congressional reporting requirements","Economics and Public Finance","Federal aid to research","Government Operations and Politics","Scientific instruments and apparatus","National Science Foundation","Research centers","Research grants","Science, Technology, Communications","High technology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>EPSCoR Research and Competitiveness Act of 2006 - Authorizes appropriations for FY2007-FY2011 to the National Science Foundation (NSF) for the Experimental Program to Stimulate Competitive Research (EPSCoR). </p> <p>Requires the Director of the NSF: (1) in the administration of the NSF's research infrastructure improvement grant program, to authorize states participating in the grant program to include partnership with out-of-state research institutions if the amount of funding transferred to another state does not exceed 5% of the amount of the grant in any fiscal year; and (2) from the amounts appropriated pursuant to this Act, to make available specified amounts for FY2007-FY2011 to such grant program. </p> <p>Requires the Director to obligate and spend not less than 20% of the amount available for EPSCoR on co-funding projects that are ranked by a peer-review process in the top 20% of all proposals submitted in response to an announced competition. Requires the submission of annual reports providing information concerning: (1) co-funded projects on a state-by-state basis; and (2) the amount and use of co-funding by each of the NSF's directorates.</p> <p>Requires the Director: (1) through the Office of Cyber Infrastructure, to develop and publish a plan enabling states participating in EPSCoR to develop partnerships and participate fully in the NSF's Cyber Infrastructure Initiative; and (2) through the Office of Major Research Instrumentation, to develop and publish a plan enabling states participating in EPSCoR to develop partnerships and participate fully in the NSF's major research instrumentation program. </p>",,,,,,
"S. 3723",https://www.congress.gov/bill/109th-congress/senate-bill/3723,"109th Congress (2005-2006)","A bill to amend the Wild and Scenic Rivers Act to designate certain segments of the Eightmile River in the State of Connecticut as components of the National Wild and Scenic Rivers System, and for other purposes.","Dodd, Christopher J. [Sen.-D-CT] (Introduced 07/25/2006)",Democratic,07/25/2006,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources. (text of measure as introduced: CR S8200-8201)",07/25/2006,"Lieberman, Joseph I. [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Water Resources Development",Watersheds,"Public Lands and Natural Resources",Connecticut,"Wild rivers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Eightmile Wild and Scenic River Act - Amends the Wild and Scenic Rivers Act to designate specified segments in the Eightmile River in Connecticut as components of the National Wild and Scenic Rivers System. </p> <p>Requires the Secretary of the Interior to: (1) manage Eightmile River in accordance with the Eightmile Watershed Management Plan, dated December 8, 2005, and such amendments to the Plan as the Secretary determines to be consistent with this Act; and (2) coordinate the management responsibilities of the Secretary relating to the River with the Eightmile River Coordinating Committee, as described in such Plan. </p> <p>Bars the Eightmile River from: (1) being administered as part of the National Park System; nor (2) being subject to laws and regulations that govern such System. </p> <p>Recognizes specified tributaries of the Eightmile River Watershed as integral to the protection and enhancement of the River and that watershed.</p>",,,,,,
"S. 3719",https://www.congress.gov/bill/109th-congress/senate-bill/3719,"109th Congress (2005-2006)","A bill to amend the Internal Revenue Code of 1986 to allow public school districts to receive no interest loans for the purchase of renewable energy systems, and for other purposes.","Reid, Harry [Sen.-D-NV] (Introduced 07/24/2006)",Democratic,07/24/2006,"Senate - Finance","Read twice and referred to the Committee on Finance. (text of measure as introduced: CR S8131-8132)",07/24/2006,"Craig, Larry E. [Sen.-R-ID]","Allard, Wayne [Sen.-R-CO]","Ensign, John [Sen.-R-NV]","Salazar, Ken [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Taxation,"Alternative energy sources",Education,"Elementary and secondary education","Tax-exempt securities","Finance and Financial Sector","Income tax","School buildings","Tax credits",Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5904,,,,,,,,,,,,CRS,,,"07/26/2006 Referred to the House Committee on Ways and Means.",,,,,,,,,,," <p>Renewable Schools Energy Act of 2006 - Amends the Internal Revenue Code to allow a tax credit for investment in qualified renewable school energy bonds. Defines &quot;qualified renewable school energy bond&quot; as a bond with a 20-year term, 95% of the proceeds of which are used for the purchase and installation of renewable energy products for public school and school district administrative buildings in states with a specified percentage of population growth. </p>",,,,,,
"S. 3717",https://www.congress.gov/bill/109th-congress/senate-bill/3717,"109th Congress (2005-2006)","A bill to amend the Rehabilitation Act of 1973 and the Public Health Service Act to set standards for medical diagnostic equipment and to establish a program for promoting good health, disease prevention, and wellness and for the prevention of secondary conditions for individuals with disabilities, and for other purposes.","Harkin, Tom [Sen.-D-IA] (Introduced 07/24/2006)",Democratic,07/24/2006,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (text of measure as introduced: CR S8130-8131)",07/24/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Physical fitness",Nutrition,Smoking,"Social Welfare","Sports and Recreation",X-rays,"Access to health care","Agriculture and Food","Communication in medicine",Disabled,"Economics and Public Finance",Exercise,"Federal advisory bodies","Federal aid to education","Federal aid to health facilities","Government Operations and Politics","Government publicity",Health,"Health education","Higher education",Hospitals,Mammography,"Medical education","Medical residents","Medical screening","Medical supplies","Medical tests",Medicare,"Preventive medicine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Promoting Wellness for Individuals with Disabilities Act of 2006 - Amends the Rehabilitation Act of 1973 to require the Architectural and Transportation Barriers Compliance Board to issue and periodically review standards setting forth the minimum technical criteria for medical diagnostic equipment used in medical settings, to ensure that such equipment: (1) is accessible to and usable by individuals with disabilities; and (2) allows independent entry to, use of, and exit from the equipment by such individuals to the maximum extent possible. Applies such standards to examination tables and chairs, weight scales, mammography equipment, x-ray machines, and other radiological equipment commonly used for diagnostic purposes by health professionals.</p> <p>Amends the Public Health Service Act to allow the Secretary of Health and Human Services to make grants for programs to promote good health, disease prevention, and wellness for individuals with disabilities and prevent secondary conditions in such individuals. Requires the Secretary to establish a National Advisory Committee on Wellness for Individuals With Disabilities to set priorities to carry out such programs, review grant proposals, make recommendations for funding, and annually evaluate the progress of such programs in implementing the priorities.</p> <p>Provides for training programs to improve competency and clinical skills for providing health care and communicating with patients with disabilities. </p>",,,,,,
