"Downloaded on",03/04/2025,"18:32:14 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22103%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2300",https://www.congress.gov/bill/103rd-congress/senate-bill/2300,"103rd Congress (1993-1994)","A bill to prohibit all United States military and economic assistance for Turkey until the Turkish Government takes certain actions to resolve the Cyprus problem and complies with its obligations under international law.","Pressler, Larry [Sen.-R-SD] (Introduced 07/20/1994)",Republican,07/20/1994,"Senate - Foreign Relations","Sponsor introductory remarks on measure. (CR S14743-14744)",10/07/1994,"Roth Jr., William V. [Sen.-R-DE]","D'Amato, Alfonse [Sen.-R-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"American economic assistance","American military assistance","Americans in foreign countries","Arms sales",Census,Christianity,Churches,Congress,"Congressional oversight",Cyprus,Democracy,Europe,"Foreign Trade and International Finance",Hostages,"Human rights","International Affairs",Islam,"Military intervention","Military occupation",Minorities,Negotiations,Refugees,Religion,Treaties,Turkey,"United Nations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Prohibits U.S. military and economic assistance to Turkey until the President certifies to the Congress that:  (1) the Turkish Government has released or accounted for the five Americans abducted by the Turkish invasion forces in 1974 and the 1,614 Greek Cypriots who have been missing since the Turkish invasion; (2) the churches in the occupied parts of Cyprus that were converted to mosques in violation of the Geneva Conventions have been restored to their original condition for Christian worship; (3) the Turkish Government has authorized a census of the colonists on Cyprus; (4) all Turkish military forces and illegal Turkish colonists have been withdrawn from Cyprus; (5) the Turkish Government has returned the area of Famagusta/Varosha to the Government of Cyprus; (6) negotiations have resulted in progress towards establishing a democracy in Cyprus; and (7) the Turkish Government is in compliance with the United Nations Charter, specified United Nations resolutions, the North Atlantic Treaty, and the Helsinki Final Act of the Conference on Security and Cooperation in Europe and is not engaged in human rights violations.",,,,,,
"S. 2294",https://www.congress.gov/bill/103rd-congress/senate-bill/2294,"103rd Congress (1993-1994)","A bill to amend the Public Health Service Act to provide for the expansion and coordination of research concerning Parkinson's disease and related disorders, and to improve care and assistance for its victims and their family caregivers, and for other purposes.","Hatfield, Mark O. [Sen.-R-OR] (Introduced 07/19/1994)",Republican,07/19/1994,"Senate - Labor and Human Resources","Read twice and referred to the Committee on Labor and Human Resources.",07/19/1994,"Simpson, Alan K. [Sen.-R-WY]","Wellstone, Paul D. [Sen.-D-MN]","Kerrey, J. Robert [Sen.-D-NE]","Riegle, Donald W., Jr. [Sen.-D-MI]","Cochran, Thad [Sen.-R-MS]","Inouye, Daniel K. [Sen.-D-HI]","Simon, Paul [Sen.-D-IL]","DeConcini, Dennis [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Conferences,Congress,"Congressional reporting requirements","Continuing education","Data banks","Department of Health and Human Services","Economics and Public Finance",Education,"Educational policy","Executive reorganization","Federal aid to medical education","Federal aid to medical research","Government Operations and Politics",Health,"Health education","Higher education","Information services","Long-term care","Medical education","Medical research","Medical screening","Nervous system diseases","Preventive medicine","Research centers","Research grants","Science, Technology, Communications","Tissue banks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4789,,,CRS,,,"08/01/1994 Referred to the Subcommittee on Health and the Environment.",,,"<p>Morris K. Udall Parkinson's Research, Education, and Assistance Act of 1994 - Amends the Public Health Service Act to require the Director of the National Institutes of Health to establish a council to coordinate Parkinson's research activities. <p>Directs:  (1) the council to convene a National Consensus Conference on Parkinson's Disease and Related Neuro-degenerative Disorders to aid in the development of a broad-based strategy for identifying the cause of and treating such disorders; and (2) the Secretary of Health and Human Services to develop and annually submit to specified congressional committees a coordinated research agenda and to provide for the establishment of ten Parkinson's Research Centers. <p>Authorizes the Secretary to:  (1) award feasibility study grants to support the development of preliminary data sufficient to provide the basis for the submission of applications for independent research support grants or establishment of a Center; and (2) award grants to appropriate institutions for the provision of training and continuing education concerning health and long-term care of individuals with Parkinson's. <p>Directs the Secretary to establish:  (1) a grant program to support scientists who have distinguished themselves in the field of Parkinson's research; (2) a registry for screening and collecting patient and family data that may be useful in determining incidence and possible risk factors concerning Parkinson's; and (3) a national education program designed to foster a national focus on Parkinson's and the care of those with Parkinson's. <p>Sets forth application requirements.  Authorizes appropriations.",,,,,,
"S. 2292",https://www.congress.gov/bill/103rd-congress/senate-bill/2292,"103rd Congress (1993-1994)","A bill to amend the Watershed Protection and Flood Prevention Act to establish a Waterways Restoration Program, and for other purposes.","Hatfield, Mark O. [Sen.-R-OR] (Introduced 07/18/1994)",Republican,07/18/1994,"Senate - Agriculture, Nutrition, and Forestry","Referred to Subcommittee on Agricultural Research.",07/29/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agriculture and Food",Animals,"Biological diversity conservation","Citizen participation","Cost effectiveness","Depressed areas","Dislocated workers",Drainage,"Economic development","Economics and Public Finance","Ecosystem management","Emergency Management","Employee training","Environmental monitoring","Environmental Protection",Families,"Federal aid to water pollution control","Federal aid to water resources development","Fishery management","Flood control","Flood damage prevention","Floodplain zoning","Government Operations and Politics","Government paperwork","Habitat conservation","Housing and Community Development",Infrastructure,"Job creation","Labor and Employment","Manpower training programs","Marine and coastal resources, fisheries",Minorities,"Minority employment","National service","Native Americans","Nonprofit organizations","Public Lands and Natural Resources",Reservoirs,"Restoration ecology",Revegetation,"River regulation","Sediment control","Shore protection","Soil conservation","Soil erosion","Storm drains","Stream conservation","Transportation and Public Works","Water conservation","Water pollution control","Water quality","Water Resources Development","Water storage","Watershed management",Waterways,"Wetland conservation","Wetland restoration","Wildlife conservation","Youth employment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Waterways Restoration Act of 1994 - Amends the Watershed Protection and Flood Prevention Act to delete the requirement that each watershed improvement under such Act must contain benefits directly related to agriculture that account for at least 20 percent of the total project benefits. <p>Directs the Secretary of Agriculture to establish and carry out a Waterways Restoration Program which provides technical assistance and grants, on a competitive basis, to eligible entities for carrying out waterway restoration projects.  Requires such projects to achieve ecological restoration or protection and one or more of the following objectives:  (1) flood damage reduction; (2) erosion control; (3) stormwater management; or (4) water quality enhancement.  Provides project descriptions and priorities, including the location of projects in low-income or economically depressed areas adversely impacted by poor watershed management.  Outlines other project requirements, including a cost-benefit analysis.  Requires the Secretary to designate Program administrators for each participating State (including a State agency if approved by the Secretary).  Requires program grants to be awarded on an annual basis.  Provides project application and selection requirements, including the establishment in each participating State of an interdisciplinary team of specialists to assist in reviewing project applications under the Program.  Outlines conditions for receiving assistance under the Program, with sponsor and cosponsor requirements.  Requires a non-Federal share of 25 percent of project costs, with a waiver for economically depressed communities.  Limits the administrative and technical assistance costs of the Program. Requires the Governor of each participating State to establish a citizens oversight committee to evaluate management of the Program in that State.  Requires program administrators to issue annual reports summarizing the Program evaluations of the oversight committees. Provides funding.",,,,,,
"S. 2290",https://www.congress.gov/bill/103rd-congress/senate-bill/2290,"103rd Congress (1993-1994)","A bill to repeal the increase in withholding from supplemental wage payments included in the Revenue Reconciliation Act of 1993.","Hatch, Orrin G. [Sen.-R-UT] (Introduced 07/15/1994)",Republican,07/15/1994,"Senate - Finance","Read twice and referred to the Committee on Finance.",07/15/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Fringe benefits","Income tax","Labor and Employment",Overtime,"Tax rates",Taxation,Wages,"Withholding tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Repeals the increase in withholding from supplemental wage payments included in the Revenue Reconciliation Act of 1993.",,,,,,
"S. 2289",https://www.congress.gov/bill/103rd-congress/senate-bill/2289,"103rd Congress (1993-1994)","A bill to authorize the Export-Import Bank of the United States to provide financing for the export of nonlethal defense articles and defense services the primary end use of which will be for civilian purposes.","D'Amato, Alfonse [Sen.-R-NY] (Introduced 07/15/1994)",Republican,07/15/1994,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking.",07/15/1994,"Campbell, Ben Nighthorse [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Armed Forces and National Security","Arms sales",Authorization,Commerce,Congress,"Congressional investigations","Congressional oversight","Congressional reporting requirements","Economics and Public Finance",Energy,"Energy efficiency","Energy policy","Environmental Protection","Export credit","Export finance","Export-Import Bank of the United States","Foreign Trade and International Finance","Foreign trade promotion","Government corporations","Government Operations and Politics","Pollution control","Public Lands and Natural Resources","Sustainable development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Export-Import Bank Act of 1945 to allow, provided specified conditions are met, the Export-Import Bank to finance export sales of nonlethal defense articles or services whose primary end use will be for civilian purposes. <p>Requires the Bank to encourage the use of its programs to support the export of goods and services that have beneficial effects on the environment or mitigate potential adverse environmental effects such as by encouraging environmentally sustainable development, promoting efficient use of resources, and promoting energy efficiency. <p>Authorizes appropriations.",,,,,,
"S. 2288",https://www.congress.gov/bill/103rd-congress/senate-bill/2288,"103rd Congress (1993-1994)","A bill to amend the Internal Revenue Code of 1986 to provide that a foster care provider and a qualified foster individual may share the same home.","Gregg, Judd [Sen.-R-NH] (Introduced 07/15/1994)",Republican,07/15/1994,"Senate - Finance","Read twice and referred to the Committee on Finance.",07/15/1994,"Cochran, Thad [Sen.-R-MS]","D'Amato, Alfonse [Sen.-R-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Caregivers,Families,"Foster home care","Home ownership","Housing and Community Development","Income tax","Tax exclusion",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Foster Care Living Arrangements Act of 1994 - Amends the Internal Revenue Code to provide that for purposes of excluding foster care payments from gross income, if a provider of foster care is living in the home of the individual receiving the foster care, that home shall be treated as the home of the foster care provider.",,,,,,
"S. 2287",https://www.congress.gov/bill/103rd-congress/senate-bill/2287,"103rd Congress (1993-1994)","A bill to amend the Internal Revenue Code of 1986 to simplify the assessment and collection of the excise tax on arrows.","Hatch, Orrin G. [Sen.-R-UT] (Introduced 07/14/1994)",Republican,07/14/1994,"Senate - Finance","Read twice and referred to the Committee on Finance.",07/14/1994,"Exon, J. James [Sen.-D-NE]","Cochran, Thad [Sen.-R-MS]","Bennett, Robert F. [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Equipment and supplies","Excise tax","Sports and Recreation",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4901,,,CRS,,,"08/04/1994 Referred to the House Committee on Ways and Means.",,,"<p>Amends the Internal Revenue Code by including in the excise tax on bows and arrows any shaft, point, nock, or vane used in the manufacture of an arrow.",,,,,,
"S. 2286",https://www.congress.gov/bill/103rd-congress/senate-bill/2286,"103rd Congress (1993-1994)","A bill to amend title 23, United States Code, to provide for the use of certain highway funds for improvements to railway-highway crossings.","Lugar, Richard G. [Sen.-R-IN] (Introduced 07/14/1994)",Republican,07/14/1994,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",07/14/1994,"Coats, Daniel [Sen.-R-IN]","Durenberger, Dave [Sen.-R-MN]","Campbell, Ben Nighthorse [Sen.-D-CO]","Grassley, Chuck [Sen.-R-IA]","Kassebaum, Nancy Landon [Sen.-R-KS]","Kohl, Herb [Sen.-D-WI]","Dole, Robert J. [Sen.-R-KS]","Wallop, Malcolm [Sen.-R-WY]","Simpson, Alan K. [Sen.-R-WY]","Cohen, William S. [Sen.-R-ME]","Nickles, Don [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,"Economics and Public Finance","Federal aid highway program",Motorcycles,"Railroad safety","Roads and highways","Safety appliances","Seat belts","Traffic accidents and safety","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4855,,,CRS,House,,"08/11/1994 Referred to the Subcommittee on Surface Transportation.",,,"<p>Rail Grade Crossing Safety Enhancement Act of 1994 - Permits the Secretary of Transportation, in lieu of reallocating certain funds from States without motorcycle helmet and safety belt use laws to highway safety programs, to transfer such funds to programs for railway-highway crossing improvements for such States.  Conditions such authority on the request of the chief executive of the State concerned.",,,,,,
"S. 2267",https://www.congress.gov/bill/103rd-congress/senate-bill/2267,"103rd Congress (1993-1994)","A bill to enable all able-bodied Federal prisoners to work.","Brown, Hank [Sen.-R-CO] (Introduced 07/01/1994)",Republican,07/01/1994,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",07/01/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Commerce,Corrections,"Crime and Law Enforcement",Disabled,"Disaster relief","Economics and Public Finance","Emergency Management","Employment of the handicapped","Environmental Protection","Federal Prison Industries, Inc.",Floods,"Government corporations","Government Operations and Politics","Government procurement","Government trust funds","Industrial standards","Labor and Employment","Manufacturing industries","Minimum wages",Prices,"Prison labor","Recycling industry","Recycling of waste products","Sheltered workshops","Surplus government property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Federal criminal code to authorize Federal Prison Industries (FPI) to sell excess or obsolescent property on the open market at the best available price, with the proceeds of such sales to be deposited to the Prison Industries Fund. <p>Requires FPI to determine the character of and necessity for its obligations and expenditures and the manner in which they shall be incurred, allowed, and paid, subject to laws applicable to Government corporations.  (Current law requires FPI to deposit all of its monies into the Fund.) <p>Requires commodities and services produced by FPI to be sold at current market prices and to conform to Federal and relevant private industry design, quality, and testing standards. <p> Accords services of the workshops for the handicapped priority for Federal purchasing over those offered by FPI if both entities offer competitive services.  Requires Federal agencies to provide to FPI the maximum opportunity to participate as a subcontractor in labor-intensive, light manufacturing segments of awarded contracts. <p>Authorizes FPI to:    (1) produce or provide for sale on the open market processes, products, and services that would otherwise be produced by foreign labor at offshore locations; and (2) enter into agreements with private industry for such purposes.  Requires FPI to certify that such products, processes, or services:  (1) are labor-intensive and limited to levels that replace goods and services produced by offshore labor; and (2) do not significantly increase competition with any remaining domestic labor or industry. <p>Authorizes FPI to:  (1) produce and provide recycled materials for sale on the open market; and (2) produce or provide goods and services for sale or donation on the open market to private, nonprofit organizations to assist in disaster relief. <p>Exempts:  (1) items sold on the open market pursuant to this Act from the prohibition against shipment in commerce of prison-made goods; and (2) inmates who work on the production of products or services from the minimum wage requirements of the Fair Labor Standards Act of 1938. <p>Authorizes FPI funds to be used to enter into contracts related to the purchase of goods for industrial operations without regard to laws governing procurement by Federal agencies.",,,,,,
"S. 2263",https://www.congress.gov/bill/103rd-congress/senate-bill/2263,"103rd Congress (1993-1994)","A bill to authorize extension of the time limitation for a FERC-issued hydroelectric license.","Gorton, Slade [Sen.-R-WA] (Introduced 07/01/1994)",Republican,07/01/1994,"Senate - Energy and Natural Resources","Referred to Subcommittee on Water and Power.",07/05/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Energy,"Energy policy","Hydroelectric power",Licenses,"Washington State","Water Resources Development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Authorizes the Federal Energy Regulatory Commission, upon request of a certain licensee, to extend the time required to commence construction of a specified hydroelectric project.",,,,,,
"S. 2258",https://www.congress.gov/bill/103rd-congress/senate-bill/2258,"103rd Congress (1993-1994)","A bill to create a Commission on the Roles and Capabilities of the U.S. Intelligence Community, and for other purposes.","Warner, John [Sen.-R-VA] (Introduced 06/30/1994)",Republican,06/30/1994,"Senate - Intelligence (Select)","Read twice and referred to the Committee on Intelligence.",06/30/1994,"DeConcini, Dennis [Sen.-D-AZ]","Metzenbaum, Howard M. [Sen.-D-OH]","Chafee, John H. [Sen.-R-RI]","Cohen, William S. [Sen.-R-ME]","Graham, Bob [Sen.-D-FL]","Lugar, Richard G. [Sen.-R-IN]","Baucus, Max [Sen.-D-MT]","Bryan, Richard H. [Sen.-D-NV]","Durenberger, Dave [Sen.-R-MN]","Pell, Claiborne [Sen.-D-RI]","Lautenberg, Frank R. [Sen.-D-NJ]","Hatch, Orrin G. [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"Armed Forces and National Security",Australia,Canada,"Central Intelligence Agency",Commerce,"Confidential funding (Federal budgets)",Congress,"Congressional reporting requirements",Counterintelligence,"Covert operations","Defense budgets","Defense burdensharing","Economics and Public Finance",Europe,"Federal advisory bodies",France,Germany,"Government and business","Government Operations and Politics","Great Britain","Intelligence officers","International Affairs","International agencies","International cooperation",Israel,"Middle East and North Africa","Military intelligence","North America",Oceania,"Presidential appointments",Russia,"Russian Republic","Security clearances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Establishes a commission on the roles and capabilities of the United States intelligence community.  Requires the Commission to:  (1) review the efficacy and appropriateness of U.S. intelligence activities in the post-Cold War global environment; and (2) issue a report containing recommendations with respect to U.S. intelligence roles and capabilities for the foreseeable future.",,,,,,
