"Downloaded on",03/05/2025,"13:19:31 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22congress%22%3A%5B%22108%22%5D%2C%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2157",https://www.congress.gov/bill/108th-congress/senate-bill/2157,"108th Congress (2003-2004)","A bill to amend the Trade Act of 1974 to extend the trade adjustment assistance program to the services sector, and for other purposes.","Baucus, Max [Sen.-D-MT] (Introduced 03/02/2004)",Democratic,03/02/2004,"Senate - Finance","Read twice and referred to the Committee on Finance. (text of measure as introduced: CR S2004)",03/02/2004,"Biden, Joseph R., Jr. [Sen.-D-DE]","Inouye, Daniel K. [Sen.-D-HI]","Lautenberg, Frank R. [Sen.-D-NJ]","Bingaman, Jeff [Sen.-D-NM]","Rockefeller, John D., IV [Sen.-D-WV]","Breaux, John B. [Sen.-D-LA]","Reid, Harry [Sen.-D-NV]","Boxer, Barbara [Sen.-D-CA]","Murray, Patty [Sen.-D-WA]","Wyden, Ron [Sen.-D-OR]","Landrieu, Mary L. [Sen.-D-LA]","Bayh, Evan [Sen.-D-IN]","Cantwell, Maria [Sen.-D-WA]","Carper, Thomas R. [Sen.-D-DE]","Clinton, Hillary Rodham [Sen.-D-NY]","Corzine, Jon S. [Sen.-D-NJ]","Coleman, Norm [Sen.-R-MN]","Mikulski, Barbara A. [Sen.-D-MD]","Daschle, Thomas A. [Sen.-D-SD]","Dodd, Christopher J. [Sen.-D-CT]","Schumer, Charles E. [Sen.-D-NY]","Snowe, Olympia J. [Sen.-R-ME]","Leahy, Patrick J. [Sen.-D-VT]","Sarbanes, Paul S. [Sen.-D-MD]","Lincoln, Blanche L. [Sen.-D-AR]","Dayton, Mark [Sen.-D-MN]","Smith, Gordon H. [Sen.-R-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Authorization,"Trade adjustment assistance","Department of Labor","Dislocated workers","Economics and Public Finance","Federal employees","Foreign Trade and International Finance","Government Operations and Politics","Government paperwork",Imports,"Labor and Employment","Labor statistics","Local employees","Location of industries","Occupational retraining","Service industries","State employees",Surveys,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.3881,H.R.3957,H.R.4090,,,,,,,,,,,,,,,,,,,,,CRS,,,"03/10/2004 Referred to the Subcommittee on Trade.","03/16/2004 Referred to the Subcommittee on Trade.","04/14/2004 Referred to the Subcommittee on Trade.",,,,,," <p>Trade Adjustment Assistance Equity for Service Workers Act of 2004 - Amends the Trade Act of 1974 to extend trade adjustment assistance (TAA) to workers in a service sector firm or its subdivision or public agency.</p> <p> Revises group eligibility requirements for TAA to include: (1) a shift, by a public agency to a foreign country in provision of services, like or directly competitive with services which are provided by the workers' firm, subdivision, or public agency; and (2) the situation where the workers' firm, subdivision, or public agency obtains or is likely to obtain such services from a foreign country.</p> <p>Requires the Secretary of Labor to certify as eligible to apply for TAA any adversely affected secondary workers in a service sector firm or its subdivision or public agency.</p> <p>Specifies criteria for determination of the existence of increased imports of like or directly competitive articles or services. </p> <p>Increases from $220 million to $440 million the amount of fiscal year payments for training of adversely affected workers under the Act.</p> <p>Authorizes the Secretary to provide technical assistance for the establishment of industrywide programs for new service development.</p> <p>Modifies the trade monitoring system to include imports of services.</p>",,,,,,
"S. 2154",https://www.congress.gov/bill/108th-congress/senate-bill/2154,"108th Congress (2003-2004)","Dru's Law","Dorgan, Byron L. [Sen.-D-ND] (Introduced 03/02/2004)",Democratic,03/02/2004,"House - Judiciary | Senate - Judiciary","Referred to the House Committee on the Judiciary.",11/20/2004,"Conrad, Kent [Sen.-D-ND]","Dayton, Mark [Sen.-D-MN]","Coleman, Norm [Sen.-R-MN]","Lugar, Richard G. [Sen.-R-IN]","Durbin, Richard J. [Sen.-D-IL]","Johnson, Tim [Sen.-D-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Child sexual abuse",Women,"Crime and Law Enforcement","Criminal justice information","Data banks",Directories,"Electronic government information",Families,"Government Operations and Politics","Government paperwork","Government publicity",Health,Internet,Parole,Probation,"Public records",Rape,"Science, Technology, Communications","Sex offenders","Civil commitment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3929,,,,,,,,,,,,,,,,,,,,,,,CRS,,,"04/02/2004 Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",,,,,,,," <p>Dru Sjodin National Sex Offender Public Database Act of 2004 or Dru's Law - Directs the Attorney General to: (1) make publicly available in a registry via the Internet, from information contained in the National Sex Offender Registry, specified information about sexually violent predators and persons convicted of a sexually violent offense or a criminal offense against a minor, who are required to register with a minimally sufficient State sexual offender registration program; and (2) allow registry users to identity offenders who are currently residing within a radius of the location indicated by the user. Requires registry information to include the offender's name, address, date of birth, physical description, and photograph, the nature and date of commission of the offense, and the date on which the person is released from prison or placed on parole, supervised release, or probation</p> <p>Requires: (1) any State that provides for a civil commitment proceeding to notify the State attorney general of the impending release of a sexually violent predator or a person has been deemed to be at high-risk for recommitting any sexually violent offense or criminal offense against a minor; (2) the State attorney general to consider instituting a civil commitment proceeding; and (3) each State to intensively monitor, for at least a year, any such person who has been unconditionally released by the State and who has not been civilly committed.</p> <p>Makes a State that fails to implement Act requirements ineligible to receive 25 percent of funds that would otherwise be allocated to it under the Violent Crime Control and Law Enforcement Act of 1994.</p>",,,,,,
"S. 2153",https://www.congress.gov/bill/108th-congress/senate-bill/2153,"108th Congress (2003-2004)","A bill to designate the facility of the United States Postal Service located at 223 South Main Street in Roxboro, North Carolina, as the ""Oscar Scott Woody Post Office Building"".","Edwards, John [Sen.-D-NC] (Introduced 03/02/2004)",Democratic,03/02/2004,"Senate - Governmental Affairs","Placed on Senate Legislative Calendar under General Orders. Calendar No. 575.",06/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Commemorations,Congress,"Congressional tributes","Federal employees","Government Operations and Politics",Names,"North Carolina","Postal facilities","United States Postal Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3740,,,,,,,,,,,,,,,,,,,,,,,CRS,House,,"06/25/2004 Became Public Law No: 108-253.",,,,,,,," <p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Designates the U.S. Postal Service facility located at 223 South Main Street in Roxboro, North Carolina, as the Oscar Scott Woody Post Office Building.</p>",,,,,,
"S. 2152",https://www.congress.gov/bill/108th-congress/senate-bill/2152,"108th Congress (2003-2004)","A bill to amend title 10, United States Code, to provide eligibility for reduced non-regular service military retired pay before age 60, and for other purposes.","Miller, Zell [Sen.-D-GA] (Introduced 03/02/2004)",Democratic,03/02/2004,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",03/02/2004,"DeWine, Mike [Sen.-R-OH]","Chambliss, Saxby [Sen.-R-GA]","Murkowski, Lisa [Sen.-R-AK]","Cochran, Thad [Sen.-R-MS]","Nelson, Ben [Sen.-D-NE]","Collins, Susan M. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Social Welfare","Retirement age","Retiree health benefits","Military pensions","Veterans' medical care","Labor and Employment",Health,"Armed forces reserves","Armed Forces and National Security","Military medicine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4599,,,,,,,,,,,,,,,,,,,,,,,CRS,,,"06/16/2004 Referred to the House Committee on Armed Services.",,,,,,,," <p>Guard and Reserve Retirement Retainer Act of 2004 - Provides that, in the case of a person to whom the payment of military retired pay for non-regular (reserve) service commences after the person attains 55 years of age and before the person attains 60 years of age, the amount of such pay shall be reduced by: (1) 12.5 percent, for age 55; (2) 9 percent, for age 56; (3) 6 percent, for age 57; (4) 3.5 percent, for age 58; and (5) 1.5 percent, for age 59.</p> <p>Prohibits any such person from receiving medical and dental care through facilities of the Department of Defense until the person has attained 60 years of age.</p>",,,,,,
"S. 2151",https://www.congress.gov/bill/108th-congress/senate-bill/2151,"108th Congress (2003-2004)","A bill to encourage the development and integrated use by the public and private sectors of remote sensing and other geospatial information, and for other purposes.","Johnson, Tim [Sen.-D-SD] (Introduced 03/01/2004)",Democratic,03/01/2004,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",03/01/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Higher education","Land use",Minorities,Planning,"Public Lands and Natural Resources","Remote sensing","Science, Technology, Communications","Space activities","Urban affairs","Urban growth","Geographic information systems","Government Operations and Politics","Government paperwork",Grants-in-aid,"Governmental investigations","Government publicity","Forest fires","Fire prevention","Finance and Financial Sector","Federal-state relations","Federal-local relations","Federal-Indian relations","Federal advisory bodies","Emergency Management","Electronic government information",Education,"Economics and Public Finance","Data banks","Cost accounting","Congressional reporting requirements",Congress,Commercialization,Colleges,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1292,,,,,,,,,,,,,,,,,,,,,,,House,,,"02/18/2004 Placed on the Union Calendar, Calendar No. 243.",,,,,,,," <p>Remote Sensing Applications Act of 2004 - Requires the Director of the U.S. Geological Survey to: (1) establish a program of grants for pilot projects to explore the integrated use of sources of remote sensing and other geospatial information to address State, local, regional, and tribal agency needs; (2) establish an advisory committee to monitor the program; (3) transmit to Congress an independent evaluation of program effectiveness; and (4) ensure that project results are retrievable through an Internet-accessible database.</p> <p> Requires the Director to seek opportunities to assist: (1) in the development of commercial applications potentially available from the remote sensing industry; and (2) State, local, regional, and tribal agencies in applying remote sensing and geospatial information technologies for growth management. </p> <p>Requires the Director to: (1) establish an educational outreach program to increase awareness at institutions of higher education and such agencies of the potential applications of remote sensing and geospatial information; and (2) study the effect of remote sensing imagery costs on potential State, local, regional, and tribal agency applications.",,,,,,
"S. 2150",https://www.congress.gov/bill/108th-congress/senate-bill/2150,"108th Congress (2003-2004)","A bill to promote better health for young people through Federal matching awards for physical education programs of excellence, and for other purposes.","Nelson, Bill [Sen.-D-FL] (Introduced 03/01/2004)",Democratic,03/01/2004,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",03/01/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Child health","Federal aid to education","Medical research","Sports and Recreation","Secondary education","Science, Technology, Communications","School health programs","Physical fitness","Physical education and training","Government Operations and Politics",Health,"Government publicity",Congress,"Congressional reporting requirements","Economics and Public Finance",Education,"Elementary and secondary education","Elementary education",Families,Obesity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Elementary and Secondary Education Act of 1965 to direct the Secretary of Education to provide matching awards to maintain eligible schools' high quality physical education programs.</p> <p> Requires the Secretary and the Director of the Centers for Disease Control and Prevention to study and report to Congress on the effectiveness of school-based physical education programs in promoting health and well-being, and in preventing obesity, in children.</p> <p>Requires State report cards to include the numbers and percentages of elementary schools, middle schools, and secondary schools in the State that provide physical education programs.</p>",,,,,,
"S. 2147",https://www.congress.gov/bill/108th-congress/senate-bill/2147,"108th Congress (2003-2004)","A bill to increase the penalties for violations by television and radio broadcasters of the prohibitions against transmission of obscene, indecent, and profane language.","Miller, Zell [Sen.-D-GA] (Introduced 03/01/2004)",Democratic,03/01/2004,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",03/01/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Church and social problems","Television stations","Crime and Law Enforcement","Economics and Public Finance",Education,"Elementary and secondary education",Entertainers,"Executive reorganization","Federal Communications Commission","Federal advisory bodies","Fines (Penalties)","Government Operations and Politics",Grants-in-aid,"Independent regulatory commissions",Law,Pornography,"Radio broadcasting","Radio stations",Religion,"Science, Technology, Communications",Standards,Teachers,"Television broadcasting",Clergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Broadcast Decency Responsibility and Enforcement Act of 2004 - Amends the Communications Act of 1934 to provide that, if the violator of the terms and conditions of any Federal Communications Commission (FCC) license, permit, or certificate is a broadcast station licensee or permittee, an applicant for a broadcast license, permit, or certificate, or any other company or individual determined by the FCC to have participated in broadcasting obscene, indecent, or profane language, the amount of forfeiture penalty shall be 25 cents times the number of individuals who witnessed or heard the broadcast, as determined by a viewership rating service selected by the FCC. Requires amounts so collected to be used: (1) first, to fund enforcement costs; and (2) to make grants to faith-based programs selected by the Faith Based Initiative Office of the White House.</p> <p>Directs the FCC to establish a Council of Decency to advise the FCC on standards of decency as applied to broadcasts over which the FCC has jurisdiction.</p>",,,,,,
"S. 2146",https://www.congress.gov/bill/108th-congress/senate-bill/2146,"108th Congress (2003-2004)","A bill to require the Secretary of the Treasury to mint coins in commemoration of the contributions of Dr. Martin Luther King, Jr., to the United States.","Landrieu, Mary L. [Sen.-D-LA] (Introduced 02/27/2004)",Democratic,02/27/2004,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",02/27/2004,"Stevens, Ted [Sen.-R-AK]","Lugar, Richard G. [Sen.-R-IN]","Levin, Carl [Sen.-D-MI]","Cochran, Thad [Sen.-R-MS]","Warner, John [Sen.-R-VA]","Breaux, John B. [Sen.-D-LA]","Reid, Harry [Sen.-D-NV]","Lieberman, Joseph I. [Sen.-D-CT]","Burns, Conrad R. [Sen.-R-MT]","Murray, Patty [Sen.-D-WA]","Feingold, Russell D. [Sen.-D-WI]","Santorum, Rick [Sen.-R-PA]","Durbin, Richard J. [Sen.-D-IL]","Johnson, Tim [Sen.-D-SD]","Bayh, Evan [Sen.-D-IN]","Voinovich, George V. [Sen.-R-OH]","Chafee, Lincoln [Sen.-R-RI]","Miller, Zell [Sen.-D-GA]","Nelson, Bill [Sen.-D-FL]","Stabenow, Debbie [Sen.-D-MI]","Chambliss, Saxby [Sen.-R-GA]","Pryor, Mark L. [Sen.-D-AR]","Schumer, Charles E. [Sen.-D-NY]","Cantwell, Maria [Sen.-D-WA]","Brownback, Sam [Sen.-R-KS]","Reed, Jack [Sen.-D-RI]","Alexander, Lamar [Sen.-R-TN]","Sununu, John E. [Sen.-R-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,Archives,Silver,"Black history",Blacks,"Civil Rights and Liberties, Minority Issues","Civil rights movements","Civil rights workers","Coins and coinage",Commemorations,Congress,"Congressional agencies","Federal libraries","Finance and Financial Sector","Government Operations and Politics",History,"Human rights","Library of Congress",Minorities,"Arts, Culture, Religion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Dr. Martin Luther King, Jr., Commemorative Coin Act of 2004 - Instructs the Secretary of the Treasury to mint and issue $1 silver coins emblematic of the human rights legacy and leadership of Dr. Martin Luther King, Jr.</p> <p>Requires that: (1) all sales of such coins include a surcharge of $10 per coin; and (2) all surcharges from coin sales be promptly paid by the Secretary to the Library of Congress for purchasing and maintaining materials associated with the life and legacy of Dr. Martin Luther King, Jr.",,,,,,
"S. 2143",https://www.congress.gov/bill/108th-congress/senate-bill/2143,"108th Congress (2003-2004)","A bill to extend trade adjustment assistance to service workers.","Durbin, Richard J. [Sen.-D-IL] (Introduced 02/27/2004)",Democratic,02/27/2004,"Senate - Finance","Read twice and referred to the Committee on Finance.",02/27/2004,"Leahy, Patrick J. [Sen.-D-VT]","Lieberman, Joseph I. [Sen.-D-CT]","Landrieu, Mary L. [Sen.-D-LA]","Mikulski, Barbara A. [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Foreign Trade and International Finance","Labor and Employment","Location of industries","Service industries","Trade adjustment assistance","Dislocated workers",Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Service Workers Fairness Act - Amends the Trade Act of 1974 to extend, under specified conditions, trade adjustment assistance to service workers in a firm or its subdivision.</p>",,,,,,
"S. 2142",https://www.congress.gov/bill/108th-congress/senate-bill/2142,"108th Congress (2003-2004)","A bill to authorize appropriations for the New Jersey Coastal Heritage Trail Route, and for other purposes.","Lautenberg, Frank R. [Sen.-D-NJ] (Introduced 02/27/2004)",Democratic,02/27/2004,"House - Resources | Senate - Energy and Natural Resources","Referred to the Subcommittee on National Parks, Recreation and Public Lands.",11/18/2004,"Corzine, Jon S. [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Coastal zone","Transportation and Public Works",Trails,"Strategic planning","Sports and Recreation","Roads and highways","Public Lands and Natural Resources",Authorization,Commemorations,"Department of the Interior","Economics and Public Finance","Government Operations and Politics",Grants-in-aid,"Historic sites",History,"Marine and coastal resources, fisheries","New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Amends Federal law concerning the Coastal Heritage Trail Route in New Jersey to reauthorize appropriations for the route. Allows funds appropriated for the route to be used for grants. Requires the Secretary of the Interior to prepare a strategic plan that describes opportunities to increase participation in the planning, development, and administration of the route and organizational options for sustaining the route. </p>",,,,,,
