"Downloaded on",03/05/2025,"14:06:13 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%5B%22118%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%22Republican%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 5619",https://www.congress.gov/bill/118th-congress/senate-bill/5619,"118th Congress (2023-2024)","Quapaw Tribal Settlement Act of 2024","Mullin, Markwayne [Sen.-R-OK] (Introduced 12/19/2024)",Republican,12/19/2024,"Senate - Indian Affairs","Read twice and referred to the Committee on Indian Affairs.",12/19/2024,"Lankford, James [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5618",https://www.congress.gov/bill/118th-congress/senate-bill/5618,"118th Congress (2023-2024)","FoRGED Act","Wicker, Roger F. [Sen.-R-MS] (Introduced 12/19/2024)",Republican,12/19/2024,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",12/19/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5616",https://www.congress.gov/bill/118th-congress/senate-bill/5616,"118th Congress (2023-2024)","Preserving American Dominance in Artificial Intelligence Act of 2024","Romney, Mitt [Sen.-R-UT] (Introduced 12/19/2024)",Republican,12/19/2024,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/19/2024,"Reed, Jack [Sen.-D-RI]","Moran, Jerry [Sen.-R-KS]","King, Angus S., Jr. [Sen.-I-ME]","Hassan, Margaret Wood [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5614",https://www.congress.gov/bill/118th-congress/senate-bill/5614,"118th Congress (2023-2024)","DRAIN THE SWAMP Act","Ernst, Joni [Sen.-R-IA] (Introduced 12/19/2024)",Republican,12/19/2024,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",12/19/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Government employee pay, benefits, personnel management","Congressional oversight",Commuting,"Computers and information technology","Government buildings, facilities, and property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5608",https://www.congress.gov/bill/118th-congress/senate-bill/5608,"118th Congress (2023-2024)","Reducing the Size of the Federal Government Through Attrition Act of 2024","Johnson, Ron [Sen.-R-WI] (Introduced 12/19/2024)",Republican,12/19/2024,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",12/19/2024,"Scott, Rick [Sen.-R-FL]","Lee, Mike [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5607",https://www.congress.gov/bill/118th-congress/senate-bill/5607,"118th Congress (2023-2024)","Rural Historic Tax Credit Improvement Act","Capito, Shelley Moore [Sen.-R-WV] (Introduced 12/19/2024)",Republican,12/19/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/19/2024,"Warner, Mark R. [Sen.-D-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5604",https://www.congress.gov/bill/118th-congress/senate-bill/5604,"118th Congress (2023-2024)","SEMI Investment Act","Blackburn, Marsha [Sen.-R-TN] (Introduced 12/19/2024)",Republican,12/19/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/19/2024,"Bennet, Michael F. [Sen.-D-CO]","Tillis, Thomas [Sen.-R-NC]","Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5603",https://www.congress.gov/bill/118th-congress/senate-bill/5603,"118th Congress (2023-2024)","RETIREES FIRST Act","Blackburn, Marsha [Sen.-R-TN] (Introduced 12/19/2024)",Republican,12/19/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/19/2024,"Marshall, Roger [Sen.-R-KS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5599",https://www.congress.gov/bill/118th-congress/senate-bill/5599,"118th Congress (2023-2024)","Fog Forecast Improvement Act","Cruz, Ted [Sen.-R-TX] (Introduced 12/18/2024)",Republican,12/18/2024,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/18/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5598",https://www.congress.gov/bill/118th-congress/senate-bill/5598,"118th Congress (2023-2024)","A bill to prohibit and require notifications with respect to certain investments by United States persons in the People's Republic of China, and for other purposes.","Cornyn, John [Sen.-R-TX] (Introduced 12/18/2024)",Republican,12/18/2024,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",12/18/2024,"Casey, Robert P., Jr. [Sen.-D-PA]","Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Finance and Financial Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.10445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/17/2024 Referred to the Committee on Appropriations, and in addition to the Committees on the Budget, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5594",https://www.congress.gov/bill/118th-congress/senate-bill/5594,"118th Congress (2023-2024)","FINISH Act","Young, Todd [Sen.-R-IN] (Introduced 12/18/2024)",Republican,12/18/2024,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",12/18/2024,"Bennet, Michael F. [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5582",https://www.congress.gov/bill/118th-congress/senate-bill/5582,"118th Congress (2023-2024)","Biodiesel Tax Credit Extension Act of 2024","Tillis, Thomas [Sen.-R-NC] (Introduced 12/18/2024)",Republican,12/18/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/18/2024,"Ricketts, Pete [Sen.-R-NE]","Grassley, Chuck [Sen.-R-IA]","Fischer, Deb [Sen.-R-NE]","Ernst, Joni [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5579",https://www.congress.gov/bill/118th-congress/senate-bill/5579,"118th Congress (2023-2024)","Auto Data Privacy and Autonomy Act","Lee, Mike [Sen.-R-UT] (Introduced 12/18/2024)",Republican,12/18/2024,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/18/2024,"Merkley, Jeff [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5578",https://www.congress.gov/bill/118th-congress/senate-bill/5578,"118th Congress (2023-2024)","DUE PROCESS Act of 2024","Grassley, Chuck [Sen.-R-IA] (Introduced 12/18/2024)",Republican,12/18/2024,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",12/18/2024,"Crapo, Mike [Sen.-R-ID]","Welch, Peter [Sen.-D-VT]","Wyden, Ron [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 5576",https://www.congress.gov/bill/118th-congress/senate-bill/5576,"118th Congress (2023-2024)","America First Act","Lee, Mike [Sen.-R-UT] (Introduced 12/18/2024)",Republican,12/18/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/18/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
