"Downloaded on",03/04/2025,"18:40:15 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22110%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2628",https://www.congress.gov/bill/110th-congress/senate-bill/2628,"110th Congress (2007-2008)","A bill to amend the Internal Revenue Code of 1986 to treat income earned by mutual funds from exchange-traded funds holding precious metal bullion as qualifying income.","Ensign, John [Sen.-R-NV] (Introduced 02/13/2008)",Republican,02/13/2008,"Senate - Finance","Read twice and referred to the Committee on Finance.",02/13/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Tax rates",Taxation,Silver,"Public Lands and Natural Resources","Precious metals",Platinum,"Mutual funds","Income tax",Gold,"Finance and Financial Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1428,,,,,,,,,,CRS,,,"04/03/2007 Referred to the Subcommittee on Military Personnel.",,,,,,,,,," <p>Amends the Internal Revenue Code to treat income earned by mutual funds from interests holding certain gold, silver, platinum, or palladium bullion that are regularly traded on an established U.S. securities market as qualifying income (i.e., passed through and taxed at individual income tax rates).</p>",,,,,,
"S. 2627",https://www.congress.gov/bill/110th-congress/senate-bill/2627,"110th Congress (2007-2008)","A bill to provide for a biennial budget process and a biennial appropriations process and to enhance oversight and the performance of the Federal Government.","Domenici, Pete V. [Sen.-R-NM] (Introduced 02/13/2008)",Republican,02/13/2008,"Senate - Budget","Read twice and referred to the Committee on the Budget. (text of measure as introduced: CR S972-975)",02/13/2008,"Lugar, Richard G. [Sen.-R-IN]","Lieberman, Joseph I. [Sen.-ID-CT]","Feingold, Russell D. [Sen.-D-WI]","Hutchison, Kay Bailey [Sen.-R-TX]","Snowe, Olympia J. [Sen.-R-ME]","Enzi, Michael B. [Sen.-R-WY]","Sessions, Jeff [Sen.-R-AL]","Voinovich, George V. [Sen.-R-OH]","Alexander, Lamar [Sen.-R-TN]","Chambliss, Saxby [Sen.-R-GA]","Martinez, Mel [Sen.-R-FL]","Isakson, Johnny [Sen.-R-GA]","Corker, Bob [Sen.-R-TN]","Kyl, Jon [Sen.-R-AZ]","Cornyn, John [Sen.-R-TX]","Vitter, David [Sen.-R-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Authorization,Appropriations,"Budget reconciliation","Budget resolutions",Congress,"Congressional budget","Congressional reporting requirements","Economics and Public Finance","Strategic planning","Senate rules and procedure",Planning-programming-budgeting,Legislation,"House rules and procedure","Governmental investigations","Fiscal year","Federal budget process","Biennial budgets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Biennial Budgeting and Appropriations Act - Amends the Congressional Budget Act of 1974 to require: (1) biennial (currently, annual) budget resolutions; (2) biennial appropriations Acts; and (3) biennial government strategic and performance plans.</p> <p>Defines the budget biennium as the two consecutive fiscal years beginning on October 1 of any odd-numbered year.</p> <p>Requires the Director of the Office of Management and Budget (OMB) to: (1) determine the impact and feasibility of changing the definition of a fiscal year and the budget process based on that definition to a two-year fiscal period with a biennial budget process based on such period; and (2) report the findings to the House and Senate Budget Committees.</p>",,,,,,
"S. 2626",https://www.congress.gov/bill/110th-congress/senate-bill/2626,"110th Congress (2007-2008)","A bill to designate the facility of the United States Postal Service located at 160 East Washington Street in Chagrin Falls, Ohio, as the ""Sergeant Michael M. Kashkoush Post Office Building"".","Voinovich, George V. [Sen.-R-OH] (Introduced 02/12/2008)",Republican,02/12/2008,"Senate - Homeland Security and Governmental Affairs","Indefinitely postponed by Senate by Unanimous Consent. (consideration: CR S4046)",05/12/2008,"Brown, Sherrod [Sen.-D-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Postal facilities",Ohio,Names,"Government Operations and Politics","Congressional tributes","Armed Forces and National Security",Commemorations,"Military personnel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5400,,,,,,,,,,CRS,House,,"05/07/2008 Became Public Law No: 110-224.",,,,,,,,,,"Designates the facility of the United States Postal Service located at 160 East Washington Street in Chagrin Falls, Ohio, as the ""Sergeant Michael M. Kashkoush Post Office Building.""",,,,,,
"S. 2619",https://www.congress.gov/bill/110th-congress/senate-bill/2619,"110th Congress (2007-2008)","A bill to protect innocent Americans from violent crime in national parks.","Coburn, Tom [Sen.-R-OK] (Introduced 02/08/2008)",Republican,02/08/2008,,"Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 573.",02/11/2008,"Ensign, John [Sen.-R-NV]","Vitter, David [Sen.-R-LA]","Kyl, Jon [Sen.-R-AZ]","Thune, John [Sen.-R-SD]","Isakson, Johnny [Sen.-R-GA]","Inhofe, James M. [Sen.-R-OK]","Murkowski, Lisa [Sen.-R-AK]","Stevens, Ted [Sen.-R-AK]","Craig, Larry E. [Sen.-R-ID]","Bunning, Jim [Sen.-R-KY]","DeMint, Jim [Sen.-R-SC]","Chambliss, Saxby [Sen.-R-GA]","Wicker, Roger F. [Sen.-R-MS]","Graham, Lindsey [Sen.-R-SC]","McCain, John [Sen.-R-AZ]","Hatch, Orrin G. [Sen.-R-UT]","Sununu, John E. [Sen.-R-NH]","Enzi, Michael B. [Sen.-R-WY]","Shelby, Richard C. [Sen.-R-AL]","Brownback, Sam [Sen.-R-KS]","Bond, Christopher S. [Sen.-R-MO]","Cornyn, John [Sen.-R-TX]","Martinez, Mel [Sen.-R-FL]","Burr, Richard [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,"Administrative procedure",Animals,"Crime and Law Enforcement","Department of the Interior","Firearms control","Wildlife refuges",Law,"National parks","Public Lands and Natural Resources","State laws","Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.5434,S.2807,S.3499,,,,,,,,CRS,,,"02/19/2008 Referred to the Subcommittee on Fisheries, Wildlife, and Oceans.","04/03/2008 Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 623.","09/16/2008 Placed on Senate Legislative Calendar under General Orders. Calendar No. 1007.",,,,,,,," <p>Protecting Americans from Violent Crime Act of 2008 - Bars the promulgation or enforcement of any regulation that prohibits an individual from possessing a firearm, including an assembled or functional firearm, in any unit of the National Park System or the National Wildlife Refuge System if: (1) the individual is not otherwise prohibited by law from possessing the firearm; and (2) the possession of the firearm is in compliance with the law of the state in which the unit is located. </p>",,,,,,
"S. 2614",https://www.congress.gov/bill/110th-congress/senate-bill/2614,"110th Congress (2007-2008)","A bill to facilitate the development, demonstration, and implementation of technology for the use in removing carbon dioxide and other greenhouse gases from the atmosphere.","Barrasso, John [Sen.-R-WY] (Introduced 02/08/2008)",Republican,02/08/2008,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",02/08/2008,"Enzi, Michael B. [Sen.-R-WY]","Martinez, Mel [Sen.-R-FL]","Stevens, Ted [Sen.-R-AK]","Murkowski, Lisa [Sen.-R-AK]","Hatch, Orrin G. [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Climate change and greenhouse gases","Carbon cycle","Department of Energy","Economics and Public Finance","Environmental Protection","Environmental technology","Executive reorganization",Fluorocarbons,"Government Operations and Politics",Grants-in-aid,"Intellectual property",Law,Licenses,Patents,"Science, Technology, Communications","Awards, medals, prizes",Commemorations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Greenhouse Gas Emission Atmospheric Removal Act or the GEAR Act - Declares that it is the policy of the United States to provide incentives to encourage the development and implementation of technology to permanently remove greenhouse gases (GHGs) from the atmosphere on a significant scale.</p><p>Establishes within the Department of Energy (DOE) the Greenhouse Gas Emission Atmospheric Removal Commission.</p><p>Requires the Secretary of Energy, acting through the Commission, to provide financial awards on a competitive basis to entities for the achievement of milestones in developing and applying technology that could significantly slow or reverse the accumulation of GHGs in the atmosphere by permanently capturing or sequestrating those gases without significant countervailing harmful effects.</p><p>Requires the Commission to: (1) develop specific requirements for the competition, performance, monitoring and verification, and the scale of awards; (2) establish minimum levels for the capture or net sequestration of GHGs required to qualify for a financial award; (3) offer awards to entities that demonstrate achievement of specified technological goals; and (4) establish standards for required peer review of proposals seeking such awards.</p><p></p><p></p><p>Vests title to intellectual property arising from such awards in U.S. entities. Bars title transfer to an entity not incorporated in the United States until the first obtained patent expires. Authorizes the United States to reserve a license to have such property practiced on its behalf.</p>",,,,,,
"S. 2608",https://www.congress.gov/bill/110th-congress/senate-bill/2608,"110th Congress (2007-2008)","A bill to make improvements to the Small Business Act.","Snowe, Olympia J. [Sen.-R-ME] (Introduced 02/07/2008)",Republican,02/07/2008,"Senate - Small Business and Entrepreneurship","Read twice and referred to the Committee on Small Business and Entrepreneurship. (text of measure as introduced: CR S791)",02/07/2008,"Dole, Elizabeth [Sen.-R-NC]","Roberts, Pat [Sen.-R-KS]","Isakson, Johnny [Sen.-R-GA]","Hutchison, Kay Bailey [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Women in business","Civil Rights and Liberties, Minority Issues","Government Operations and Politics","Government procurement","Governmental investigations",Industries,"Sex discrimination",Women,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Small Business Women's Procurement Program Improvement Act - Amends the Small Business Act relating to the women's procurement program (the provision of contracting opportunities for women-owned small businesses) to require the Administrator of the Small Business Administration (SBA) to wait until five years after the program is implemented before conducting a required study to identify industries in which small businesses owned and controlled by women are underrepresented with respect to federal procurement contracting (and therefore eligible for contracting preferences or set-asides). Presumes as underrepresented by women-owned small businesses the industries identified in industry codes 11 through 81 of the 2007 North American Industry Classification System Code.</p> <p>States that a contracting officer need not make a finding of past gender discrimination by a contracting agency in order to comply with federal contracting requirements under the women's business procurement program.</p>",,,,,,
"S. 2607",https://www.congress.gov/bill/110th-congress/senate-bill/2607,"110th Congress (2007-2008)","DTV Transition Assistance Act","Snowe, Olympia J. [Sen.-R-ME] (Introduced 02/07/2008)",Republican,02/07/2008,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation","Became Public Law No: 110-295.",07/30/2008,"Stevens, Ted [Sen.-R-AK]","Smith, Gordon H. [Sen.-R-OR]","Cantwell, Maria [Sen.-D-WA]","McCaskill, Claire [Sen.-D-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Social Welfare","Television broadcasting","Science, Technology, Communications",Minorities,"Housing and Community Development",Grants-in-aid,"Equipment and supplies","Economics and Public Finance","Consumer education",Commerce,"Television stations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5696,,,,,,,,,,CRS,,,"04/04/2008 Referred to the Subcommittee on Telecommunications and the Internet.",,,,,,,,,," <p><b>(This measure has not been amended since it was passed by the Senate on June 19, 2008. The summary of that version is repeated here.)</b></p> <p>DTV Transition Assistance Act - Amends the Digital Television Transition and Public Safety Act of 2005 (title III of the Deficit Reduction Act of 2005) with respect to the low-power television and translator digital-to-analog conversion program.</p> <p>Requires the Assistant Secretary for Communications and Information of the Department of Commerce to determine whether the full amounts provided from the Digital Television Transition and Public Safety Fund will be needed for payments to eligible low-power TV stations toward purchase of a digital-to-analog conversion device to convert the incoming digital signal of their corresponding full-power TV station to analog format transmission on the low-power TV station's analog channel. Permits the Secretary to make adjustments to such determination from time to time. </p> <p>Authorizes the Assistant Secretary, if such full amounts are not needed, to use the remaining amount for consumer education and technical assistance regarding the digital television (DTV) transition and the availability of the digital-to-analog converter box program (in addition to any pre-existing amounts expended for such purpose). Allows the use of such funds for partnering with, providing grants to, and contracting with non-profit organizations or public interest groups in achieving these efforts.</p> <p>Requires the Assistant Secretary, if such education program is initiated, to develop a plan to address the educational and technical assistance needs of vulnerable populations, such as senior citizens, individuals residing in rural and remote areas, and minorities, including, where appropriate, education plans focusing on the need for analog pass-through digital converter boxes in areas served by low-power or translator stations. Requires the Assistant Secretary also to consider the speed with which these objectives can be accomplished to the greatest public benefit.<br> </p> <p>Amends the Deficit Reduction Act of 2005 to extend through FY2012 the requirement for the Assistant Secretary to make payments from the Fund to implement a program to reimburse each licensee of an eligible low-power television station for equipment to upgrade low-power television stations from analog to digital in eligible rural communities.</p> <p>Requires such reimbursements to be issued to eligible stations on or after February 18, 2009 (currently, no earlier than October 1, 2010).<br> </p>",,,,,,
"S. 2603",https://www.congress.gov/bill/110th-congress/senate-bill/2603,"110th Congress (2007-2008)","A bill to amend title XI and XVIII of the Social Security Act to provide increased civil and criminal penalties for acts involving fraud and abuse under the Medicare program and to increase the amount of the surety bond required for suppliers of durable medical equipment.","Martinez, Mel [Sen.-R-FL] (Introduced 02/07/2008)",Republican,02/07/2008,"Senate - Finance","Read twice and referred to the Committee on Finance.",02/07/2008,"Cornyn, John [Sen.-R-TX]","Alexander, Lamar [Sen.-R-TN]","Coleman, Norm [Sen.-R-MN]","Vitter, David [Sen.-R-LA]","DeMint, Jim [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Crime and Law Enforcement","Finance and Financial Sector","Fines (Penalties)","Health care fraud",Health,Law,"Medical supplies",Medicare,"Sentences (Criminal procedure)","Social Welfare","Surety and fidelity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Medicare Fraud Prevention Act of 2008 - Amends title XI of the Social Security Act (SSA) to increase civil money penalties, criminal fines, and prison sentences for fraud and abuse under the SSA title XVIII (Medicare) program.</p> <p>Amends SSA title XVIII to increase the amount of the surety bond required for suppliers of durable medical equipment (DME). </p>",,,,,,
"S. 2599",https://www.congress.gov/bill/110th-congress/senate-bill/2599,"110th Congress (2007-2008)","A bill to provide enhanced education and employment opportunities for military spouses.","Corker, Bob [Sen.-R-TN] (Introduced 02/06/2008)",Republican,02/06/2008,"Senate - Finance","Read twice and referred to the Committee on Finance.",02/06/2008,"McCaskill, Claire [Sen.-D-MO]","Stevens, Ted [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Wages,"Veterans' employment","Veterans' education",Telecommuting,"Teacher education","Tax credits","Science, Technology, Communications","Recruiting and enlistment","Preschool education","Military dependents","Medical personnel","Married people","Labor and Employment","Income tax","Home offices","Higher education",Health,"Governmental investigations","Federal aid to education",Families,"Elementary and secondary education",Education,"Economics and Public Finance","Day care","Congressional reporting requirements","Congress and military policy","Armed Forces and National Security",Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Military Spouse Education and Employment Act of 2008 - Amends the Internal Revenue Code to include spouses of members of the Armed Forces on extended active duty (more than 90 days or for an indefinite period) and eligible teleworking military spouses (teleworking spouses whose wages are expected to equal or exceed 150% of U.S. median annual earnings) as members of a targeted group for purposes of the work opportunity tax credit.</p> <p>Includes the wife or husband of a member serving on extended active duty within the federal veterans' employment preference.</p> <p>Allows members who have completed two terms of service and have reenlisted for a third term to transfer a portion of their entitlement to basic educational assistance under the Montgomery GI Bill. (Current law allows such transfer for members with critical military skills.)</p> <p>Requires studies on: (1) the development of an education grant program for training military spouses in health care and early childhood development careers; and (2) creating work opportunities for undergraduate- and graduate-educated military spouses during the active-duty service of their spouses.</p>",,,,,,
"S. 2597",https://www.congress.gov/bill/110th-congress/senate-bill/2597,"110th Congress (2007-2008)","A bill to authorize the extension of nondiscriminatory treatment (normal trade relations treatment) to the products of Moldova.","Lugar, Richard G. [Sen.-R-IN] (Introduced 02/06/2008)",Republican,02/06/2008,"Senate - Finance","Read twice and referred to the Committee on Finance.",02/06/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Europe,"Foreign Trade and International Finance","Government Operations and Politics",Moldova,"Most favored nation principle","Normal trade relations","President and foreign policy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Authorizes the President to extend nondiscriminatory treatment (normal trade relations treatment) to the products of Moldova.</p>",,,,,,
"S. 2596",https://www.congress.gov/bill/110th-congress/senate-bill/2596,"110th Congress (2007-2008)","A bill to rescind funds appropriated by the  Consolidated Appropriations Act, 2008, for the City of Berkeley, California, and any entities located in such city, and to provide that such funds shall be transferred to the Operation and Maintenance, Marine Corps account of the Department of Defense for the purposes of recruiting.","DeMint, Jim [Sen.-R-SC] (Introduced 02/06/2008)",Republican,02/06/2008,,"Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 570.",02/11/2008,"Inhofe, James M. [Sen.-R-OK]","Cornyn, John [Sen.-R-TX]","Chambliss, Saxby [Sen.-R-GA]","Vitter, David [Sen.-R-LA]","Coburn, Tom [Sen.-R-OK]","Bond, Christopher S. [Sen.-R-MO]","Allard, Wayne [Sen.-R-CO]","Burr, Richard [Sen.-R-NC]","McConnell, Mitch [Sen.-R-KY]","Martinez, Mel [Sen.-R-FL]","Isakson, Johnny [Sen.-R-GA]","Ensign, John [Sen.-R-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Marines,"Armed Forces and National Security",California,"Defense budgets","Department of Defense","Recruiting and enlistment","Government Operations and Politics",Appropriations,"Urban areas","Urban affairs","Rescission of appropriated funds","Economics and Public Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5222,,,,,,,,,,CRS,,,"02/06/2008 Referred to the House Committee on Appropriations.",,,,,,,,,," <p>Semper Fi Act - Rescinds all amounts appropriated by the Consolidated Appropriations Act, 2008 for the city of Berkeley, California, or entities in such city.</p> <p>Transfers the rescinded amounts to the Operation and Maintenance, Marine Corps account of the Department of Defense (DOD) for FY2008, to be used for recruiting.</p>",,,,,,
"S. 2592",https://www.congress.gov/bill/110th-congress/senate-bill/2592,"110th Congress (2007-2008)","A bill to amend the Internal Revenue Code of 1986 to provide for permanent tax incentives for economic growth.","DeMint, Jim [Sen.-R-SC] (Introduced 02/05/2008)",Republican,02/05/2008,"Senate - Finance","Read twice and referred to the Committee on Finance.",02/05/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Capital gains tax",Commerce,"Corporation taxes","Depreciation and amortization",Taxation,"Income tax","Indexing (Economic policy)","Tax deductions","Tax rates","Economics and Public Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,H.R.1261,H.R.4995,H.R.5169,S.892,S.3535,H.R.5109,,,,,CRS,,,"03/01/2007 Referred to the House Committee on Ways and Means.","01/16/2008 Referred to the House Committee on Ways and Means.","01/29/2008 Referred to the House Committee on Ways and Means.","03/15/2007 Read twice and referred to the Committee on Finance.","11/18/2008 Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 1119 under authority of the order of the Senate of 11/17/2008.","01/23/2008 Referred to the House Committee on Ways and Means.",,,,," <p>Economic Growth Act of 2008 - Amends the Internal Revenue Code to: (1) repeal the dollar and other limitations on the expensing allowance of depreciable business assets; (2) reduce to 25% the maximum corporate income tax rate; (3) provide for an inflation adjustment to the basis of certain capital assets for purposes of determining gain or loss; and (4) reduce from 35 to 15% the alternative capital gains tax rate for corporations.</p>",,,,,,
"S. 2591",https://www.congress.gov/bill/110th-congress/senate-bill/2591,"110th Congress (2007-2008)","A bill to amend chapter 1 of title 17, United States Code, to provide an exemption from exclusive rights in copyright for certain nonprofit organizations to display live football games, and for other purposes.","Specter, Arlen [Sen.-R-PA] (Introduced 02/04/2008)",Republican,02/04/2008,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",02/04/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Cable television",Churches,Commerce,Copyright,"Television broadcasting","Intellectual property",Religion,"Science, Technology, Communications","Sports and Recreation",Football,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Declares that it is not a copyright infringement for churches and qualified church-controlled organizations to communicate a transmission of a professional football contest so long as no direct charge is made to see or hear the transmission, no money is accepted or received by the organization during the communication, and the transmission is not further retransmitted.</p>",,,,,,
