"Downloaded on",03/04/2025,"18:23:45 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%2295%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3265",https://www.congress.gov/bill/95th-congress/senate-bill/3265,"95th Congress (1977-1978)","A bill to amend the Internal Revenue Code of 1954 to allow an individual to exclude from gross income the gain from the sale or exchange of the individual's principal residence.","Roth Jr., William V. [Sen.-R-DE] (Introduced 06/29/1978)",Republican,06/29/1978,"Senate - Finance","Referred to Senate Committee on Finance.",06/29/1978,"Bellmon, Henry L. [Sen.-R-OK]","Garn, E. J. (Jake) [Sen.-R-UT]","McIntyre, Thomas J. [Sen.-D-NH]","Tower, John G. [Sen.-R-TX]","Zorinsky, Edward [Sen.-D-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Housing and Community Development","Income tax","Land transfers","Tax exclusion",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Internal Revenue Code to allow a taxpayer a single election to exclude from gross income the gain from the sale or exchange of the taxpayer's principal residence provided that the taxpayer has owned and used the property as his principal residence for at least 12 months.  Eliminates the requirement that the taxpayer reach age 65 before the date of the sale or exchange.",,,,,,
"S. 3256",https://www.congress.gov/bill/95th-congress/senate-bill/3256,"95th Congress (1977-1978)","A bill for the relief of Antony C. Hui.","Helms, Jesse [Sen.-R-NC] (Introduced 06/28/1978)",Republican,06/28/1978,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",06/28/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Declares a certain individual lawfully admitted to the United States for permanent residence, under the Immigration and Nationality Act, notwithstanding specified occupational restrictions of such Act.",,,,,,
"S. 3255",https://www.congress.gov/bill/95th-congress/senate-bill/3255,"95th Congress (1977-1978)","A bill for the relief of Belino D. Iway, doctor of medicine, his wife Olivia Tragico Iway, and his children Yvonne Iway, Christine Iway, and Edsel Francis Iway.","Pearson, James B. [Sen.-R-KS] (Introduced 06/28/1978)",Republican,06/28/1978,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",06/28/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Declares a certain individual, his wife, and three children, lawfully admitted to the United States for permanent residence, under the Immigration and Nationality Act, notwithstanding specified restrictions of such Act pertaining to such individual's occupation.",,,,,,
"S. 3252",https://www.congress.gov/bill/95th-congress/senate-bill/3252,"95th Congress (1977-1978)","A bill to amend title XVI of the Social Security Act to assure that, for purposes of the Supplemental Security Income program, interest income received by an individual from a negotiated order of withdrawal account will be treated the same as interest income received from an account on which interest is payable on a quarterly basis.","Brooke, Edward W. [Sen.-R-MA] (Introduced 06/28/1978)",Republican,06/28/1978,"Senate - Finance","Referred to Senate Committee on Finance.",06/28/1978,"Durkin, John A. [Sen.-D-NH]","McIntyre, Thomas J. [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Bank deposits","Finance and Financial Sector",Interest,"Savings and loan associations","Social Welfare","Supplemental security income program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends Title XVI (Supplemental Security Income for the Aged, Blind, and Disabled) of the Social Security Act to exclude from an individual's income, for the purpose of determining such individual's eligibility for the supplemental security income program, interest income received by an individual from a negotiated order of withdrawal account, on which interest payments are made more frequently than quarterly.",,,,,,
"S. 3251",https://www.congress.gov/bill/95th-congress/senate-bill/3251,"95th Congress (1977-1978)","A bill to provide for the distribution of certain funds appropriated to pay judgments in favor of the Delaware Tribe of Indians and the Absentee Delaware Tribe of Western Oklahoma in Indian Claims Commission dockets numbered 27A, 241, 289, 27B and 338, and for other purposes.","Pearson, James B. [Sen.-R-KS] (Introduced 06/28/1978)",Republican,06/28/1978,"Senate - Indian Affairs (Select)","Referred to Senate Select Committee on Indian Affairs.",06/28/1978,"Church, Frank [Sen.-D-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Claims,"Federal-Indian relations","Government liability",Idaho,"Indian claims",Kansas,"Native Americans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Provides that the descendants of certain Delaware Indians residing in Kansas and Idaho, who were omitted from funds awarded by the Indian Claims Commission, will be recompensed for the amount they would have received had they not been excluded.",,,,,,
"S. 3249",https://www.congress.gov/bill/95th-congress/senate-bill/3249,"95th Congress (1977-1978)","A bill for the relief of Svetlana Herman and Janna Herman.","Griffin, Robert P. [Sen.-R-MI] (Introduced 06/27/1978)",Republican,06/27/1978,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",06/27/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Declares a certain United States citizen to have been physically present in the United States, prior to the birth of such citizen's daughter, for a period of ten years, under the Immigration and Nationality Act.  Declares that the daughter shall be considered as having resided in the United States for a period of five years between the ages of 13 and 21.",,,,,,
"S. 3244",https://www.congress.gov/bill/95th-congress/senate-bill/3244,"95th Congress (1977-1978)","A bill for the relief of Maryam Malek.","Hatch, Orrin G. [Sen.-R-UT] (Introduced 06/26/1978)",Republican,06/26/1978,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",06/26/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Declares a certain individual lawfully admitted to the United States for permanent residence, under the Immigration and Nationality Act.",,,,,,
"S. 3237",https://www.congress.gov/bill/95th-congress/senate-bill/3237,"95th Congress (1977-1978)","A bill entitled the Energy Planning Act of 1978.","Percy, Charles H. [Sen.-R-IL] (Introduced 06/23/1978)",Republican,06/23/1978,"Senate - Energy and Natural Resources","Referred to Senate Committee on Energy and Natural Resources.",06/23/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Energy,"Energy policy","Energy research","Research and development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Energy Planning Act - Amends the Department of Energy Organization Act to require the President to transmit to the Congress the proposed National Energy Policy Plan not later than April 1, 1981 (presently April 1, 1979) and every four years thereafter (presently biennially thereafter).  Requires such plan to establish energy objectives for periods of 25 and 50 years (in addition to the present five and ten year period objectives). <p>Amends such Act to require the President to insure that energy producers, processors, and distributors are consulted in the development of the plan. <p>Amends the Federal Non-Nuclear Energy Research and Development Act of 1974 to provide that the time intervals for achieving short-term, middle-term, and long-term energy and environmental solutions under the comprehensive plan for energy research and development of such Act be based on the approval date of any National Energy Policy Plan.",,,,,,
"S. 3236",https://www.congress.gov/bill/95th-congress/senate-bill/3236,"95th Congress (1977-1978)","To amend title 38 of the United States Code to provide that the survivors of a veteran who was rated totally and permanently service-connected disabled for a period of at least ten years would be entitled to dependency and indemnity compensation as though the veteran had died from a service-connected disability.","Tower, John G. [Sen.-R-TX] (Introduced 06/23/1978)",Republican,06/23/1978,"Senate - Veterans' Affairs","Referred to Senate Committee on Veterans' Affairs.",06/23/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security",Disabled,"Disabled veterans","Survivors' benefits","Veterans' pensions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Directs the Administrator of Veterans' Affairs to pay dependency and indemnity compensation to the survivors of any veteran who was rated totally and permanently service-connected disabled for at least ten years as though the cause of death were service-connected.",,,,,,
"S. 3234",https://www.congress.gov/bill/95th-congress/senate-bill/3234,"95th Congress (1977-1978)","A bill for the relief of Virgillo C. Carandang, doctor of medicine, his wife Cecilia Tanedo Carandang, and his son Colin Carandang.","Tower, John G. [Sen.-R-TX] (Introduced 06/23/1978)",Republican,06/23/1978,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",06/23/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Declares a certain individual, his wife, and two children, lawfully admitted to the United States for permanent residence, under the Immigration and Nationality Act, notwithstanding specified restrictions of such Act pertaining to such individual's occupation.",,,,,,
"S. 3226",https://www.congress.gov/bill/95th-congress/senate-bill/3226,"95th Congress (1977-1978)","A bill for the relief of Veronica Anthony.","Helms, Jesse [Sen.-R-NC] (Introduced 06/22/1978)",Republican,06/22/1978,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",06/22/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Declares a certain individual lawfully admitted to the United States for permanent residence, under the Immigration and Nationality Act, notwithstanding specified occupational restrictions of such Act.",,,,,,
"S. 3225",https://www.congress.gov/bill/95th-congress/senate-bill/3225,"95th Congress (1977-1978)","A bill to secure and protect the freedom of the press, and for other purposes.","Heinz, John [Sen.-R-PA] (Introduced 06/22/1978)",Republican,06/22/1978,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",06/22/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Broadcast journalism",Broadcasting,"Civil Rights and Liberties","Confidential communications","Crime and Law Enforcement","Criminal procedure","Freedom of speech","Freedom of the press","Government Operations and Politics","Newspapers and Periodicals",Radio,"Radio broadcasting","Reporters and reporting","Searches and seizures",Television,"Television broadcasting",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Freedom of the Press Act - Amends the Civil Rights Act of 1964 to prohibit any person acting under color of law from searching any place or seizing any thing in the possession, custody, or control of any reporter or news organization unless such search or seizure is conducted pursuant to a warrant issued by a magistrate or other authorized judicial officer upon probable cause that such reporter or news organization has committed or is committing a criminal offense. <p>Establishes a criminal fine of not more than $10,000 for violation of this Act, and creates a civil cause action for any person aggrieved by a violation.  Allows punitive damages of up to $10,000, and reasonable attorneys fees.",,,,,,
"S. 3222",https://www.congress.gov/bill/95th-congress/senate-bill/3222,"95th Congress (1977-1978)","A bill to secure and protect the freedom on individuals from unwarranted intrusions by persons acting under color of law.","Dole, Robert J. [Sen.-R-KS] (Introduced 06/22/1978)",Republican,06/22/1978,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",06/22/1978,"Laxalt, Paul D. [Sen.-R-NV]","Thurmond, Strom [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Civil Rights and Liberties","Criminal procedure","Right of privacy","Searches and seizures",Subpoena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Personal Privacy Act - Requires a subpena duces tecum for the search for and seizure of evidence when anyone acting under color of law has probable cause to believe evidence of a crime is located on or about the premises in which another person is in possession, custody, or control. <p>Permits issuance of a search warrant instead of a subpena duces tecum only if there is:  (1) probable cause to believe the person in possession, custody, or control of the evidence to be seized has committed or is committing a criminal offense; or (2) reasonable cause to believe the giving of notice pursuant to a subpena duces tecum would lead to the destruction, concealment, or alteration of such evidence. <p>Prescribes a fine of $10,000 or imprisonment of not more than one year for the violation of this Act.",,,,,,
"S. 3221",https://www.congress.gov/bill/95th-congress/senate-bill/3221,"95th Congress (1977-1978)","A bill to provide that the lake referred to as the Ririe Lake on Willow Creek, in Bonneville County, Idaho, shall hereafter be known as Oscar Johnson Lake.","McClure, James A. [Sen.-R-ID] (Introduced 06/22/1978)",Republican,06/22/1978,"Senate - Environment and Public Works","Referred to Senate Committee on Environment and Public Works.",06/22/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Idaho,Lakes,"Water Resources Development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Redesignates the Ririe Lake on Willow Creek, Bonneville County, Idaho, as the ""Oscar Johnson Lake.""",,,,,,
"S. 3219",https://www.congress.gov/bill/95th-congress/senate-bill/3219,"95th Congress (1977-1978)","A bill to authorize the Coast Guard cutter Chautaqua to be made available for use as an exhibition and education center under contracts with nonprofit organizations.","Brooke, Edward W. [Sen.-R-MA] (Introduced 06/22/1978)",Republican,06/22/1978,"Senate - Commerce, Science, and Transportation","Referred to Senate Committee on Commerce, Science, and Transportation.",06/22/1978,"Kennedy, Edward M. [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Armed Forces and National Security","Coast guard",Education,"Marine education","Ships and shipping","Transportation and Public Works",Warships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Authorizes the Commandant of the Coast Guard to enter into a contract with the Boston Educational Marine Exchange or any other private or public nonprofit organization to utilize the Coast Guard cutter Chautaque for the purposes of establishing an exhibit to educate the public regarding the mission of the Coast Guard and to use space and facilities abroad the vessel for marine education activities.",,,,,,
"S. 3217",https://www.congress.gov/bill/95th-congress/senate-bill/3217,"95th Congress (1977-1978)","A bill to exempt white water river running boats from the requirements of the Act requiring inspection and certification of small passenger carrying vessels.","McClure, James A. [Sen.-R-ID] (Introduced 06/22/1978)",Republican,06/22/1978,"Senate - Commerce, Science, and Transportation","Referred to Senate Committee on Commerce, Science, and Transportation.",06/22/1978,"Church, Frank [Sen.-D-ID]","DeConcini, Dennis [Sen.-D-AZ]","Garn, E. J. (Jake) [Sen.-R-UT]","Goldwater, Barry [Sen.-R-AZ]","Gravel, Mike [Sen.-D-AK]","Hansen, Clifford P. [Sen.-R-WY]","Hatch, Orrin G. [Sen.-R-UT]","Hayakawa, Samuel Ichiye [Sen.-R-CA]","Helms, Jesse [Sen.-R-NC]","Laxalt, Paul D. [Sen.-R-NV]","Morgan, Robert B. [Sen.-D-NC]","Schmitt, Harrison H. [Sen.-R-NM]","Wallop, Malcolm [Sen.-R-WY]","Hatfield, Paul [Sen.-D-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"Boats and boating",Licenses,"Passenger ships",Recreation,"Ships and shipping","Sports and Recreation","Vessel documentation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Exempts white-water running boats from specified inspection and certification requirements for small passenger carrying vessels.",,,,,,
"S. 3215",https://www.congress.gov/bill/95th-congress/senate-bill/3215,"95th Congress (1977-1978)","A bill to amend the Bank Holding Company Act of 1956 to prohibit bank holding companies and their subsidiaries from selling property and casualty insurance as principals, agents, or brokers.","Brooke, Edward W. [Sen.-R-MA] (Introduced 06/22/1978)",Republican,06/22/1978,"Senate - Banking, Housing, and Urban Affairs","Referred to Senate Committee on Banking, Housing and Urban Affairs.",06/22/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Bank holding companies","Business and commerce","Finance and Financial Sector",Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Bank Holding Company Act of 1956 to prohibit bank holding companies and their subsidiaries from selling property and casualty insurance as principals, agents, or brokers. <p>Exempts from such prohibition credit insurance and insurance sold in a community that has a population less than 5,000 or that the bank holding company demonstrates has no other adequate insurance agency facilities.",,,,,,
"S. 3208",https://www.congress.gov/bill/95th-congress/senate-bill/3208,"95th Congress (1977-1978)","A bill for the relief of Mr. and Mrs. Edward Cohen and their adopted daughter, Leah Mi Cohen.","Heinz, John [Sen.-R-PA] (Introduced 06/19/1978)",Republican,06/19/1978,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",06/19/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Authorizes classification of a certain individual as a child for purposes of the Immigration and Nationality Act.",,,,,,
"S. 3207",https://www.congress.gov/bill/95th-congress/senate-bill/3207,"95th Congress (1977-1978)","A bill to authorize the Secretary of the Interior to enter into a cooperative agreement with the Franklin Institute to aid in the continued preservation of the Benjamin Franklin National Memorial.","Heinz, John [Sen.-R-PA] (Introduced 06/19/1978)",Republican,06/19/1978,"Senate - Energy and Natural Resources","Referred to Senate Committee on Energy and Natural Resources.",06/19/1978,"Schweiker, Richard S. [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Monuments and memorials",Parks,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Directs the Secretary of the Interior to enter into a cooperative agreement with the Franklin Institute of Philadelphia, Pennsylvania, to preserve the Benjamin Franklin National Memorial. <p>Authorizes the appropriation of $500,000 for fiscal year 1979; $200,000 for fiscal year 1980; and such sums as may be necessary for succeeding fiscal years to carry out the provisions of this Act.",,,,,,
"S. 3206",https://www.congress.gov/bill/95th-congress/senate-bill/3206,"95th Congress (1977-1978)","A bill to terminate production controls on peanuts, to terminate price support operations in effect for such commodity, and to remove customs duties and import quotas on such commodity.","Wallop, Malcolm [Sen.-R-WY] (Introduced 06/15/1978)",Republican,06/15/1978,"Senate - Agriculture, Nutrition, and Forestry","Referred to Senate Committee on Agriculture, Nutrition and Forestry.",06/15/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Acreage allotments","Agricultural policies","Agricultural price supports","Agriculture and Rural Affairs","Agriculture and Food",Nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Agricultural Adjustment Act of 1938 to terminate, effective with the 1979 crop, all acreage allotments, poundage quotas, marketing quotas, and price support operations for peanuts.",,,,,,
"S. 3202",https://www.congress.gov/bill/95th-congress/senate-bill/3202,"95th Congress (1977-1978)","A bill to amend title 28 of the United States Code to provide for the payment of reasonable attorney's fees and other costs in certain civil actions.","Bartlett, Dewey F. [Sen.-R-OK] (Introduced 06/14/1978)",Republican,06/14/1978,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",06/14/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Civil procedure","Government litigation",Law,Lawyers,"Legal fees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Requires the award of reasonable attorney's fees and reasonable litigation costs to the prevailing party (except the United States) in any civil action brought by or against the United States.",,,,,,
"S. 3201",https://www.congress.gov/bill/95th-congress/senate-bill/3201,"95th Congress (1977-1978)","A bill to authorize the Secretary of the Treasury to provide financial assistance for the city of New York.","Lugar, Richard G. [Sen.-R-IN] (Introduced 06/14/1978)",Republican,06/14/1978,"Senate - Banking, Housing, and Urban Affairs","Referred to Senate Committee on Banking, Housing and Urban Affairs.",06/14/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Economics and Public Finance","Government securities","Income tax","Municipal finance","New York City","Tax exclusion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>New York City Financial Assistance Act - <b>Title I: Emergency Assistance</b> - Authorizes the Secretary of the Treasury to guarantee, under stated conditions, obligations of the City of New York or of its financing agent.  Limits the total amount of guarantees that may be outstanding at any time to $1,500,000,000.  Limits the amount of such guarantees issued in fiscal year 1979 to $500,000,000.  Establishes an identical $500,000,000 limitation for fiscal year 1980, unless one house of Congress agrees to a resolution disapproving such guarantees in 1980.  Conditions additional guarantees, limited to $500,000,000 per year, for any fiscal year prior to the beginning of fiscal year 1983, on the presentation to the Secretary of a balanced budget for that year. <p><b>Title II: Amendments to the Internal Revenue Code of 1954</b> - Makes interest income received on any obligation guaranteed under Title I of this Act after the date of the enactment of this title taxable under the Internal Revenue Code of 1954.",,,,,,
"S. 3200",https://www.congress.gov/bill/95th-congress/senate-bill/3200,"95th Congress (1977-1978)","The Congressional Budget Limitation Act of 1978.","Domenici, Pete V. [Sen.-R-NM] (Introduced 06/13/1978)",Republican,06/13/1978,"Senate - Budget, Governmental Affairs","Referred to Senate Committee on Governmental Affairs.",06/13/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Congress,"Congressional budget","Economics and Public Finance","Federal budgets","Fiscal policy",Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Congressional Budget and Impoundment Control Act Amendments - Amends the Congressional Budget and Impoundment Control Act to prohibit the level of total budget outlays in any concurrent resolution passed in accordance with such Act from exceeding, in any calendar year, 20 percent of the gross national product of the United States, unless waived by a two-thirds vote in each House of Congress.",,,,,,
"S. 3199",https://www.congress.gov/bill/95th-congress/senate-bill/3199,"95th Congress (1977-1978)","A bill to provide for a program of benefits for persons afflicted with lung cancer as a result of employment as a uranium miner.","Domenici, Pete V. [Sen.-R-NM] (Introduced 06/13/1978)",Republican,06/13/1978,"Senate - Human Resources","Referred to Senate Committee on Human Resources.",06/13/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Cancer,"Department of Health, Education, and Welfare",Energy,Health,"Labor and Employment","Lung diseases",Miners,"Mines and mineral resources","Nuclear energy","Occupational health and safety",Uranium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Uranium Miners' Compensation Act - Requires claims for benefits for death or total disability due to lung disease as a result of employment in a uranium mine to be filed pursuant to State workmen's compensation law.  Provides that such claims may be filed pursuant to this Act when a State workmen's compensation law does not provide adequate coverage for such lung disease. <p>Directs the Secretary of Labor to publish in the Federal Register a list of State workmen's compensation laws which do not provide adequate coverage. <p>Requires any claim for benefits under this Act to be filed within three years of the discovery of total disability due to lung disease in a uranium mine or in the case of death, the date of such death. <p>Requires uranium mine operators, in States included on the list, to secure the payment of benefits for which such operator is liable by qualifying as a self-insurer, or insuring the payment of benefits with any stock company or mutual company.  Sets forth requirements to be included in such insurance policies. <p>Directs the Secretary of Health, Education, and Welfare to initiate research within the National Institute for Occupational Safety and Health, and authorizes the Secretary to make research grants, relating to lung disease in uranium mines. <p>Prohibits discrimination against any worker by a mine operator due to such miner suffering from such lung disease. <p>Authorizes appropriations to carry out the provisions of this Act.",,,,,,
