"Downloaded on",03/04/2025,"18:42:46 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22111%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3823",https://www.congress.gov/bill/111th-congress/senate-bill/3823,"111th Congress (2009-2010)","A bill to remove preferential treatment for sleeping bags under the Generalized System of Preferences, and for other purposes.","Sessions, Jeff [Sen.-R-AL] (Introduced 09/22/2010)",Republican,09/22/2010,"Senate - Finance","Read twice and referred to the Committee on Finance.",09/22/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5940,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"07/29/2010 Referred to the House Committee on Ways and Means.",,,,,,,,,,,,,,,,,,,,,,,," <p> Removes duty-free or other preferential treatment eligibility under the Generalized System of Preferences (GSP) for certain imported sleeping bags.</p>",,,,,,
"S. 3814",https://www.congress.gov/bill/111th-congress/senate-bill/3814,"111th Congress (2009-2010)","National Flood Insurance Program Reextension Act of 2010","Vitter, David [Sen.-R-LA] (Introduced 09/21/2010)",Republican,09/21/2010,,"Became Public Law No: 111-250.",09/30/2010,"Hutchison, Kay Bailey [Sen.-R-TX]","Landrieu, Mary L. [Sen.-D-LA]","Nelson, Bill [Sen.-D-FL]","Alexander, Lamar [Sen.-R-TN]","Chambliss, Saxby [Sen.-R-GA]","Isakson, Johnny [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Disaster relief and insurance","Floods and storm protection","Emergency Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.4778,H.R.5553,H.R.5569,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"03/04/2010 Referred to the House Committee on Financial Services.","06/17/2010 Referred to the House Committee on Financial Services.","07/02/2010 Became Public Law No: 111-196.",,,,,,,,,,,,,,,,,,,,,," <p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>National Flood Insurance Program Reextension Act of 2010 - Amends the National Flood Insurance Act of 1968 to extend the National Flood Insurance Program from September 30, 2010, through September 30, 2011.</p> <p>Continues through FY2011 the authority of the Administrator of the Federal Emergency Management Agency (FEMA), with the President's approval, to issue up to $20.725 billion in notes and obligations to finance the Program.</p>",,,,,,
"S. 3812",https://www.congress.gov/bill/111th-congress/senate-bill/3812,"111th Congress (2009-2010)","A bill to prohibit trade in billfish and for other purposes.","Vitter, David [Sen.-R-LA] (Introduced 09/21/2010)",Republican,09/21/2010,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",09/21/2010,"McCain, John [Sen.-R-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Fishes,"Marine and coastal resources, fisheries","Public Lands and Natural Resources","Trade restrictions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5804,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"07/23/2010 Referred to the Subcommittee on Insular Affairs, Oceans and Wildlife.",,,,,,,,,,,,,,,,,,,,,,,," <p>Billfish Conservation Act of 2010 - Prohibits any person from offering billfish (except swordfish) or billfish products for sale, selling, importing, or exporting them, or having custody, control, or possession of them for purposes of offering them for sale, selling, importing, or exporting them.</p> <p>Treats a violation of this Act as an act prohibited by the Magnuson-Stevens Fishery Conservation and Management Act. Subjects a person to a maximum civil penalty of $100,000 for each violation.</p> <p>Defines &quot;billfish&quot; as any of the following: (1) blue marlin; (2) striped marlin; (3) black marlin; (4) sailfish: (5) shortbill spearfish; (6) white marlin; (7) roundscale spearfish; (8) Mediterranean spearfish; or (9) longbill spearfish.</p>",,,,,,
"S. 3803",https://www.congress.gov/bill/111th-congress/senate-bill/3803,"111th Congress (2009-2010)","A bill to amend the Internal Revenue Code of 1986 to expand the availability of employee stock ownership plans in S corporations, and for other purposes.","Roberts, Pat [Sen.-R-KS] (Introduced 09/20/2010)",Republican,09/20/2010,"Senate - Finance","Read twice and referred to the Committee on Finance.",09/20/2010,"Lincoln, Blanche L. [Sen.-D-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Executive agency funding and structure","Employee benefits and pensions","Department of the Treasury","Corporate finance and management","Capital gains tax","Transfer and inheritance taxes","Interest, dividends, interest rates",Securities,"Small business",Taxation,"Income tax deductions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3586,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"11/16/2009 Referred to the Subcommittee on Health, Employment, Labor, and Pensions.",,,,,,,,,,,,,,,,,,,,,,,," <p>S Corporation ESOP Promotion and Expansion Act of 2010 - Amends the Internal Revenue Code to: (1) extend to all domestic corporations, including S corporations, provisions allowing deferral of tax on gain from the sale of employer securities to an S corporation-sponsored employer stock ownership plan (ESOP); (2) allow a tax deduction for interest incurred on loans to S corporation-sponsored ESOPs for the purchase of employer securities; and (3) transfer liability for payment of estate tax on transfers of employer securities to an S corporation-sponsored ESOP from the estate executor to the ESOP.</p> <p>Directs the Secretary of the Treasury to establish the S Corporation Employee Ownership Assistance Office to foster increased employee ownership of S corporations.</p>",,,,,,
"S. 3802",https://www.congress.gov/bill/111th-congress/senate-bill/3802,"111th Congress (2009-2010)","Mount Stevens and Ted Stevens Icefield Designation Act","Murkowski, Lisa [Sen.-R-AK] (Introduced 09/20/2010)",Republican,09/20/2010,"House - Natural Resources | Senate - Energy and Natural Resources","Became Public Law No: 111-284.",10/18/2010,"Begich, Mark [Sen.-D-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Public Lands and Natural Resources",Senate,"Members of Congress","Forests, forestry, trees","Congressional tributes",Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6197,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"09/23/2010 Referred to the House Committee on Natural Resources.",,,,,,,,,,,,,,,,,,,,,,,," <p><b>(This measure has not been amended since it was passed by the Senate on September 27, 2010. The summary of that version is repeated here.)</b></p> <p>Mount Stevens and Ted Stevens Icefield Designation Act - Directs the United States Board on Geographic Names to designate: (1) a specified unnamed peak in the Alaska Range near Denali National Park and Preserve in Alaska as &quot;Mount Stevens&quot;; and (2) a specified icefield in the northern Chugach National Forest in Alaska as the &quot;Ted Stevens Icefield.&quot;</p>",,,,,,
"S. 3792",https://www.congress.gov/bill/111th-congress/senate-bill/3792,"111th Congress (2009-2010)","A bill to provide for restoration of the coastal areas of the Gulf of Mexico affected by the Deepwater Horizon oil spill, and for other purposes.","Vitter, David [Sen.-R-LA] (Introduced 09/15/2010)",Republican,09/15/2010,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",09/15/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Water quality",Wetlands,"Wildlife conservation and habitat protection",Accidents,"Advisory bodies",Alabama,"Aquatic ecology","Public Lands and Natural Resources","Oil and gas",Mississippi,"Marine pollution","Environmental assessment, monitoring, research",Louisiana,"Gulf of Mexico","Government trust funds",Florida,"Marine and coastal resources, fisheries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.5654,H.R.6112,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"10/13/2010 Referred to the Subcommittee on Healthy Families and Communities.","09/15/2010 Referred to the Subcommittee on Water Resources and Environment.",,,,,,,,,,,,,,,,,,,,,,," <p>Gulf Coast Restoration Act - Establishes the Gulf Coast Ecosystem Restoration Task Force, which shall: (1) consult with, and provide recommendations to, the Chair of the Task Force regarding approval of State Coastal Ecosystem Restoration Plans submitted by the governors of Alabama, Florida, Louisiana, and Mississippi providing for restoration activities the Gulf Coast ecosystem adversely impacted by the blowout and explosion of the mobile offshore drilling unit Deepwater Horizon on April 20, 2010; (2) coordinate scientific and other research associated with restoration of such ecosystem; and (3) submit an annual report to Congress that summarizes the Plans approved by the Chair. </p> <p>Establishes in the Treasury the Gulf Coast Ecosystem Restoration Fund. Directs the Secretary of the Treasury to deposit into the Fund sums equal to not less than 80% of any amounts collected by the United States as penalties, settlements, or fines under the Federal Water Pollution Control Act (commonly known as the Clean Water Act) in relation to the Deepwater Horizon explosion and resulting hydrocarbon releases into the environment. Makes the Fund available for the conservation, protection, and restoration of the Gulf Coast ecosystem in accordance with approved Plans.</p> <p>Requires the governors of such states to: (1) submit a Plan to the Chair by July 1, 2011; and (2) solicit local input and provide for public participation in the development of the Plan. </p> <p>Requires the Chair to disburse amounts from such Fund to such a state for which the Chair has approved a Plan only for: (1) projects and activities for the conservation, protection, or restoration of coastal areas, including wetlands; (2) mitigation of damage to fish, wildlife, or natural resources; (3) planning assistance and the administrative costs of complying with this Act; and/or (4) implementation of a federally approved marine, coastal, or comprehensive conservation management plan.</p>",,,,,,
"S. 3791",https://www.congress.gov/bill/111th-congress/senate-bill/3791,"111th Congress (2009-2010)","A bill to require Members of Congress to disclose delinquent tax liability, require an ethics inquiry, and garnish the wages of a Member with Federal tax liability.","Coburn, Tom [Sen.-R-OK] (Introduced 09/15/2010)",Republican,09/15/2010,,"Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 565.",09/16/2010,"Ensign, John [Sen.-R-NV]","Burr, Richard [Sen.-R-NC]","Thune, John [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Government ethics and transparency, public corruption","Government employee pay, benefits, personnel management",Congress,"Members of Congress","Tax administration and collection, taxpayers","Government studies and investigations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6145,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"09/16/2010 Referred to House Rules",,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Ethics in Government Act of 1978 to require Members of Congress to include in their annual financial disclosure reports the amount of any delinquent tax liability owed to the United States or any state or local government entity.</p> <p>Requires the appropriate congressional ethics committee to open an inquiry immediately into the tax delinquency of that Member to determine: (1) his or her total delinquent tax liability and reason for such delinquency; (2) whether the Member has a plan to eliminate it; and (3) whether it has reflected poorly on Congress.</p> <p>Requires such Member to arrange with the Secretary of the Senate or the Clerk of the House of Representatives, as appropriate, and the Internal Revenue Service (IRS) to have his or her salary reduced by an amount appropriate to pay the taxes owed to the United States within a reasonable time period.</p>",,,,,,
"S. 3790",https://www.congress.gov/bill/111th-congress/senate-bill/3790,"111th Congress (2009-2010)","A bill to amend title 5, United States Code, to provide that persons having seriously delinquent tax debts shall be ineligible for Federal employment.","Coburn, Tom [Sen.-R-OK] (Introduced 09/15/2010)",Republican,09/15/2010,,"Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 564.",09/16/2010,"Ensign, John [Sen.-R-NV]","Burr, Richard [Sen.-R-NC]","Thune, John [Sen.-R-SD]","Isakson, Johnny [Sen.-R-GA]","Johanns, Mike [Sen.-R-NE]","McCaskill, Claire [Sen.-D-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Tax administration and collection, taxpayers","Government Operations and Politics","Government employee pay, benefits, personnel management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4735,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"03/03/2010 Referred to the House Committee on Oversight and Government Reform.",,,,,,,,,,,,,,,,,,,,,,,," <p>Amends federal civil service law to make an individual who has a seriously delinquent tax debt ineligible to be appointed, or to continue serving, as a federal employee.</p>",,,,,,
"S. 3779",https://www.congress.gov/bill/111th-congress/senate-bill/3779,"111th Congress (2009-2010)","A bill to provide for comprehensive budget reform in order to increase transparency and reduce the deficit.","Thune, John [Sen.-R-SD] (Introduced 09/14/2010)",Republican,09/14/2010,"Senate - Budget","Read twice and referred to the Committee on the Budget.",09/14/2010,"LeMieux, George S. [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Budget deficits and national debt","Budget process","Congressional committees","Congressional operations and organization","Congressional oversight","Economic performance and conditions","Economics and Public Finance","Government trust funds","Income tax credits","Income tax deductions","Income tax exclusion","Legislative rules and procedure","Presidents and presidential powers, Vice Presidents","State and local finance",Appropriations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.3652,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"07/27/2010 Read twice and referred to the Committee on the Budget.",,,,,,,,,,,,,,,,,,,,,,,," <p>Deficit Reduction and Budget Reform Act of 2010 - Amends the Congressional Budget Act of 1974 (CBA) to require joint budget resolutions signed by the President instead of the concurrent resolutions now required (which do not have to be signed by the President). Revises accordingly the congressional procedures for considering budget resolutions.</p>   <p>Prescribes procedures for: (1) expedited consideration in each chamber of a presidential veto of a joint budget resolution; and (2) revision of a joint budget resolution already enacted.</p> Makes provisional continuing appropriations in the event that any regular appropriation bill for a fiscal year (or, if applicable, for each fiscal year in a biennium) does not become law before the beginning of such fiscal year, or a joint resolution making continuing appropriations is not in effect. (Thus prevents federal government shutdown.) <p>Requires biennial budget resolutions, appropriations Acts, and government strategic and performance plans instead of annual ones.</p> <p>Amends the Balanced Budget and Emergency Deficit Control Act of 1985 (Gramm-Rudman-Hollings Act) to define the total level of discretionary spending for all non-security discretionary spending programs, projects, and activities to mean, in any fiscal year through FY2020 in which there is a deficit, an amount of nonsecurity discretionary spending outlays not exceeding the levels for FY2008 as adjusted for inflation. (Thus holds all nonsecurity discretionary spending through FY2020 at FY2008 levels.) Excludes from such definition spending for: (1) the Department of Defense (DOD); (2) the Department of Veterans Affairs (VA); (3) homeland security activities; and (4) Department of State intelligence related activities.</p> <p>Prescribes administrative procedures for sequestration reports with respect to discretionary spending limits.</p> <p>Amends the CBA with respect to spending limit enforcement mechanisms.</p> <p>Amends the Gramm-Rudman-Hollings Act to prescribe administrative and legislative procedures for spending reduction orders.</p> <p>Legislative Line-Item Veto Act of 2009 - Amends the Congressional Budget and Impoundment Control Act of 1974 to authorize the President to propose to Congress the cancellation (line item veto) of any dollar amount of discretionary budget authority, item of direct spending, a limited tariff, or targeted tax benefit.</p> <p>Prescribes procedures for expedited consideration of legislation to approve such a proposal.</p> <p>Authorizes the President to: (1) withhold discretionary budget authority temporarily from obligation; or (2) suspend temporarily direct spending, a limited tariff, or a targeted tax benefit.</p> <p>Dedicates all related spending reductions to deficit reduction.</p> <p>Amends Rule XIII (Calendars and Committee Reports), Rule X (Organization of Committees), and Rule XXI (Restrictions on Certain Bills) of the Rules of the House to prescribe procedures for consideration of rescission measures.</p> <p>Establishes a Joint Committee on Deficit Reduction.</p> <p>Requires the Government Accountability Office (GAO) and Congressional Budget Office (CBO) to report to the Joint Committee recommendations for biennial budget deficit reduction legislation.</p> <p>States that any increase in revenues or reduced spending in a federal trust fund resulting from legislation: (1) shall not be counted for offsetting revenues, receipts, or discretionary spending under the CBA or the Statutory Pay-As-You-Go (PAYGO) Act of 2010; and (2) shall only be used for the purposes of the federal trust as provided by law.</p> <p>Rescinds any (stimulus) funds remaining unobligated on October 1, 2010, under the American Recovery and Reinvestment Act of 2009.</p>",,,,,,
"S. 3778",https://www.congress.gov/bill/111th-congress/senate-bill/3778,"111th Congress (2009-2010)","A bill to authorize the Secretary of the Interior to lease certain lands within Fort Pulaski National Monument, and for other purposes.","Isakson, Johnny [Sen.-R-GA] (Introduced 09/14/2010)",Republican,09/14/2010,"Senate - Energy and Natural Resources","Committee on Energy and Natural Resources Subcommittee on Public Lands and Forests. Hearings held.",09/29/2010,"Chambliss, Saxby [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Georgia,"Public Lands and Natural Resources","Monuments and memorials","Land transfers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4773,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"09/29/2010 Committee on Energy and Natural Resources Subcommittee on Public Lands and Forests. Hearings held.",,,,,,,,,,,,,,,,,,,,,,,," <p>Fort Pulaski National Monument Lease Authorization Act - Authorizes the Secretary of the Interior to lease to the Savannah Bar Pilots Association or a successor organization up to 30,000 square feet of land and improvements in Fort Pulaski National Monument in Georgia at the location on Cockspur Island that has been used continuously by the Association since 1940. </p>",,,,,,
"S. 3774",https://www.congress.gov/bill/111th-congress/senate-bill/3774,"111th Congress (2009-2010)","A bill to extend the deadline for Social Services Block Grant expenditures of supplemental funds appropriated following disasters occurring in 2008.","Cornyn, John [Sen.-R-TX] (Introduced 09/14/2010)",Republican,09/14/2010,"Senate - Finance","Became Public Law No: 111-285.",11/24/2010,"Hutchison, Kay Bailey [Sen.-R-TX]","Landrieu, Mary L. [Sen.-D-LA]","McCaskill, Claire [Sen.-D-MO]","Bond, Christopher S. [Sen.-R-MO]","Durbin, Richard J. [Sen.-D-IL]","Nelson, Bill [Sen.-D-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Mississippi,"Natural disasters","Poverty and welfare assistance",Louisiana,Texas,Alabama,"Disaster relief and insurance","Social Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5790,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"07/20/2010 Referred to the House Committee on Ways and Means.",,,,,,,,,,,,,,,,,,,,,,,," <p><b>(This measure has not been amended since it was passed by the Senate on September 29, 2010. The summary of that version is repeated here.)</b> </p> <p>Extends through FY2011 the deadline for state expenditure of certain emergency supplemental appropriations to the Department of Health and Human Services (HHS) for the Administration for Children and Families provided for recovery from Hurricanes Ike and Rita and other 2008 natural disasters.</p>",,,,,,
"S. 3773",https://www.congress.gov/bill/111th-congress/senate-bill/3773,"111th Congress (2009-2010)","A bill to permanently extend the 2001 and 2003 tax relief provisions and to provide permanent AMT relief and estate tax relief, and for other purposes.","McConnell, Mitch [Sen.-R-KY] (Introduced 09/13/2010)",Republican,09/13/2010,,"Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 562.",09/14/2010,"Hatch, Orrin G. [Sen.-R-UT]","Cochran, Thad [Sen.-R-MS]","Grassley, Chuck [Sen.-R-IA]","McCain, John [Sen.-R-AZ]","Bond, Christopher S. [Sen.-R-MO]","Hutchison, Kay Bailey [Sen.-R-TX]","Inhofe, James M. [Sen.-R-OK]","Kyl, Jon [Sen.-R-AZ]","Brownback, Sam [Sen.-R-KS]","Enzi, Michael B. [Sen.-R-WY]","Roberts, Pat [Sen.-R-KS]","Crapo, Mike [Sen.-R-ID]","Ensign, John [Sen.-R-NV]","Cornyn, John [Sen.-R-TX]","Chambliss, Saxby [Sen.-R-GA]","Graham, Lindsey [Sen.-R-SC]","Vitter, David [Sen.-R-LA]","Burr, Richard [Sen.-R-NC]","Isakson, Johnny [Sen.-R-GA]","Wicker, Roger F. [Sen.-R-MS]","Shelby, Richard C. [Sen.-R-AL]","Bennett, Robert F. [Sen.-R-UT]","Risch, James E. [Sen.-R-ID]","Murkowski, Lisa [Sen.-R-AK]","Thune, John [Sen.-R-SD]","Johanns, Mike [Sen.-R-NE]","LeMieux, George S. [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,"Alternative and renewable resources","District of Columbia","Energy efficiency and conservation","Housing finance and home ownership","Transfer and inheritance taxes","Income tax credits","Income tax rates","Residential rehabilitation and home repair",Taxation,"Hybrid, electric, and advanced technology vehicles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Tax Hike Prevention Act of 2010 - Repeals the general terminating date (i.e., December 31, 2010) applicable to tax relief provisions of the Economic Growth and Tax Relief Reconciliation Act of 2001 (EGTRRA), thus making such provisions permanent.</p> <p>Repeals the provision of the Jobs and Growth Tax Relief Reconciliation Act of 2003 terminating the reductions in tax rates for capital gains and dividends, thus making such reductions permanent.</p> <p>Repeals provisions of EGTRRA repealing the estate and generation-skipping transfer taxes after 2009, thus restoring such taxes, subject to the amendments made by this Act. Restores the step-up in basis tax treatment of inherited estate assets.</p> <p>Amends the Internal Revenue Code to: (1) provide for annual increases in the alternative minimum tax (AMT) exemption amount during the period of 2010 through 2020; (2) expand offsets against the AMT for certain nonrefundable tax credits; (3) retain marriage penalty relief provisions and the increased child tax credit; (4) revise the estate tax by imposing a permanent maximum estate tax rate of 35% and allowing a permanent estate tax exclusion amount of $5 million (adjusted annually for inflation) after 2009; and (5) allow a surviving spouse to increase the estate tax exclusion amount by the unused exclusion amount of his or her deceased spouse.</p> <p>Allows the executor of any estate of a decedent dying in 2010 to elect to apply existing provisions of the Internal Revenue Code of 1986 without regard to specified provisions of this Act. </p>",,,,,,
"S. 3768",https://www.congress.gov/bill/111th-congress/senate-bill/3768,"111th Congress (2009-2010)","A bill to eliminate certain provisions relating to Texas and the Education Jobs Fund.","Hutchison, Kay Bailey [Sen.-R-TX] (Introduced 09/13/2010)",Republican,09/13/2010,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",09/13/2010,"Cornyn, John [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Intergovernmental relations",Education,"Education programs funding",Texas,"Teaching, teachers, curricula","State and local finance","Elementary and secondary education",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6108,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"11/18/2010 Referred to the Subcommittee on Workforce Protections.",,,,,,,,,,,,,,,,,,,,,,,," <p>Repeals the requirement that the Secretary of Education deny Texas and its local educational agencies funds from the Education Jobs Fund until the state assures the Secretary that: (1) funds used to support elementary and secondary education shall be distributed based on LEAs' relative shares of school improvement funds for the most recent fiscal year for which data are available; (2) such funds will not be used to supplant state formula funding that is distributed like school improvement funds; and (3) state funding for elementary and secondary education, as a percentage of the state's total revenue, will not be reduced through FY2013.</p>",,,,,,
