"Downloaded on",03/05/2025,"13:27:53 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2297%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2304",https://www.congress.gov/bill/97th-congress/senate-bill/2304,"97th Congress (1981-1982)","A bill to amend title 18 to limit the application of the exclusionary rule.","DeConcini, Dennis [Sen.-D-AZ] (Introduced 03/30/1982)",Democratic,03/30/1982,"Senate - Judiciary","Committee on Judiciary received executive comment from Office of the Attorney General.",06/01/1982,"Hatch, Orrin G. [Sen.-R-UT]","Thurmond, Strom [Sen.-R-SC]","Zorinsky, Edward [Sen.-D-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Crime and Law Enforcement","Criminal procedure and sentencing","Evidence (Law)","Searches and seizures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends the Federal criminal code to provide that evidence obtained by a search or seizure shall not be excluded in a Federal proceeding if the seizure was undertaken in a reasonable good faith belief in its conformity with the fourth amendment to the Constitution or if the exclusion would constitute a grave miscarriage of justice. <p>Provides that evidence obtained in accordance with a warrant is prima facie evidence of good faith, absent intentional and material misrepresentation.",,,,,,
"S. 2300",https://www.congress.gov/bill/97th-congress/senate-bill/2300,"97th Congress (1981-1982)","A bill to establish domestic content requirements for motor vehicles sold in the United States, and for other purposes.","Ford, Wendell H. [Sen.-D-KY] (Introduced 03/30/1982)",Democratic,03/30/1982,"Senate - Commerce, Science, and Transportation","Committee on Commerce. Hearings held.",12/17/1982,"Melcher, John [Sen.-D-MT]","Riegle, Donald W., Jr. [Sen.-D-MI]","Eagleton, Thomas F. [Sen.-D-MO]","Huddleston, Walter (Dee) [Sen.-D-KY]","Kennedy, Edward M. [Sen.-D-MA]","Levin, Carl [Sen.-D-MI]","Lugar, Richard G. [Sen.-R-IN]","Metzenbaum, Howard M. [Sen.-D-OH]","Sarbanes, Paul S. [Sen.-D-MD]","Randolph, Jennings [Sen.-D-WV]","Moynihan, Daniel Patrick [Sen.-D-NY]","Glenn, John H., Jr. [Sen.-D-OH]","Byrd, Robert C. [Sen.-D-WV]","Proxmire, William [Sen.-D-WI]","Hollings, Ernest F. [Sen.-D-SC]","Exon, J. James [Sen.-D-NE]","Zorinsky, Edward [Sen.-D-NE]","Sasser, Jim [Sen.-D-TN]","Cranston, Alan [Sen.-D-CA]","Dodd, Christopher J. [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,"Automobile industry",Automobiles,"Consumer protection","Foreign Trade and Investments","Government paperwork","Government records, documents, and information","Import restrictions",Imports,"Independent regulatory commissions","Motor Vehicles and Driving","Motor vehicles","Restrictive trade practices","Transportation and Public Works","Unfair or deceptive trade practices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Fair Practices in Automotive Products Act - <b>Title I: Domestic Content Requirements for Motor Vehicles</b> - Sets forth for all motor vehicle manufacturers which produce over 100,000 motor vehicles for ultimate retail sale in the United States ""minimum domestic content ratios"" (the domestic value, including labor and parts, of the manufacturer's production costs of all automotive products sold in the United States). <p>Requires all vehicle manufacturers producing more than 50,000 motor vehicles for sale in the United States to provide information to the Secretary of Transportation for the purpose of administering this requirement. <p>Authorizes the imposition of import restrictions on manufacturers violating such standards. <p><b>Title II:  Unfair Actions Affecting Domestic Parts Manufacturers</b> - Makes it unlawful for any vehicle manufacturer to refuse to determine whether parts produced in the United States by a parts manufacturer satisfy reasonable replacement part standards established by the vehicle manufacturer.  Makes violators civilly liable to the United States.",,,,,,
"S. 2296",https://www.congress.gov/bill/97th-congress/senate-bill/2296,"97th Congress (1981-1982)","A bill to provide that district courts have jurisdiction in Department of Labor Employees' Compensation Appeals Board actions.","Heflin, Howell [Sen.-D-AL] (Introduced 03/29/1982)",Democratic,03/29/1982,"Senate - Judiciary","Committee on Judiciary received executive comment from Secretary of Labor.",10/01/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Civil service compensation","Courts and Civil Procedure","District courts","Federal employees","Federal employees and officials","Judicial review","Judicial review of administrative acts","Labor and Employment","Lawyers and legal services","Legal fees","Workers' compensation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends Federal laws to provide that district courts shall have jurisdiction of any civil action to enforce any order of the Employees' Compensation Appeals Board and to enjoin or suspend any decision or order of the Board. <p>Authorizes the setting aside of attorneys' fees whenever a claimant for workmen's compensation receives a favorable judgment. <p>Permits review in a district court of the Secretary of Labor's action in allowing or denying workmen's compensation.",,,,,,
"S. 2295",https://www.congress.gov/bill/97th-congress/senate-bill/2295,"97th Congress (1981-1982)","A bill for the relief of Elinor Dean Jones.","Heflin, Howell [Sen.-D-AL] (Introduced 03/29/1982)",Democratic,03/29/1982,"Senate - Judiciary","Referred to Subcommittee on Agency Administration.",04/01/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Claims,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Grants the Court of Claims jurisdiction to render judgment upon the claim of a named individual against the United States.",,,,,,
"S. 2294",https://www.congress.gov/bill/97th-congress/senate-bill/2294,"97th Congress (1981-1982)","A bill to provide for the settlement of the land claims of the Chitimacha Tribe of Louisiana.","Johnston, J. Bennett [Sen.-D-LA] (Introduced 03/29/1982)",Democratic,03/29/1982,"Senate - Indian Affairs (Select)","Committee on Indian Affairs. Hearings held.",07/14/1982,"Long, Russell B. [Sen.-D-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Children and youth","Courts and Civil Procedure","Custody of children","Department of the Treasury","Domestic Relations and Families","Government liability","Government trust funds","Indian claims","Indian courts","Indian lands",Jurisdiction,"Land transfers",Louisiana,"Native Americans","Public Lands and Real Property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5358,,,,,CRS,Senate,,"08/09/1982 Unfavorable Executive Comment Received From Interior.",,,,"<p>Chitimacha Claims Settlement Act - Declares constitutional and legal any transfer of land or natural resources in Louisiana by the Chitimacha Tribe before the enactment of this Act.  Declares extinguished as of the date of transfer:  (1) aboriginal titles held by the tribe to land or natural resources the transfer of which is approved by this Act;  and (2) tribal claims for damages or possession against the State, any political subdivision of the State, or any person based on an approved transfer of land or natural resources or an aboriginal title extinguished by this Act. <p>Sets forth procedures for actions challenging the constitutionality of this Act. <p>Establishes within the Treasury the Chitimacha Claims Settlement Fund as compensation to the tribe for the extinguishment of any claim under this Act. Requires the Secretary of the Interior to make semiannual payments to the tribe from income derived from the fund.  Frees the use of such payments from regulation by the Secretary. Sets forth requirements for the acquisition of land for the tribe with the fund. Authorizes appropriations to the fund. <p>Authorizes the tribe to establish a tribal court system and a tribal police force. Gives any tribal court system established under this Act exclusive jurisdiction over certain criminal offenses occurring and civil actions arising on the Chitimacha Reservation. <p>Permits the tribe to assume exclusive jurisdiction over Indian child custody proceedings in accordance with the Indian Child Welfare Act. <p>Prohibits the consideration of payments to the tribe under this Act in the determination of the eligibility of the State, any political subdivision of the State, or the tribe for Federal financial assistance.",,,,,,
"S. 2293",https://www.congress.gov/bill/97th-congress/senate-bill/2293,"97th Congress (1981-1982)","A bill to amend the Internal Revenue Code of 1954 to exclude from gross income subsistence payments to certain law enforcement officers.","Heflin, Howell [Sen.-D-AL] (Introduced 03/29/1982)",Democratic,03/29/1982,"Senate - Finance","Committee on Finance requested executive comment from OMB; Treasury Department.",03/31/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Crime and Law Enforcement","Fringe benefits","Income tax","Law enforcement officers",Police,"Tax exclusion",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends the Internal Revenue Code to exclude grom gross income amounts received by certain law enforcement officers as statutory or negotiated subsistence allowances.  Limits such exclusion to $5 per day.",,,,,,
"S. 2292",https://www.congress.gov/bill/97th-congress/senate-bill/2292,"97th Congress (1981-1982)","A bill to amend section 205 of the Federal Power Act (16 U.S.C. 824d) relating to inclusion of construction work in progress in the wholesale rate base of public utilities.","Metzenbaum, Howard M. [Sen.-D-OH] (Introduced 03/29/1982)",Democratic,03/29/1982,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",03/29/1982,"Levin, Carl [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Electric power production","Electric utility rates",Energy,"Energy facilities","Public utilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends the Federal Power Act to require the Federal Energy Regulatory Commission to approve, upon application by a public utility and after examination of the propriety of the costs involved, the inclusion in the wholesale rate base of construction work in progress (defined as the interest portion of the debt incurred in constructing a facility used to generate or transmit electric energy) with respect to: (1) construction of pollution control facilities; or (2) conversion of oil or gas-fired facilities.  Provides that public utility charges based upon costs associated with other construction work in progress shall be considered unreasonable.",,,,,,
"S. 2291",https://www.congress.gov/bill/97th-congress/senate-bill/2291,"97th Congress (1981-1982)","A bill to require the Secretary of Agriculture to disseminate farm income estimates.","Dixon, Alan J. [Sen.-D-IL] (Introduced 03/29/1982)",Democratic,03/29/1982,"Senate - Agriculture, Nutrition, and Forestry","Subcommittee on Agricultural Research. Hearings held.",09/14/1982,"Melcher, John [Sen.-D-MT]","Boren, David L. [Sen.-D-OK]","Exon, J. James [Sen.-D-NE]","Heflin, Howell [Sen.-D-AL]","Huddleston, Walter (Dee) [Sen.-D-KY]","Leahy, Patrick J. [Sen.-D-VT]","Pryor, David H. [Sen.-D-AR]","Zorinsky, Edward [Sen.-D-NE]","Bentsen, Lloyd M. [Sen.-D-TX]","Sasser, Jim [Sen.-D-TN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"Agricultural estimating and reporting","Agricultural statistics","Agriculture and Rural Affairs","Agriculture and Food","Census and Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6177,,,,,CRS,Senate,,"04/27/1982 Referred to House Committee on Agriculture.",,,,"<p>Amends Federal law to require the Secretary of Agriculture to make and disseminate monthly farm income estimates.",,,,,,
"S. 2289",https://www.congress.gov/bill/97th-congress/senate-bill/2289,"97th Congress (1981-1982)","A bill to provide for the future productivity of the National Forest System.","Melcher, John [Sen.-D-MT] (Introduced 03/29/1982)",Democratic,03/29/1982,"Senate - Agriculture, Nutrition, and Forestry","Committee on Agriculture requested executive comment from Agriculture Department.",04/01/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Forest management","Forests and forest products","National forests","Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6065,,,,,CRS,Senate,,"04/01/1982 Referred to House Committee on Agriculture.",,,,"<p>Emergency National Forest Productivity Act of 1982 - Directs the Secretary of Agriculture to establish a program to remove dead, dying, diseased, and downed trees on national forest system lands in order to: (1) make the lands more productive through reforestation and other forms of enhancement;  (2) accomplish additional thinning and timber stand improvement;  (3) reduce fire hazards; (4) provide employment for communities dependent on timber production;  and (5) provide easier public access to firewood supplies. <p>Authorizes the Secretary to carry out such program through a procedure under which purchasers of national forest system timber under contracts awarded before October 1, 1986, may be required to remove residues and yard undesireable materials not purchase by them to points of prospective use, in return for compensation in the form of residue removal credits.  Provides that such credits shall be applied against the amount payable for the timber purchased. <p>Requires the Secretary to make annual reports to Congress on the programs authorized by this Act. <p>Authorizes appropriations for FY 1983 through 1986.  Authorizes the Secretary to transfer funds from other national forest system accounts to carry out such programs for the current fiscal year.",,,,,,
"S. 2288",https://www.congress.gov/bill/97th-congress/senate-bill/2288,"97th Congress (1981-1982)","A bill entitled ""The Emergency Agriculture Act of 1982"".","Melcher, John [Sen.-D-MT] (Introduced 03/29/1982)",Democratic,03/29/1982,"Senate - Agriculture, Nutrition, and Forestry","Committee on Agriculture requested executive comment from Agriculture Department.",04/01/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agricultural credit","Agricultural price supports","Agriculture and Rural Affairs","Agriculture and Food","Agriculture in foreign trade","Conservation of natural resources",Corn,"Environmental Protection",Farms,"Feed grain program","Foreign Trade and Investments","Soil conservation","Soil erosion",Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>  Amends the Agricultural Act of 1949, as amended by the Agriculture and Food Act of 1981, to increase loan levels for the 1982-1985 wheat (from $3.55 to $4.20 per bushel) and corn crops (from $2.55 to $2.90 per bushel). <p>Directs the Secretary of Agriculture to make authorized economic emergency loans available immediately to farmers and ranchers. <p>Amends the Agricultural Trade Development and Assistance Act of 1954 (P.L. 480) to increase the food assistance available for nonprofit and voluntary agency distribution. <p>Declares that Department of Agriculture soil and water conservation programs should emphasize prevention of soil degradation. <p>States that the Secretary shall determine that sufficient soil erosion technical and financial assistance is available nationally before providing such assistance to specially targeted erosion areas.",,,,,,
"S. 2287",https://www.congress.gov/bill/97th-congress/senate-bill/2287,"97th Congress (1981-1982)","A bill to amend the Poultry Products Inspection Act to increase the number of turkeys which may be slaughtered and processed without inspection under such act, and for other purposes.","Melcher, John [Sen.-D-MT] (Introduced 03/29/1982)",Democratic,03/29/1982,"Senate - Agriculture, Nutrition, and Forestry","Committee on Agriculture requested executive comment from Agriculture Department.",04/01/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agriculture and Rural Affairs","Agriculture and Food","Food adulteration and inspection","Food and Food Industry",Livestock,"Poultry industry","Poultry inspection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3863,,,,,CRS,Senate,,"06/30/1982 Became Public Law No: 97-206.",,,,"<p>Amends the Poultry Products Inspection Act to increase the number of turkeys which may be slaughtered and processed without inspection under such Act. Authorizes the Secretary of Agriculture to grant an exemption beyond such increase if such exemption will not impede the purposes of such Act.",,,,,,
"S. 2284",https://www.congress.gov/bill/97th-congress/senate-bill/2284,"97th Congress (1981-1982)","A bill to insure adequate protection of workers, the general public, and the environment from harmful radiation exposure, to establish mechanisms for effective coordination among the various Federal agencies involved in radiation protection activities, to develop a coordinated radiation research program, and for other purposes.","Glenn, John H., Jr. [Sen.-D-OH] (Introduced 03/25/1982)",Democratic,03/25/1982,"Senate - Governmental Affairs","Committee on Governmental Affairs received executive comment from Energy Department.",07/19/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Advisory bodies","Environmental Protection Agency","Executive reorganization","Federal advisory bodies","Government Operations and Politics","Government regulation",Health,"Medical research","Occupational health and safety","Public health","Public safety",Radiation,"Radiation safety",Research,X-rays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Federal Radiation Protection Management Act of 1982 - <b>Title I:  Federal Council on Radiation Protection</b> - Establishes a Federal Council on Radiation Protection, to be composed of the heads of specified Federal agencies, one representative of the Conference of Radiation Control Program Directors, and two presidentially appointed public members.  Directs the Council to:  (1) advise the President on radiation matters affecting health and safety; (2) review the authority of Federal agencies to regulate radiation-related activities; (3) make recommendations to the President and Congress concerning changes in the authority granted to such agencies; (4) identify the research needed by such agencies to meet their regulatory responsibilities and to transmit to the Federal Conference on Research into the Biological Effects of Radiation (established by this Act) a list of such research needs; (5) develop and recommend public education programs concerning radiation health and safety; (6) review State and local radiation control programs; and (7) keep the Congress and appropriate congressional committees advised as to the Council's activities. <p>Directs the Chairman of the Council to establish, for at least one year, a working group on the reduction and control of occupational exposure to radiation, to be composed of the heads of specified Federal agencies and one Council member.  Requires such working group, in consultation with concerned labor and management representatives and other qualified industries, to:  (1) review the need for reduction or increased control of occupational exposure to radiation and suggest means for meeting any such needs, including specified reductions and improvements; and (2) study the feasibility of establishing a system for recording occupational doses of radiation received by individual workers and other occupational radiation information. <p>Directs the Chariman to establish, for at least one year, a working group on protection from exposure to medical radiation, to be composed of the heads of specified Federal agencies and two Council members.  Requires such working group to:  (1) review the incidence of unnecessary patient exposure to X-rays and suggest ways of reducing such unnecessary exposure; (2) suggest means to increase practitioner and patient awareness of the utility, limitations, and risks of diagnostic X-rays and of alternative diagnostic procedures; and (3) study the use of administrative controls and reimbursement incentives to reduce unnecessary exposure to medical X-rays. <p>Provides for such working group on protection from exposure to medical radiation to be assisted by an advisory group appointed by the Chairman and composed of seventeen people from specified professions and backgrounds.  Directs such working group, within one year after its establishment, to report its activities and recommendations to the Council. <p>Transfers to the Council all functions of the Environmental Protection Agency relating to radiation matters covered by the reorganization plan establishing the Environmental Protection Agency. <p>Sets forth administrative provisions concerning the operation of the Council, including the authority to hold public hearings and to issue subpoenas requiring the attendance and testimony of witnesses and the production of specified documents. Authorizes criminal fines and imprisonment for failure to obey such subpoenas. <p>Directs the Council to submit to Congress an annual report that:  (1) identifies inadequate Federal statutes and information programs concerning radiation safety and health; and (2) includes plans for the phased reduction of occupational radiation exposure and of radiation exposure from medical and other sources to the public. <p>Directs the President, by July 31, 1988, to transmit to Congress a reorganization plan which transfers the functions of the Council to other Federal agencies.  Terminates the Council when such plan or a succeeding plan becomes effective. <p>Authorizes appropriations for FY 1983 through FY 1988 to carry out this title. <p><b>Title II:  Federal Conference on Research into the Biological Effects of Radiation</b> - Establishes the Federal Conference on Research into the Biological Effects of Radiation, to be composed of representatives of the heads of specified Federal agencies and two presidentially appointed public members.  Sets forth the functions of such Conference, including:  (1) to advise the President on Federal research activities concerning the biological effects of radiation; (2) to formulate an annual comprehensive Federal agenda for research into such effects; (3) to recommend to the President and Congress:  (a) uniform standards for Federal agency peer review of such research; (b) information dissemination procedures for informing the public, Federal agencies, and State and local governments of the results of such research; (c) guidelines for public oversight of such research; and (d) any needed transfer of research capability between Federal agencies; (4) to assist the Federal Council on Radiation Protection in developing public education programs concerning radiation health and safety; and (5) to keep the Congress and appropriate congressional committees advise as to such Federal research activities. <p>Permits the Conference to review Federal agency radiation research requests, according to specified criteria, to decide the scientific merit of such projects and whether they should be conducted by the agency or by an outside entity provided with financial assistance.  Requires each Federal agency conducting or providing assistance for such research to conduct similar reviews. <p>Sets forth administrative provisions concerning the operations of the Conference, including the authority to hold public hearings and to issue subpoenas requiring the attendance and testimony of witnesses and the production of specified documents. Authorizes criminal fines and imprisonment for failure to obey such subpoenas. <p>Directs the President, by July 31, 1988, to transmit to Congress a reorganization plan which transfers the functions of the Conference to other Federal agencies. Terminates the Conference when such plan or a subsequent plan becomes effective. <p>Requires expenses of the Conference to be paid from funds available for the administrative expenses of the Office of the Director of the National Institutes of Health.",,,,,,
"S. 2283",https://www.congress.gov/bill/97th-congress/senate-bill/2283,"97th Congress (1981-1982)","A bill to authorize negotiations directed toward liberalizing international trade and investment in high technology goods and services, and for other purposes.","Glenn, John H., Jr. [Sen.-D-OH] (Introduced 03/25/1982)",Democratic,03/25/1982,"Senate - Finance","Committee on Finance requested executive comment from OMB; International Trade Commission, Office of U.S. Trade Representative; Treasury Department; State Department; Commerce Department.",03/31/1982,"Dixon, Alan J. [Sen.-D-IL]","Huddleston, Walter (Dee) [Sen.-D-KY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"American investments",Exports,"Foreign Trade and Investments","Science and technology","Science, Technology, Communications",Tariff,"Technology policy","Technology transfer","Trade agreements",Treaties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>High Technology Trade Negotiations Act of 1982 - Directs the President to negotiate with foreign governments and instrumentalities to obtain and preserve the maximum openness of international trade and investment in high technology goods and services. Authorizes the President to enter into bilateral and multilateral agreements to achieve such openness. <p>Authorizes the President, in order to carry out an agreement concluded under this Act, to:  (1) proclaim the necessary modification or continuance of any existing duty free or excise treatment, or the necessary additional duties; and (2) use the procedures contained in the sections of the Trade Act of 1974 dealing with nontariff trade barriers if changes in U.S. law are needed. <p>Directs the Secretary of Commerce to establish a method to monitor high technology trade and investment in foreign markets, to evaluate the openness of trade and investment opportunities in these markets, and to further the objectives of this Act. Directs the Secretary to report annually to the President and to Congress on the results of the monitoring.",,,,,,
"S. 2279",https://www.congress.gov/bill/97th-congress/senate-bill/2279,"97th Congress (1981-1982)","A bill to designate the Alben Barkley National Historic Site.","Ford, Wendell H. [Sen.-D-KY] (Introduced 03/24/1982)",Democratic,03/24/1982,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources","Referred to House Committee on Interior and Insular Affairs.",12/21/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Historic sites",Kentucky,"Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"(Measure passed Senate, amended) <p>Authorizes the Secretary of the Interior to acquire certain lands located in Kentucky in order to establish the Alben Barkley National Historic Site.  Authorizes appropriations from the Land and Water Conservation Fund for the acquisition of such lands and interests therein.",,,,,,
"S. 2277",https://www.congress.gov/bill/97th-congress/senate-bill/2277,"97th Congress (1981-1982)","A bill to amend the Internal Revenue Code of 1954 to make certain changes to stimulate the housing industry.","Mitchell, George J. [Sen.-D-ME] (Introduced 03/24/1982)",Democratic,03/24/1982,"Senate - Finance","Committee on Finance requested executive comment from OMB; Treasury Department.",03/31/1982,"Sasser, Jim [Sen.-D-TN]","Riegle, Donald W., Jr. [Sen.-D-MI]","Zorinsky, Edward [Sen.-D-NE]","Melcher, John [Sen.-D-MT]","Burdick, Quentin N. [Sen.-D-ND]","Cannon, Howard W. [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Certificates of deposit","Economics and Public Finance","Finance and Financial Sector","Government securities","Home ownership","Housing and Housing Finance","Income tax",Interest,"Mortgage loans",Mortgages,"Savings accounts","Securities and Investments","Tax credits","Tax exclusion","Tax incentives",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Emergency Home Purchase Assistance Act of 1982 - Amends the Internal Revenue Code to allow first-time home buyers an income tax credit equal to nine percent of the purchase price of a principal residence.  Limits the dollar amount of such credit to $5,400.  Provides a three year carryback of excess credit amounts.  Specifies that such credit shall be available with respect to only one residence of the taxpayer. <p>Requires the recapture of credit amounts for the purchase of a principal residence if such residence is sold within 36 months after the date of acquisition. <p>Repeals the provision allowing all-savers tax-exempt certificates, effective March 31, 1982. <p>Revises requirements for mortgage subsidy bonds.",,,,,,
