"Downloaded on",03/05/2025,"13:57:07 EST"
"Search URL",https://www.congress.gov/advanced-search?raw=%5B%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22congress%22%2C%22operator%22%3A%22multi%22%2C%22value%22%3A%5B%22118%22%2C%22117%22%2C%22116%22%2C%22112%22%2C%22111%22%5D%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22chamber%22%2C%22operator%22%3A%22is%22%2C%22value%22%3A%22Senate%22%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22committee%22%2C%22operator%22%3A%22containsAll%22%2C%22value%22%3A%22Finance%22%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22sponsor-party%22%2C%22operator%22%3A%22is%22%2C%22value%22%3A%22Democratic%22%7D%7D%5D%7D%5D&q=%7B%22type%22%3A%22bills%22%2C%22congress%22%3A%22112%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2793",https://www.congress.gov/bill/112th-congress/senate-bill/2793,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on copper peptide (GHK-Cu 1:1).","Blumenthal, Richard [Sen.-D-CT] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on copper peptide (GHK-Cu 1:1).",,,,,,
"S. 2792",https://www.congress.gov/bill/112th-congress/senate-bill/2792,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on 1-methylimidazole.","Blumenthal, Richard [Sen.-D-CT] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on 1-methylimidazole.",,,,,,
"S. 2791",https://www.congress.gov/bill/112th-congress/senate-bill/2791,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on stannic oxide.","Blumenthal, Richard [Sen.-D-CT] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on stannic oxide.",,,,,,
"S. 2790",https://www.congress.gov/bill/112th-congress/senate-bill/2790,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on 2-benzothiazolythio butanedioic acid (2BBA).","Blumenthal, Richard [Sen.-D-CT] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on 2-benzothiazolythio butanedioic acid (2BBA).",,,,,,
"S. 2789",https://www.congress.gov/bill/112th-congress/senate-bill/2789,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on Preventol O Extra.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on Preventol O Extra.",,,,,,
"S. 2788",https://www.congress.gov/bill/112th-congress/senate-bill/2788,"112th Congress (2011-2012)","A bill to extend and modify the temporary suspension of duty on polyisocyanate cross linking agent products containing tripehnylmethane triisocyanate in solvents.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to: (1) modify the article description of polyisocyanate cross linking agent products containing triphenylmethane triisocyanate in solvents, and (2) extend temporarily the suspension of duty on such article.</p>",,,,,,
"S. 2787",https://www.congress.gov/bill/112th-congress/senate-bill/2787,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on thiophanate methyl.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on temporary suspension of duty on thiophanate methyl.",,,,,,
"S. 2786",https://www.congress.gov/bill/112th-congress/senate-bill/2786,"112th Congress (2011-2012)","A bill to extend and modify the temporary suspension of duty on 1,3-diisocyanatomethylbenzene, polymer with 1,6-diisocyanatohexane.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to: (1) modify the article description of 1,3-diisocyanatomethylbenzene, polymer with 1,6- diisocyanatohexane, and (2) extend temporarily the suspension of duty on such article.</p>",,,,,,
"S. 2785",https://www.congress.gov/bill/112th-congress/senate-bill/2785,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on zinc dimethyldithiocarbamate.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on zinc dimethyldithiocarbamate.",,,,,,
"S. 2784",https://www.congress.gov/bill/112th-congress/senate-bill/2784,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on 1,2,3-propanetriol, polymer with 2,4-diisocyanato-1-methylbenzene, 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, methyloxirane and oxirane.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on 1,2,3-propanetriol, polymer with 2,4-diisocyanato-1-methylbenzene, 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, methyloxirane and oxirane.",,,,,,
"S. 2783",https://www.congress.gov/bill/112th-congress/senate-bill/2783,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on 2-oxepanone polymer with 1,4-butanediol and 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane, 2-ethyl-1-hexanol-blocked.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on 2-oxepanone polymer with 1,4-butanediol and 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane, 2-ethyl-1-hexanol-blocked.",,,,,,
"S. 2782",https://www.congress.gov/bill/112th-congress/senate-bill/2782,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on Oryzalin.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on Oryzalin.",,,,,,
"S. 2781",https://www.congress.gov/bill/112th-congress/senate-bill/2781,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on water-dispersible polyisocyanate products based on nexamethylene diisocyanate trimer and cyclohexanamine, N,N-dimethyl-, compounds with 3-(cyclohexylamino)-1-propanesulfonic acid-blocked 1,6-diisocyanatohexane homopolymer.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on water-dispersible polyisocyanate products based on nexamethylene diisocyanate trimer and cyclohexanamine, N,N-dimethyl-, compounds with 3-(cyclohexylamino)-1-propanesulfonic acid-blocked 1,6-diisocyanatohexane homopolymer.",,,,,,
"S. 2780",https://www.congress.gov/bill/112th-congress/senate-bill/2780,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on Cypermethrin.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on Cypermethrin.",,,,,,
"S. 2779",https://www.congress.gov/bill/112th-congress/senate-bill/2779,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on poly(1,6-diisocyanatohexane-block-polyethylene-block-poly-propylene glycol monobutyl ether).","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on poly(1,6-diisocyanatohexane-block-polyethylene-block-poly-propylene glycol monobutyl ether).",,,,,,
"S. 2778",https://www.congress.gov/bill/112th-congress/senate-bill/2778,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on reaction product of 3,5-dimethyl-1,2-diazole with polymer of hexane-1,6-diyl diisocyanate.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on reaction product of 3,5-dimethyl-1,2-diazole with polymer of hexane-1,6-diyl diisocyanate.",,,,,,
"S. 2777",https://www.congress.gov/bill/112th-congress/senate-bill/2777,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on methyl sulfanilylcarbamate, sodium salt.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on methyl sulfanilylcarbamate, sodium salt.",,,,,,
"S. 2776",https://www.congress.gov/bill/112th-congress/senate-bill/2776,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on mixtures of thiophanate methyl and application adjuvants.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on mixtures of thiophanate methyl and application adjuvants.",,,,,,
"S. 2775",https://www.congress.gov/bill/112th-congress/senate-bill/2775,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on N,N'N""-[(2,4,5-trioxo-1,3,5-triazine-1,3,5(2H,4H,6H)-triyl)tris[methylene(3,5,5-trimetyl-3,1-cyclohexanediyl)]]tris[hexahydro-2-oxo-1H-azepine-1-carboxamide].","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on N,N'N""-[(2,4,5-trioxo-1,3,5-triazine-1,3,5(2H,4H,6H)-triyl)tris[methylene(3,5,5-trimetyl-3,1-cyclohexanediyl)]]tris[hexahydro-2-oxo-1H-azepine-1-carboxamide].",,,,,,
"S. 2774",https://www.congress.gov/bill/112th-congress/senate-bill/2774,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on N-[methoxy(methylthio) phosphinoyl] acetamide formulation.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on N-[methoxy(methylthio) phosphinoyl] acetamide formulation.",,,,,,
"S. 2773",https://www.congress.gov/bill/112th-congress/senate-bill/2773,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on hexanedioic acid, dihydrazide, polymer with 5-amino-1,3,3-trimethylcyclohexanemethanamine, 1,3-butanediol and 1,1'-methylenebis[4-isocyanatocyclohexane], Me Et ketone oxime- and polyethylene glycol mono-Me ether-blocked.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on hexanedioic acid, dihydrazide, polymer with 5-amino-1,3,3-trimethylcyclohexanemethanamine, 1,3-butanediol and 1,1'-methylenebis[4-isocyanatocyclohexane], Me Et ketone oxime- and polyethylene glycol mono-Me ether-blocked.",,,,,,
"S. 2772",https://www.congress.gov/bill/112th-congress/senate-bill/2772,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on oxirane, 2-methyl-, polymer with oxirane, ether with 1,2,3-propanetriol (3:1), polymer with 2,4-diisocyanato-1-methylbenzene and a-hydro-w-hydroxypoly[oxy(methyl-1,2-ethanediyl)] ether with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol (3:1), caprolactam-blocked.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on oxirane, 2-methyl-, polymer with oxirane, ether with 1,2,3-propanetriol (3:1), polymer with 2,4-diisocyanato-1-methylbenzene and a-hydro-w-hydroxypoly[oxy(methyl-1,2-ethanediyl)] ether with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol (3:1), caprolactam-blocked.",,,,,,
"S. 2771",https://www.congress.gov/bill/112th-congress/senate-bill/2771,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on captan.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on captan.",,,,,,
"S. 2770",https://www.congress.gov/bill/112th-congress/senate-bill/2770,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on reaction product of 3,5-dimethyl-1,2-diazole with polymer of hexane-1,6-diyl diisocyanate.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on reaction product of 3,5-dimethyl-1,2-diazole with polymer of hexane-1,6-diyl diisocyanate.",,,,,,
"S. 2769",https://www.congress.gov/bill/112th-congress/senate-bill/2769,"112th Congress (2011-2012)","A bill to extend the temporary reduction of duty on liquid-filled glass bulbs designed for sprinkler systems and other release devices.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to extend temporarily the reduction of duty on liquid-filled glass bulbs designed for sprinkler systems and other release devices.</p>",,,,,,
"S. 2768",https://www.congress.gov/bill/112th-congress/senate-bill/2768,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on oxyfluorfen.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on oxyfluorfen.",,,,,,
