"Downloaded on",03/04/2025,"18:30:33 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22101%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2519",https://www.congress.gov/bill/101st-congress/senate-bill/2519,"101st Congress (1989-1990)","A bill to require the U.S. Marshalls Service to designate court districts that need additional private entities for the detention of Federal prisoners and to provide certain standards for such entities.","Domenici, Pete V. [Sen.-R-NM] (Introduced 04/25/1990)",Republican,04/25/1990,"Senate - Judiciary","Referred to Subcommittee on Courts and Administrative Practice.",05/03/1990,"Bingaman, Jeff [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Corrections,"Crime and Law Enforcement","Government and business","Government Operations and Politics","Government service contracts","Judicial districts",Prisons,Privatization,Standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Federal criminal code to authorize the U.S. Marshals Service to designate districts that need additional support from private detention entities based on the number of detainees in the district and the availability of Federal, State, and local government detention facilities. <p>Requires, in order to be eligible for a contract for the housing, care, and security of persons held in custody of the U.S.  Marshal and for funding, that such an entity:  (1) be located in a district designated as needing additional Federal detention facilities; (2) meet the standards of the American Correctional Association; (3) comply with all applicable State and local laws and regulations; (4) have approved fire, security, escape, and riot plans; and (5) comply with any other regulations that the Marshals Service deems appropriate.",,,,,,
"S. 2513",https://www.congress.gov/bill/101st-congress/senate-bill/2513,"101st Congress (1989-1990)","A bill to require Congress to purchase recycled paper and paper products to the greatest extent practicable.","Boschwitz, Rudy [Sen.-R-MN] (Introduced 04/25/1990)",Republican,04/25/1990,"Senate - Governmental Affairs, Rules and Administration","Referred to the Committee on Rules.",05/08/1990,"Heinz, John [Sen.-R-PA]","Warner, John [Sen.-R-VA]","Gorton, Slade [Sen.-R-WA]","Murkowski, Frank H. [Sen.-R-AK]","Conrad, Kent [Sen.-D-ND]","Heflin, Howell [Sen.-D-AL]","Cohen, William S. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Congress,"Congressional agencies","Environmental Protection","Government procurement","Paper and paper products","Recycling of waste products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.4523,S.2522,,CRS,,,"08/02/1990 Subcommittee Hearings Held.","04/25/1990 Read twice and referred to the Committee on Rules.",,"<p>Congressional Recycling Act of 1990 - Requires the Clerk of the House of Representatives and the Secretary of the Senate to purchase recycled paper and paper products for use to the greatest extent practicable in the operations of the House and the Senate. <p>Directs the Public Printer to assure that the Government Printing Office uses recycled paper in providing services to the House.",,,,,,
"S. 2507",https://www.congress.gov/bill/101st-congress/senate-bill/2507,"101st Congress (1989-1990)","A bill to amend the Public Health Service Act to provide for the establishment of a family drug treatment grant program, and for other purposes.","Coats, Daniel [Sen.-R-IN] (Introduced 04/24/1990)",Republican,04/24/1990,"Senate - Labor and Human Resources","Read twice and referred to the Committee on Labor and Human Resources.",04/24/1990,"Wallop, Malcolm [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Drug abuse","Drug abuse counseling",Families,"Federal aid to health facilities","Federal aid to hospitals",Health,"Social work","Teaching hospitals","Treatment and rehabilitation of narcotic addicts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Public Health Service Act to direct the Secretary of Health and Human Services to establish, and the Assistant Secretary of Health to administer, a program of demonstration grants to teaching hospitals or community mental health centers with staff affiliations with teaching hospitals to provide comprehensive family drug treatment programs and social work follow-up for individuals in such programs.  Directs the Assistant Secretary of Health to award ten such grants in limited amounts and terms.  Requires grant recipients to provide program evaluation data to media agencies within their State and to State and local agencies involved in drug-related activities. Authorizes appropriations.",,,,,,
"S. 2505",https://www.congress.gov/bill/101st-congress/senate-bill/2505,"101st Congress (1989-1990)","A bill to provide grants for identification and treatment of substance abuse by pregnant and post partum women, for identification, treatment, and foster care placement of substance-abused infants.","Wilson, Pete [Sen.-R-CA] (Introduced 04/24/1990)",Republican,04/24/1990,"Senate - Labor and Human Resources","Read twice and referred to the Committee on Labor and Human Resources.",04/24/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Child abuse",Disabled,"Drug abuse","Drug abuse in pregnancy","Drugs and women","Federal aid to alcoholism programs","Federal aid to maternal health services","Federal aid to medical education","Foster home care","Handicapped infants",Health,Infants,"Pregnant women","Treatment and rehabilitation of narcotic addicts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Substance Abuse During Pregnancy Act of 1990 - Replaces Public Health Service Act provisions relating to model projects for pregnant and post partum women and their infants with provisions directing the Secretary of Health and Human Services, through the Administrator of the Alcohol, Drug Abuse, and Mental Health Administration, to make grants to eligible entities to provide inpatient, outpatient, and residential substance abuse treatment programs for substance-abusing pregnant and post partum women and their infants.  Authorizes appropriations. <p>Directs the Secretary to make grants to eligible institutions to enable the institution to train health care personnel to identify substance-abusing pregnant and post partum women and substance-abused infants.  Authorizes appropriations. <p>Amends the Child Abuse Prevention and Treatment and Adoption Reform Act of 1978 to direct the Secretary of Health and Human Services to make grants to eligible entities to increase incentives for foster parents to care for substance-abused infants.  Allows grant funds to be used, among other things, for financial incentives to recruit foster parents. Limits total expenditures per infant per year. <p>Amends the Child Abuse Prevention and Treatment Act to direct the Secretary to make grants to eligible entities to identify, monitor, place, and track substance-abused infants. <p>Directs the Secretary to:  (1) arrange for a study regarding specified aspects of substance-abused infants; and (2) invite the National Academy of Sciences and the National Institute of Child Health and Human Development to submit applications to conduct the study.  Authorizes appropriations. <p>Directs the Secretary, through the National Institutes of Health, to conduct a study to identify children, including children receiving assistance under the Head Start Act, who were exposed to substance abuse during the pregnancy of their mothers.  Requires the program to evaluate the developmental disabilities of the children.  Authorizes appropriations. <p>Directs the Secretary, through the Director of the National Institutes of Health, to conduct a study regarding techniques to detect substance abuse during pregnancy.  Authorizes appropriations.",,,,,,
"S. 2504",https://www.congress.gov/bill/101st-congress/senate-bill/2504,"101st Congress (1989-1990)","A bill to establish a housing grant action program.","D'Amato, Alfonse [Sen.-R-NY] (Introduced 04/24/1990)",Republican,04/24/1990,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking.",04/24/1990,"Dodd, Christopher J. [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Congressional reporting requirements","Environmental assessment","Environmental Protection","Federal aid to Indians","Federal aid to housing","Home ownership","Housing and Community Development","Housing for the aged","Housing for the handicapped","Housing management","Low-income housing","Public housing","Rental housing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Housing Grant Action Program Act of 1990 - States that the purpose of this Act is to further the development of a national housing policy through the consolidation of a number of housing assistance programs into a consistent system of Federal aid. <p>Authorizes appropriations for grants under this Act. <p>Sets forth eligible grant activities, including:  (1) acquisition, construction, or rehabilitation of rental and ownership units; (2) provision of loans, interest subsidies, and other financial assistance; (3) rental rehabilitation grants; (4) assistance to nonprofit organizations for homeownership loans; (5) assistance for elderly and handicapped families; and (6) assistance for Indian housing. <p>Requires a grantee to:  (1) prepare a statement of housing objectives and fund use which shall provide for public participation; (2) provide the Secretary of Housing and Urban Development with a certification of compliance; (3) develop a residential antidisplacement and relocation plan; and (4) provide the Secretary with a performance and evaluation report. <p>Authorizes the Secretary to release funds to recipients of assistance under this Act who assume the responsibilities for environmental actions pursuant to the National Environmental Policy Act of 1969 and other provisions of law specified by the Secretary. <p>Allocates 70 percent of program funds to cities and urban counties and 30 percent to States.  Sets forth an allocation formula. <p>Obligates specified funds for Indian housing grants.  Administers such grants through the Department's Office of Indian and Alaska Native Programs. <p>Sets forth grantee ""hold-harmless"" provisions. <p>Sets forth provisions with respect to:  (1) nondiscrimination; (2) labor standards; (3) noncompliance remedies; (4) reports to the Congress; and (5) program transitions.",,,,,,
"S. 2502",https://www.congress.gov/bill/101st-congress/senate-bill/2502,"101st Congress (1989-1990)","A bill to amend the Internal Revenue Code of 1986 to make certain provisions of the Equal Access to Justice Act applicable to tax proceedings.","Boschwitz, Rudy [Sen.-R-MN] (Introduced 04/24/1990)",Republican,04/24/1990,"Senate - Finance","Read twice and referred to the Committee on Finance.",04/24/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative remedies","Legal fees","Tax administration",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Tax Justice Act - Amends the Internal Revenue Code with respect to the award of costs and certain fees in administrative and court proceedings to the prevailing party.",,,,,,
"S. 2501",https://www.congress.gov/bill/101st-congress/senate-bill/2501,"101st Congress (1989-1990)","A bill to amend section 1738A of title 28, United States Code, relating to child custody determinations, to modify the requirements for court jurisdiction.","Domenici, Pete V. [Sen.-R-NM] (Introduced 04/24/1990)",Republican,04/24/1990,"Senate - Judiciary","Referred to Subcommittee on Courts and Administrative Practice.",05/03/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Custody of children",Jurisdiction,Law,"State courts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Child Custody Jurisdiction Reform Act of 1990 - Amends the Federal judicial code to specify that a State making an original child custody decree retains jurisdiction as long as such State remains the residence of the child or of any contestant in the custody determination.",,,,,,
"S. 2500",https://www.congress.gov/bill/101st-congress/senate-bill/2500,"101st Congress (1989-1990)","A bill to amend title 23, United States Code, to control billboard advertising adjacent to Interstate Federal-aid primary highways, and for other purposes.","Chafee, John H. [Sen.-R-RI] (Introduced 04/24/1990)",Republican,04/24/1990,"Senate - Environment and Public Works, Commerce, Science, and Transportation","Placed on Senate Legislative Calendar under General Orders. Calendar No. 989.",10/16/1990,"Bentsen, Lloyd M. [Sen.-D-TX]","Hatfield, Mark O. [Sen.-R-OR]","Pell, Claiborne [Sen.-D-RI]","Moynihan, Daniel Patrick [Sen.-D-NY]","Wilson, Pete [Sen.-R-CA]","Wirth, Timothy [Sen.-D-CO]","Jeffords, James M. [Sen.-R-VT]","Lieberman, Joseph I. [Sen.-D-CT]","Leahy, Patrick J. [Sen.-D-VT]","Akaka, Daniel K. [Sen.-D-HI]","Cohen, William S. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Billboards,"Federal aid highway program","Highway beautification","Interstate highway system","Outdoor advertising","Public Lands and Natural Resources","Roads and highways","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Visual Pollution Control Act of 1990 - Authorizes (current law requires) reduction of Federal highway funds by up to five (currently, equal to ten) percent of apportioned funds for States that have not made provision for effective control of outdoor signs, displays, or devices (advertising) along Federal-aid highways. <p>Requires, as part of effective control, that:  (1) each State maintain an annual inventory of such advertising, identify such advertising as illegal, nonconforming, or conforming under State law, and assure that any prohibited advertising shall be removed; and (2) no State allow or undertake any vegetation removal or other alteration of the highway right-of-way to improve visibility of such advertising or permit modification of nonconforming advertising to improve its visibility or prolong its useful life. <p>Prohibits any new advertising from being erected under Federal highway provisions after October 1, 1990, and treats advertising erected between such date and the effective date of this Act as nonconforming. <p>Sets forth provisions with respect to the removal and acquisition of advertising and Federal participation in costs incurred by the State for such removal. <p>Bars outdoor advertising by Federal agencies on public lands (excluding Indian lands and reservations) that fails to conform to regulations issued by the Federal agency with jurisdiction over, or responsibility for, such land.  Requires such regulations to be at least as stringent as the requirements of the State in which the land is located.",,,,,,
"S. 2498",https://www.congress.gov/bill/101st-congress/senate-bill/2498,"101st Congress (1989-1990)","A bill to authorize a certificate of documentation for the vessel SEA DEVIL.","Gorton, Slade [Sen.-R-WA] (Introduced 04/24/1990)",Republican,04/24/1990,"Senate - Commerce, Science, and Transportation","Indefinitely postponed by Senate by Unanimous Consent.",08/04/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",Ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Authorizes the Secretary of Transportation to issue a certificate of documentation for a named vessel. </p>",,,,,,
"S. 2495",https://www.congress.gov/bill/101st-congress/senate-bill/2495,"101st Congress (1989-1990)","A bill to amend section 7 of the Mineral Leasing Act governing Federal coal lease royalty rates.","Armstrong, William L. [Sen.-R-CO] (Introduced 04/23/1990)",Republican,04/23/1990,"Senate - Energy and Natural Resources","Committee on Energy and Natural Resources requested executive comment from Department of the Interior, and Office of Management and Budget.",04/26/1990,"Wirth, Timothy [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Coal,"Mines and mineral resources","Mining royalties",Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Consumer Coal Royalty Rate Amendment Act of 1989 - Amends the Mineral Lands Leasing Act to reduce the royalty rate for pre-March 1, 1989, Federal coal lease contracts from 12 1/2 percent to six percent.",,,,,,
"S. 2493",https://www.congress.gov/bill/101st-congress/senate-bill/2493,"101st Congress (1989-1990)","A bill to suspend until December 31, 1992, the duty on 4,5-dichloro-2-n-octyl-4-isothiazolin-3-one and on mixtures of 4,5-dichloro-2-n-octyl-4-isothiazolin-3-one and application adjuvants, with or without stabilizers.","Heinz, John [Sen.-R-PA] (Introduced 04/23/1990)",Republican,04/23/1990,"Senate - Finance","Read twice and referred to the Committee on Finance.",04/23/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Chemicals,"Foreign Trade and International Finance",Pesticides,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Harmonized Tariff Schedule of the United States to suspend, through December 31, 1992, the duty on:  (1) 4,5-dichloro-2-n-octyl-4-isothiazolin-3-one; and (2) mixtures of 4,5-dichloro-2-n-octyl-4-isothiazolin-3-one and application adjuvants, with or without stabilizers.",,,,,,
"S. 2492",https://www.congress.gov/bill/101st-congress/senate-bill/2492,"101st Congress (1989-1990)","A bill to suspend until December 31, 1992, the duty on dicyclopentenyl-oxyethyl methacrylate.","Heinz, John [Sen.-R-PA] (Introduced 04/23/1990)",Republican,04/23/1990,"Senate - Finance","Read twice and referred to the Committee on Finance.",04/23/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Chemicals,"Foreign Trade and International Finance",Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Harmonized Tariff Schedule of the United States to suspend, through December 31, 1992, the duty on dicyclopentenyl-oxyethyl methacrylate.",,,,,,
"S. 2491",https://www.congress.gov/bill/101st-congress/senate-bill/2491,"101st Congress (1989-1990)","A bill to provide a minimum State share for certain housing programs.","Pressler, Larry [Sen.-R-SD] (Introduced 04/23/1990)",Republican,04/23/1990,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking.",04/23/1990,"Burdick, Quentin N. [Sen.-D-ND]","Baucus, Max [Sen.-D-MT]","Grassley, Chuck [Sen.-R-IA]","Jeffords, James M. [Sen.-R-VT]","Burns, Conrad R. [Sen.-R-MT]","Daschle, Thomas A. [Sen.-D-SD]","Simpson, Alan K. [Sen.-R-WY]","Wallop, Malcolm [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Federal aid to housing","Housing and Community Development","Housing for the aged","Housing for the handicapped","Native Americans","Public housing","Rental housing","Residential rehabilitation","State finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Requires that each State receive a specified minimum amount of assistance from certain Department of Housing and Urban Development housing programs.",,,,,,
