"Downloaded on",03/04/2025,"18:22:53 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%2294%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3191",https://www.congress.gov/bill/94th-congress/senate-bill/3191,"94th Congress (1975-1976)","A bill to establish a Department of Education.","Bartlett, Dewey F. [Sen.-R-OK] (Introduced 03/23/1976)",Republican,03/23/1976,"Senate - Government Operations","Referred to Senate Committee on Government Operations.",03/23/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Department of Education","Department of Health, Education, and Welfare",Education,"Executive reorganization","Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Department of Education Act - Establishes an executive department to be known as the Department of Education to be headed by a Secretary of Education appointed by the President. <p>Transfers to such Department all functions and assets of the Office of Education and of the Commissioner of Education, as well as other functions and related assets of the Department of Health, Education, and Welfare under specified laws and provisions of law relating to education. <p>Transfers specified functions and related assets of  other executive departments relating to education to such new Department. <p>Redesignates the Department of Health, Education, and Welfare as the Department of Health and Welfare.  Authorizes the Secretary to establish a working capital fund for the maintenance and operation of administrative services of the Department. <p>Authorizes the Secretary to provide specified services, supplies, and facilities for employees of the Department and their dependents stationed in remote areas. Allows the Secretary of the Treasury to invest and reinvest in securities of the United States or in federally guaranteed securities, any moneys contained in the capital fund created by the Secretary of Education. <p>Authorizes the Secretary to appoint advisory committees for consultation purposes, and to enter into contracts for research into any aspect of the problems related to the programs of the Department. <p>Makes specified amendments in various laws to carry out the purposes of this Act. <p>Requires the Secretary to make an annual report to the President for submission to the Congress regarding the activities of the Department. <p>States that all orders, regulations, contracts and licenses previously in effect under any provision of law amended under this Act or in the exercise of functions transferred under this Act shall remain in effect until modified or terminated by the Secretary.  States that this Act shall not affect any proceedings pending before any department or agency, but that such proceedings to the extent they relate to functions transferred under this Act shall be continued before the Department. <p>Requires the Secretary to submit to the Congress, within two years from the effective date of this Act, a proposed codification of all laws which contain functions transferred to the Secretary by this Act.",,,,,,
"S. 3190",https://www.congress.gov/bill/94th-congress/senate-bill/3190,"94th Congress (1975-1976)","A bill to amend and extend the Higher Education Act of 1965.","Beall, J. Glenn, Jr. [Sen.-R-MD] (Introduced 03/22/1976)",Republican,03/22/1976,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",03/22/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Accreditation (Education)","Advisory bodies","Armed Forces and National Security","College costs","College students",Colleges,"Department of Health, Education, and Welfare",Education,"Education of Indians","Education of socially handicapped children","Educational accountability","Educational counseling","Educational finance","Federal advisory bodies","Federal aid to education","Federal aid to higher education","Federal aid to vocational education","Federally-assisted loans","Government Operations and Politics","Higher education",Interest,"Intergovernmental fiscal relations","Language and languages","Minority students",Poverty,"Private schools",Scholarships,"Secondary education","State aid to education","Student aid","Student loan funds","Student records",Students,Teachers,"Technical education","Veterans' education","Vocational and technical education","Vocational guidance",1,H.R.11939,,,,CRS,,"02/18/1976 Referred to House Committee on Education and Labor.",,,,"<p>Higher Education Amendments - Extends the authorization for appropriations in the amout of $110,000,000 to carry out the provisions of the Higher Education Act of 1965. Removes specified limitations for grants under such Act to developing institutions on Indian reservations or if such grant will increase higher education for Spanish speaking people. Increases the membership of the Advisory Council on Developing Institutions from nine members to twelve. <p>Includes as a purpose of the student assistance program under such Act the providing of educational opportunity grants to students who would otherwise be unable to obtain the benefits of a postsecondary education. <p>Extends basic educational opportunity grants under such Act through fiscal year 1979.  Provides that the amount of the basic grant shall not exceed 50 percent of the difference between the cost of attendance at an eligible educational institution and the expected family contribution with respect to that student.  Authorizes the Commissioner of Education to prescribe by regulation an average cost of attendance at such institution in lieu of the actual cost if such regulation will assist in the administration of such programs.  Includes social security benefits as a criteria for determining the expected family contribution. <p>Repeals the supplemental education opportunity grants program under such Act.  Authorizes appropriations of $44,000,000 annually through fiscal year 1979 for payments to States for educational grants to students.  Provides that no student shall be excluded from eligibility for State grants solely by the reason of the public or nonprofit private character of the institution of higher education attended. <p>Authorizes appropriations of $60,331,000 annually through fiscal year 1979 for special programs for disadvantaged students under such Act.  States that such programs shall include projects to identify qualified youths and to assist such youths:  (1) in reentering or completing secondary school or the equivalent; (2) in preparing to enter post secondary study; (3) in deciding on a post secondary program and gaining admission to such program; and (4) in obtaining financial assistance to pursue such a program. <p>Repeals provisions under such Act relating to Assistance to Institutions of Higher Education. Extends appropriations for guaranteed student loan programs under such Act through fiscal year 1979. Extends the Federal insurance on such loans to September 30, 1983. <p>Authorizes the Commissioner to increase the loan limitation  to an aggregate sum of $25,000 for students engaged in specialized training which requires exceptionally high costs of education. <p>Authorizes the Secretary to extend repayment of loans exceeding $10,000 for more than ten years. Provides for repayments in variable installments for such loans. <p>Directs the Commissioner to make any necessary determinations (except for good standing) for Federal interest subsidy payment loans to students attending eligible institutions outside the United States.  Directs the State to make such determination for state student loans. <p>Permits the compounding of interest on student loans.  Increases the maximum annual interest rate on such loans from seven percent to eight percent. <p>Allows the Commissioner to enter into guaranty agreements with State loan programs to reimburse such agencies for loss of accrued interest on the loan in case of default. <p>Increases the maximum insurance premiums the Commissioner may charge for insurance on guaranteed student loans from one-fourth of one percent to one percent. <p>Allows the Commissioner to delegate specified functions to the regional offices of the Office of Education including:  (1) reviewing applications for loan insurance and issuing contracts for Federal loan insurance; and (2) receiving and approving claims for payments on student loans in default. <p>Increases the special allowance paid by the Commissioner to holders of loans under the Emergency Insured Student Loan Act of 1969 from three to four percent per annum on any loan made prior to 180 days after enactment of this Act.  Extends the Emergency Insured Student Loan Act until October 1, 1979. <p>Authorizes appropriations of $250,000,000 annually through fiscal year 1979 for work study programs under the Higher Education Act.  Directs that one-third of such appropriations be directed at programs for children of families at the poverty level as determined under this Act. <p>Authorizes the Commissioner to reallot amounts to States provided under such Act if the amount exceeds that which is required for work study programs at institutions of higher education.  Includes as being eligible for grants under such programs, persons who are beyond the age of compulsory school attendance and have the ability to benefit from such programs.  Provides that the Federal share of the compensation for students in work study programs shall not exceed 80 percent for fiscal year 1976, 70 percent for fiscal year 1977, 60 percent for fiscal year 1978, and 50 percent for fiscal year 1979.  Allows the Commissioner to increase such percentage if required to further the purposes of such programs. <p>Authorizes appropriations of $8,000,000 annually through fiscal year 1979 for cooperative education programs under such Act. <p>Requires, under the National Direct Student Loan Program, institutions which were granted funds under such program to maintain the fund established under such program for the purpose of making loans to needy students.  Requires that any proceeds from the sale of student loans made out of such fund be deposited into the student loan fund.  Exempts student loans from specified provisions of such Act.  Increases the interest rates on such loans to eight percent.  Provides that the liability to repay any student loans shall be cancelled upon the death or permanent and total disability of the borrower. <p>Provides that any student loan fund established under such Act may continue in existence under the control of the institution of higher education at which such fund was established. <p>Provides for a capital distribution of such fund if the liquid assets of the fund exceed the amount required for loans or the fund is no longer being used solely for the purposes set forth in such Act. Specfies how such fund shall  be distributed. <p>Requires as a criteria of eligibility for institutions under such Act that such institution:  (1) permit the Commissioner to have access to the financial, attendance, admission and other records maintained by the institution; (2) comply with standards of financial responsibility and institutional capability for administration of such student financial aid programs prescribed by the Commissioner; and (3) comply with regulations concerning the maintenance of specified records. <p>Authorizes the Commissioner to establish regulations regarding eligibility, termination, and participation in programs under such Act.  Directs the Commissioner to publish a list of State agencies which are determined to be reliable authority as to the quality of public post secondary vocational education or training to determine eligibility for such programs. Includes in the definition of ""institution of higher learning"" under such Act institutions which admit students beyond the age of compulsory school attendance who have an ability to benefit from the training offered by such institution. <p>Directs the National Advisory Committee on Institutional Eligibility to advise the Commissioner regarding standards to qualify institutions or programs in such category to participate in programs under such Act. <p>Authorizes the Commissioner to prescribe, by regulation, coordinated procedures to reduce paperwork, and exchange information with agencies, institutions, and other organizations participating in student assistance programs to coordinate the administration of such programs. <p>Includes as a purpose of the education development programs under such Act the providing of in-service training to currently qualified or tenured teachers to meet new and emerging problems in education and providing additional skills to assist administrative personnel in carrying out such programs. <p>Authorizes appropriations of $37,500,000 for fiscal year 1979, for provisions relating to the attracting and qualifying of teachers to work in low income areas under such Act. <p>Repeals provisions of such Act relating to:  (1) fellowships for teachers and related educational personnel; and (2) training programs for educational personnel in higher education, vocational education, and other than higher education institutions. <p>Includes as a purpose of the Teacher Corps program under such Act the training of educational personnel other than teachers and teacher aides in elementary and secondary schools.  Directs the Commissioner to promulgate regulations setting forth criteria for the funding of demonstration projects under such program. <p>States that the fund for higher education academic facilities loans and loan insurance established under such Act shall be available to the Commissioner for the purpose of meeting obligations with respect to loans and loan commitments for the construction of academic facilities made or entered into prior to July 1, 1975. <p>Authorizes the Commissioner to award fellowships under such Act to enable veterans to resume study under college teacher fellowships interrupted by service in the Armed Forces. Repeals provisions regarding graduate school programs under such Act which relate to grants to institutions of higher education, public service fellowships and general assistance to graduate schools. <p>Establishes a National Advisory Committee on Institutional Eligibility in the Office of Education to advise and make recommendations to the Commissioner with respect to all matters pertaining to institutional and program eligibility.  Requires such committee to make an annual report to Congress with a summary of the committee's activities, findings, and recommendations. <p>Repeals the following titles of the Higher Education Act of 1965:  (1) Community Service Program Grants; (2) Library Assistance; (3) Financial Assistance for the Improvement of Undergraduate Instruction; (4) Education for the Public Service; (5) Law School Clincial Experience Programs; and (6) General Provisions. <p>Authorizes appropriations of $8,640,000 annually through fiscal year 1979 for language development programs under the National Defense Education Act of 1958. Repeals the International Education Act of 1966. <p>Authorizes appropriations under the General Education Provision Act of $17,500,000 annually through fiscal year 1979. <p>Makes available to the Secretary of Health, Education, and Welfare, one-half of one percent of the amount appropriated for programs under such Act or $25,000,000 whichever is less for carrying out planning and evaluation activities described under such Act.  States that such amount shall be used for the evaluation of programs under specified Acts relating to education.",,,,,,
"S. 3189",https://www.congress.gov/bill/94th-congress/senate-bill/3189,"94th Congress (1975-1976)","A bill to amend the Domestic Volunteer Service Act of 1973, to authorize appropriations for programs authorized thereby.","Beall, J. Glenn, Jr. [Sen.-R-MD] (Introduced 03/22/1976)",Republican,03/22/1976,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",03/22/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ACTION,"Advisory bodies","Federal advisory bodies","Government Operations and Politics","Volunteer workers","Volunteer workers in social service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Domestic Volunteer Service Act of 1973: (1) to authorize the appropriation of specified amounts for fiscal years 1976 through 1978 for the National Volunteer Antipoverty Programs; (2) to authorize the appropriation of such sums as may be necessary through fiscal year 1977 for the National Volunteer Programs to assist small businesses and promote volunteer service by persons with business experience; and (3) to authorize the appropriation of such sums as may be necessary through fiscal year 1978 for the administration and coordination of volunteer programs under the Act. <p>Authorizes the Director of the ACTION Agency to establish, under such Act, Business Volunteer Programs in which persons with business experience may volunteer to utilize their skills in the solution of human, social, and environmental problems.  Sets forth the scope of the Director's authority in establishing such programs. <p>Eliminates the National Voluntary Service Advisory Council.",,,,,,
"S. 3188",https://www.congress.gov/bill/94th-congress/senate-bill/3188,"94th Congress (1975-1976)","A bill to amend the United States Housing Act of 1937 to extend the authorization for contracts for annual contributions.","Brooke, Edward W. [Sen.-R-MA] (Introduced 03/22/1976)",Republican,03/22/1976,"Senate - Banking, Housing, and Urban Affairs","Referred to Senate Committee on Banking, Housing and Urban Affairs.",03/22/1976,"Abourezk, James [Sen.-D-SD]","Bayh, Birch [Sen.-D-IN]","Clark, Dick [Sen.-D-IA]","Hart, Philip A. [Sen.-D-MI]","Humphrey, Hubert H. [Sen.-D-MN]","Javits, Jacob K. [Sen.-R-NY]","Kennedy, Edward M. [Sen.-D-MA]","Mathias, Charles McC., Jr. [Sen.-R-MD]","Weicker, Lowell P., Jr. [Sen.-R-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Federal aid to housing","Housing and Community Development","Housing subsidies","Public housing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Extends the authorization for contracts for annual contribution under the United States Housing Act of 1937. <p>Authorizes an additional $850,000,000 to be appropriated in public housing contract authority for fiscal year 1977 and an additional $1,350,000,000 in such authority for fiscal year 1978 and beyond. <p>Requires that at least $250,000,000 of the new public housing contract authority will be made available to finance the construction of new public housing units. <p>Authorizes $60,000,000 to be appropriated for modernization of existing public housing units. <p>Authorizes $600,000,000 per year to be appropriated for operating subsidies for conventional public housing.",,,,,,
"S. 3182",https://www.congress.gov/bill/94th-congress/senate-bill/3182,"94th Congress (1975-1976)","A bill to amend the Occupational Safety and Health Act of 1970 to provide consultation and education to employers.","Taft, Robert, Jr. [Sen.-R-OH] (Introduced 03/18/1976)",Republican,03/18/1976,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",03/18/1976,"Abourezk, James [Sen.-D-SD]","Allen, James B. [Sen.-D-AL]","Baker, Howard H., Jr. [Sen.-R-TN]","Beall, J. Glenn, Jr. [Sen.-R-MD]","Bentsen, Lloyd M. [Sen.-D-TX]","Buckley, James L. [Sen.-R-NY]","Bumpers, Dale [Sen.-D-AR]","Burdick, Quentin N. [Sen.-D-ND]","Cannon, Howard W. [Sen.-D-NV]","Chiles, Lawton [Sen.-D-FL]","Curtis, Carl T. [Sen.-R-NE]","Dole, Robert J. [Sen.-R-KS]","Domenici, Pete V. [Sen.-R-NM]","Eastland, James O. [Sen.-D-MS]","Fannin, Paul J. [Sen.-R-AZ]","Garn, E. J. (Jake) [Sen.-R-UT]","Glenn, John H., Jr. [Sen.-D-OH]","Gravel, Mike [Sen.-D-AK]","Griffin, Robert P. [Sen.-R-MI]","Hansen, Clifford P. [Sen.-R-WY]","Hatfield, Mark O. [Sen.-R-OR]","Hruska, Roman L. [Sen.-R-NE]","Johnston, J. Bennett [Sen.-D-LA]","Laxalt, Paul D. [Sen.-R-NV]","Leahy, Patrick J. [Sen.-D-VT]","McClure, James A. [Sen.-R-ID]","McIntyre, Thomas J. [Sen.-D-NH]","Metcalf, Lee [Sen.-D-MT]","Morgan, Robert B. [Sen.-D-NC]","Nelson, Gaylord [Sen.-D-WI]","Nunn, Sam [Sen.-D-GA]","Percy, Charles H. [Sen.-R-IL]","Scott, Hugh [Sen.-R-PA]","Sparkman, John J. [Sen.-D-AL]","Stone, Richard (Dick) [Sen.-D-FL]","Talmadge, Herman E. [Sen.-D-GA]","Thurmond, Strom [Sen.-R-SC]","Young, Milton R. [Sen.-R-ND]",,,,,,,,,,,,,,,,,,38,"Business and commerce","Labor and Employment","Occupational health and safety","Small business",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Authorizes the Secretary of Labor, under the Occupational Safety and Health Act, to make visits to the work place of any employer, upon the request of the employer, to consult with and advise the employer concerning the obligations of the employer under such Act.  Directs the Secretary to give priority to small business and hazardous workplaces. <p>Stipulates that no consultative visit made under this Act may serve as an inspection or investigation as otherwise provided for by the Occupational Safety and Health Act, except: (1) in the case of an employer who fails to eliminate a danger disclosed during such a visit; or (2) if conditions are found during such a visit which indicate the probability that death or serious harm could result to employees therefrom, the Secretary may notify the employer of such conditions and afford him a reasonable time to eliminate such conditions. <p>Prohibits the transmission of information obtained during a consultative visit to representatives of the Secretary engaged in enforcement. <p>Directs the Secretary to establish education programs to inform employers and employees of the hazards in particular industries. <p>Authorizes the appropriation of funds through fiscal year 1978 for the purposes of this Act.",,,,,,
"S. 3179",https://www.congress.gov/bill/94th-congress/senate-bill/3179,"94th Congress (1975-1976)","A bill to amend the National Science Authorization Act, 1976, to provide a set aside for a more equitable distribution of funds under the research and initiation and support program.","Laxalt, Paul D. [Sen.-R-NV] (Introduced 03/18/1976)",Republican,03/18/1976,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",03/18/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Colleges,Education,"Federal aid to higher education","Higher education",Research,"Research grants","Science, Technology, Communications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the National Science Authorization Act of 1976 to reserve 40 percent of the funds appropriated pursuant to such Act for the Research Initiation and Support Program to institutions of higher education which are receiving National Science Foundation assistance below a specified amount and which have received a National Science Foundation competitive award. <p>Sets forth a formula for the distribution of the remainder of the funds appropriated for such program.",,,,,,
"S. 3172",https://www.congress.gov/bill/94th-congress/senate-bill/3172,"94th Congress (1975-1976)","A bill for the relief of Rolando Reyes Perez.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 03/18/1976)",Republican,03/18/1976,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",03/18/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Rolando Reyes Perez.",,,,,,
"S. 3171",https://www.congress.gov/bill/94th-congress/senate-bill/3171,"94th Congress (1975-1976)","A bill to amend section 502 (a) of the Merchant Marine Act, 1936.","Beall, J. Glenn, Jr. [Sen.-R-MD] (Introduced 03/18/1976)",Republican,03/18/1976,"Senate - Commerce","Text as passed Senate inserted in H.R. 11504.",07/01/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Merchant marine",Shipbuilding,"Shipbuilding subsidies",Ships,"Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.11504,,,,CRS,,"07/31/1976 Public law 94-372.",,,,"(Reported to Senate from the Committee on Commerce with amendment, S. Rept. 94-1013) <p> Negotiated Shipbuilding Contracting Act -Extends from June 30, 1976, to June 30, 1979, the authority of the Secretary of Commerce to award subsidies for the construction of vessels with respect to which the price has been established by negotiation between the prospective purchaser and the shipyard.  Provides that the construction differential approved and paid by the Secretary shall not exceed 50 percent of the cost of constructing, reconstructing, or reconditioning the vessel, and that if such differential exceeds such percentage the Secretary may negotiate with any bidder and contract with such bidder for such work on the vessel in a domestic shipyard at a cost which will reduce the construction differential to such percentage or less.",,,,,,
"S. 3167",https://www.congress.gov/bill/94th-congress/senate-bill/3167,"94th Congress (1975-1976)","A bill to expedite the delivery of Alaskan Natural Gas to U.S. markets.","Fannin, Paul J. [Sen.-R-AZ] (Introduced 03/17/1976)",Republican,03/17/1976,"Senate - Interior and Insular Affairs, Commerce","Referred to Senate Committee on Commerce.",03/17/1976,"Jackson, Henry M. [Sen.-D-WA]","Magnuson, Warren G. [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Administrative procedure",Alaska,Energy,"Energy policy","Environmental Protection","Judicial review","Judicial review of administrative acts",Law,"Natural gas","Petroleum and petroleum products","Public Lands and Natural Resources",Right-of-way,"Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.12983,,,,CRS,,"04/01/1976 Referred to House Committee on Public Works and Transportation.",,,,"<p>Alaskan Natural Gas Transportation Act - Expresses the intent of Congress that the selection and construction of a natural gas transportation system to deliver Alaskan natural gas to the contiguous 48 States be expedited through the establishment of new administrative and judicial procedures. <p>Directs the Federal Power Commission to complete review of applications for certificates of public convenience and necessity relating to such natural gas transportation system by January 1, 1977, and transmit its findings to the President. Requires that reports from other agencies which the President shall deem appropriate be submitted by February 1, 1977.  Establishes criteria for information to be considered in such reports. <p>Directs the President to make a final decision as to proposed systems for the transportation of Alaskan natural gas not later than August 1, 1977.  Establishes procedures for Congressional review of such Presidential decision. <p>Establishes procedures for issuance of additional authorizations necessary for completion of the project.  Requires the filing of a final environmental impact statement on the proposed project with the Council on Environmental Quality. Stipulates that interagency review procedures of the National Environmental Policy Act shall not apply to this project. <p>Directs the Secretary of the Interior and other appropriate Federal officials to issue all necessary permits and take other necessary action to enforce all rights-of-way, permits, and leases related to the construction and operation of such natural gas transportation system. <p>Requires compliance with requirements of the Mineral Leasing Act of 1920 relating to rights-of-way for pipelines through Federal lands.  Exempts authorizations issued pursuant to this Act from requirements concerning: (1) compliance with National Environmental Policy Act provisions; (2) technical and financial capacity of applicants; (3) public hearings; and (4) furnishing of specified information and reports. <p>Authorizes the Secretary and the Commission to develop procedural requirements of Federal law where desirable to accomplish the purposes of this Act. <p>Declares that the actions of Federal officers and agencies under this Act shall not be subject to judicial review by the courts.  Allows for claims that: (1) this Act is unconstitutional; (2) actions under this Act will deny Constitutional rights; and (3) actions taken are beyond the scope of authority conferred by this Act, provided that such claims are filed within 60 days following the date of the challenged action. <p>Declares that exclusive jurisdiction shall be vested in the United States District Court for the District of Columbia, with review of any final order limited to direct appeal to the United States Supreme Court.  Declares that the district court shall not have the power to issue injunctive relief against the issuance of any certificate, except in cases where a final judgment is entered.",,,,,,
"S. 3166",https://www.congress.gov/bill/94th-congress/senate-bill/3166,"94th Congress (1975-1976)","A bill to consolidate the administration of certain programs of financial assistance to States for educational purposes.","Beall, J. Glenn, Jr. [Sen.-R-MD] (Introduced 03/17/1976)",Republican,03/17/1976,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",03/17/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Adult education",Disabled,Education,"Education of Indians","Education of handicapped children","Elementary and secondary education","Elementary education","Federal aid to education",Grants-in-aid,"Native Americans","Secondary education","Student aid","Vocational and technical education",,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.12196,,,,CRS,,"03/01/1976 Referred to House Committee on Education and Labor.",,,,"<p>Financial Assistance for Elementary and Secondary Education Act - <b>Title I: General Provisions</b> - Authorizes appropriations for purposes of titles II and III of this Act.  States that an amount not to exceed three percent of such appropriations be used to meet the education needs existing in American territories and for Indian children at schools operated by the Department of Interior. Allots to each State from such appropriations $5,000,000 annually or the amount allotted to that State in the preceding fiscal year under this Act or programs consolidated under this Act whichever is less and 85 percent of the amount in excess of $5,000,000 allotted to that State under such programs.  Directs that the remaining appropriations be allocated to each State based on a ratio of the number of children from low-income areas in such State. <p>Requires that any State desiring grants under this Act:  (1) designate the agency which will administer such assistance; (2) develop a plan meeting specified requirements for the use of such funds; (3) certify to the Commissioner of Education that it has such a plan; (4) certify annually that it has complied with such plan; (5) develop procedures for the periodic determination of the State's compliance with its plan; (6) submit such procedures to the Commissioner for approval; and (7) provide for an annual audit of expenditures from such grants and report the results of such audit to the Commissioner. <p>Requires that any State procedures for developing such plan provide for public notification and a means for obtaining the views of specified parties regarding such plan. <p>Declares that a State comprehensive plan shall:  (1) set forth the objectives to be achieved under the plan; (2) provide for the allocation of funds in accordance with the requirements of this Act; and (3) set forth procedures to insure that distribution to local educational agencies take into account the number and concentration of children from low-income families and educationally deprived and handicapped children.  Requires that at least 75 percent of the funds provided under this Act be distributed to local educational agencies to meet the special educational needs of educationally deprived and handicapped children.  Directs that not more than five percent of the amount made available under this Act, or the percentage available under programs consolidated under this Act for administrative costs, whichever is greater, be used for the administration of the State plan. <p>Authorizes the State agency designated to carry out the purposes of this Act to delegate administrative functions to other agencies, transfer funds to such agency, and enter into contracts to carry out activities authorized under this Act. <p>Prohibits the payment of funds to any State which has failed to certify its plan and compliance with such plan to the Commissioner.  Authorizes the Commissioner to suspend or reduce payments to States which failed substantially to comply with the provisions of such plan or specified provisions of this Act.  Allows such State to file a petition of review with the United States court of appeals for the circuit in which the State is located.  States that any findings of the Commissioner, if supported by substantial evidence, shall be conclusive in such action. <p>Requires that any audit of funds provided under this Act be limited to such funds. <p>Subjects funds available under this Act to title VI of the Civil Rights Act of 1964, title IX of the Education Amendments of 1972 and provisions forbidding the discrimination against qualified handicapped individuals under the Rehabilitation Act of 1973. <p>Directs State educational agencies to insure that children enrolled in private nonprofit elementary and secondary schools and children in Indian tribal elementary or secondary schools are given an opportunity to participate in activities assisted under this Act. Authorizes the Commissioner to arrange for such children to receive similar services to those provided under this Act if the State is prohibited by law from providing for such participation or has failed to do so. <p>Defines terms for purposes of this Act.  Repeals specified Acts and provisions of Federal Acts. <p><b>Title II:  Elementary and Secondary Handicapped and Adult Education Programs</b> - Directs that State comprehensive plans under this Act include programs for educationally deprived and handicapped children in the State and adult education.  Specifies allowable further uses of such funds.  Sets forth the allocation of funds available under this Act to local educational agencies to meet the special educational needs of educationally deprived and handicapped children. <p><b>Title III:  Vocational Education</b> - States that a specified portion of funds available under this Act be used for vocational education purposes.  Sets forth requirements for a State's vocational education programs.  Specifies programs and activities for which available funds may be used. <p><b>Title IV:  National Impact Projects</b> - Declares it the purpose of this title to provide support for special activities, and for innovation and development in vocational education and the education of the handicapped through projects which can be more effectively carried out on a national or regional basis.  Authorizes the Commissioner to carry out specified activities relating to such purpose. Authorizes appropriations of $69,000,000 annually through fiscal year 1980 to carry out the purposes of this title.",,,,,,
