"Downloaded on",03/04/2025,"18:44:01 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22112%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3288",https://www.congress.gov/bill/112th-congress/senate-bill/3288,"112th Congress (2011-2012)","A bill to provide for the conveyance of certain cemeteries that are located on National Forest System land in Black Hills National Forest, South Dakota.","Thune, John [Sen.-R-SD] (Introduced 06/13/2012)",Republican,06/13/2012,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",06/13/2012,"Johnson, Tim [Sen.-D-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Cemeteries and funerals","Forests, forestry, trees","Land transfers","Public Lands and Natural Resources","South Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"05/16/2012 Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p /> <p>Black Hills Cemetery Act - Directs the Secretary of Agriculture (USDA) to convey, to the local communities in South Dakota that are currently managing specified community cemeteries, all interest of the United States in: (1) the parcels of National Forest System land that contain the cemeteries, and (2) up to an additional two acres adjoining each cemetery to ensure that such conveyances include unmarked gravesites and allow for the expansion of those cemeteries. </p>",,,,,,
"S. 3287",https://www.congress.gov/bill/112th-congress/senate-bill/3287,"112th Congress (2011-2012)","A bill to protect individual privacy against unwarranted governmental intrusion through the use of the unmanned aerial vehicles commonly called drones, and for other purposes.","Paul, Rand [Sen.-R-KY] (Introduced 06/12/2012)",Republican,06/12/2012,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",06/12/2012,"DeMint, Jim [Sen.-R-SC]","Coburn, Tom [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Aviation and airports","Civil actions and liability","Crime and Law Enforcement","Criminal investigation, prosecution, interrogation","Criminal procedure and sentencing","Evidence and witnesses","Intelligence activities, surveillance, classified information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"06/18/2012 Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Preserving Freedom from Unwarranted Surveillance Act of 2012 - Prohibits a person or entity acting under the authority of (or funded in whole or in part by) the federal government from using a drone to gather evidence or other information pertaining to criminal conduct or conduct in violation of a statute or regulation except to the extent authorized in a warrant satisfying the requirements of the Fourth Amendment to the Constitution.</p> <p>Defines a &quot;drone&quot; as any powered, aerial vehicle that: (1) does not carry a human operator; (2) uses aerodynamic forces to provide vehicle lift; and (3) can fly autonomously or be piloted remotely, be expendable or recoverable, and carry a lethal or nonlethal payload.</p> <p>Exempts from such prohibition the use of drones to: (1) patrol national borders to prevent or deter illegal entry of any persons or illegal substances, (2) prevent imminent danger to life when drones are used by law enforcement under exigent circumstances, or (3) counter a high risk of a terrorist attack by a specific individual or organization based on credible intelligence determined by the Secretary of Homeland Security (DHS).</p> <p>Authorizes civil actions by aggrieved parties. </p> <p>Prohibits evidence obtained or collected in violation of this Act from being admissible in a criminal prosecution in any court in the United States.</p>",,,,,,
"S. 3284",https://www.congress.gov/bill/112th-congress/senate-bill/3284,"112th Congress (2011-2012)","A bill to amend the Outer Continental Shelf Lands Act to provide for the inclusion of areas off the coast of South Carolina in the outer Continental Shelf leasing program for fiscal years 2012 through 2017, and for other purposes.","Graham, Lindsey [Sen.-R-SC] (Introduced 06/11/2012)",Republican,06/11/2012,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",06/11/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Budget deficits and national debt",Energy,"Energy revenues and royalties","Marine and coastal resources, fisheries","Oil and gas","South Carolina","State and local finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>South Carolina Offshore Drilling Act - Amends the Outer Continental Shelf Lands Act (OCSLA) to direct the Secretary of the Interior to include in a specified schedule of proposed lease sales under the outer Continental Shelf (OCS) leasing program for FY2012-FY2017 any areas located within the administrative boundaries of South Carolina that lie more than 50 miles off its coast. </p> <p>Authorizes the governor of South Carolina to petition the Secretary to make available for leasing any portion of the area within the state's administrative boundaries that is between 10 and 50 miles off the coast.</p> <p>Instructs the Secretary to: (1) approve such a petition within 90 days after receipt, and (2) initiate a new five-year OCS oil and gas leasing program to replace the OCS oil and gas leasing program in effect on the approval date. </p> <p>Authorizes such governor to petition the Secretary to prohibit the leasing of areas within the administrative boundaries of the state that are between 50 and 100 miles off the coast.</p> <p>Allocates to a coastal state 37.5% of: (1) any bonus bid paid for leasing rights in an OCS area if the Secretary has approved the state's request to allow leasing in that area; (2) lease rental payments, lease royalty payments, and royalty proceeds from a sale of royalties taken in kind by the Secretary; and (3) any other revenues from a specified bidding system. </p> <p>Instructs the Secretary to: (1) pay 20% of the allocable share of each coastal state directly to certain of its coastal political subdivisions, (2) distribute a certain conservation royalty into the Land and Water Conservation Fund, and (3) distribute 50% of federal royalty revenues from areas leased under this Act into direct federal deficit reduction.</p>",,,,,,
"S. 3283",https://www.congress.gov/bill/112th-congress/senate-bill/3283,"112th Congress (2011-2012)","A bill to amend the Fair Housing Act to protect servicemembers and veterans from housing discrimination, and for other purposes.","Brown, Scott P. [Sen.-R-MA] (Introduced 06/11/2012)",Republican,06/11/2012,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",06/11/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Housing and Community Development","Housing discrimination","Military personnel and dependents","National Guard and reserves","Real estate business","Veterans' loans, housing, homeless programs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Ending Housing Discrimination Against Servicemembers and Veterans Act of 2012 - Amends the Fair Housing Act to prohibit housing discrimination against servicemembers or veterans with respect to: (1) the sale or rental of housing, (2) residential real estate-related transactions, and (3) the provision of brokerage services.</p> <p>Prohibits religious organizations engaging in housing transactions from giving preferences to persons of the same religion in cases where membership in such religion is restricted to persons who are not members of the uniformed services.</p> <p>Amends the Civil Rights Act of 1968 to impose a fine, imprisonment, or both on persons who violate prohibitions on housing discrimination under such Act against members of the uniformed services. </p>",,,,,,
"S. 3281",https://www.congress.gov/bill/112th-congress/senate-bill/3281,"112th Congress (2011-2012)","A bill to terminate the Federal authorization of the National Veterans Business Development Corporation.","Snowe, Olympia J. [Sen.-R-ME] (Introduced 06/07/2012)",Republican,06/07/2012,"Senate - Small Business and Entrepreneurship","Read twice and referred to the Committee on Small Business and Entrepreneurship. (text of measure as introduced: CR S3842-3843)",06/07/2012,"Kerry, John F. [Sen.-D-MA]","Coburn, Tom [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Commerce,"Federally chartered organizations","Small business","Veterans' education, employment, rehabilitation","Veterans' organizations and recognition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,S.3442,S.3572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"11/29/2012 Committee on Small Business and Entrepreneurship. Hearings held.","09/19/2012 Read twice and referred to the Committee on Finance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Repeals the federal charter for (thereby terminating) the National Veterans Business Development Corporation.</p>",,,,,,
"S. 3280",https://www.congress.gov/bill/112th-congress/senate-bill/3280,"112th Congress (2011-2012)","A bill to preserve the companionship services exemption for minimum wage and overtime pay under the Fair Labor Standards Act of 1938.","Johanns, Mike [Sen.-R-NE] (Introduced 06/07/2012)",Republican,06/07/2012,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",06/07/2012,"Snowe, Olympia J. [Sen.-R-ME]","Enzi, Michael B. [Sen.-R-WY]","Cornyn, John [Sen.-R-TX]","Alexander, Lamar [Sen.-R-TN]","Chambliss, Saxby [Sen.-R-GA]","Burr, Richard [Sen.-R-NC]","Coburn, Tom [Sen.-R-OK]","Isakson, Johnny [Sen.-R-GA]","Corker, Bob [Sen.-R-TN]","Boozman, John [Sen.-R-AR]","Portman, Rob [Sen.-R-OH]","Rubio, Marco [Sen.-R-FL]","Vitter, David [Sen.-R-LA]","Risch, James E. [Sen.-R-ID]","Hatch, Orrin G. [Sen.-R-UT]","Grassley, Chuck [Sen.-R-IA]","Paul, Rand [Sen.-R-KY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,"Adult day care",Aging,"Disability and paralysis","Labor and Employment","Labor standards","Wages and earnings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.3066,H.R.5969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"09/23/2011 Referred to the House Committee on Education and the Workforce.","09/26/2012 Referred to the Subcommittee on Workforce Protections.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Companionship Exemption Protection Act - Amends the Fair Labor Standards Act of 1938, with respect to the exemption from minimum wage and maximum hour requirements of domestic service employment to provide companionship services for individuals who because of age or infirmity are unable to care for themselves, to provide detailed definitions of &quot;companionship services&quot; and &quot;domestic service employment.&quot; Excludes from companionship services those relating to the care and protection of the aged or infirm which require and are performed by trained medical personnel.</p> <p>Extends the exemption to third-party employment of an employee to provide companionship services to such individuals, including non-medical in-home care or household work related to their care. Defines &quot;third-party employment&quot; to mean employees who provide companionship services while employed by an employer or agency other than the family or household using their services, whether or not such an employee is assigned to more than one household or family in the same workweek when providing such services.</p>",,,,,,
"S. 3279",https://www.congress.gov/bill/112th-congress/senate-bill/3279,"112th Congress (2011-2012)","A bill to provide for alternative financing arrangements for the provision of certain services and the construction and maintenance of infrastructure at land border ports of entry, and for other purposes.","Cornyn, John [Sen.-R-TX] (Introduced 06/07/2012)",Republican,06/07/2012,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",06/07/2012,"Hutchison, Kay Bailey [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Border security and unlawful immigration","Customs enforcement","Government buildings, facilities, and property","Government Operations and Politics","User charges and fees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.5968,H.R.5964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,House,"06/26/2012 Referred to the Subcommittee on Trade.","06/28/2012 Referred to the Subcommittee on Immigration Policy and Enforcement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Cross-Border Trade Enhancement Act of 2012 - Authorizes the Secretary of Homeland Security (DHS) to enter into agreements with persons for the U.S. Customs and Border Protection (CBP) to provide customs and immigration services at a land border port of entry, subject to payment of a fee to reimburse the CBP for providing such services.</p> <p>Directs the Administrator of General Services to establish procedures for evaluating proposals submitted by persons to: (1) enter into cost-sharing or reimbursement agreements with the General Services Administration (GSA) for the construction or maintenance of infrastructure at a land border port of entry, and (2) provide GSA an unconditional gift of property for use in the construction or maintenance of such infrastructure.</p> <p>Prescribes minimum requirements for such procedures.</p>",,,,,,
"S. 3273",https://www.congress.gov/bill/112th-congress/senate-bill/3273,"112th Congress (2011-2012)","A bill to establish a youth summer employment program, and for other purposes.","Brown, Scott P. [Sen.-R-MA] (Introduced 06/07/2012)",Republican,06/07/2012,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",06/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Appropriations,"Employment and training programs","Government trust funds","Labor and Employment","Youth employment and child labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.3425,S.1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"03/29/2012 Referred to the Subcommittee on Higher Education and Workforce Training.","11/15/2011 Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Youth Summer Jobs Act of 2012 - Establishes in the Treasury the Youth Summer Employment Success Fund, consisting of $2 billion of discretionary federal funds permanently rescinded in this Act.</p> <p>Rescinds permanently $15 billion in unobligated discretionary federal funds for each of FY2012 and FY2013.</p> <p>Requires the Secretary of Labor to make certain Fund allocations to states with approved modification plans, qualifying outlying areas (U.S. Virgin Islands, Guam, American Samoa, the Commonwealth of the Northern Mariana Islands, and the Republic of Palau), and Native American, Alaska Native, and Native Hawaiian program grantees to provide summer employment opportunities youth aged 16-24.</p> <p>Subjects activities funded under this Act to federal labor standards and nondiscrimination requirements.</p>",,,,,,
"S. 3272",https://www.congress.gov/bill/112th-congress/senate-bill/3272,"112th Congress (2011-2012)","A bill to improve access to oral health care for vulnerable and underserved populations.","Sanders, Bernard [Sen.-I-VT] (Introduced 06/07/2012)",Independent,06/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",06/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Aging,"Child health","Congressional oversight","Correctional facilities and imprisonment","Dental care","Disability and paralysis","Education programs funding","Elementary and secondary education","Emergency medical services and trauma care","Financial services and investments",Health,"Health care coverage and access","Health facilities and institutions","Health personnel","Health programs administration and funding","Health promotion and preventive care","Indian social and development programs",Medicaid,"Medical education","Medical research",Medicare,"Military medicine","Minority health","Research administration and funding","Rural conditions and development","Sales and excise taxes",Securities,"Student aid and college costs","Veterans' medical care","Women's health",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.3313,S.1787,H.R.5909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"11/02/2011 Referred to the House Committee on Ways and Means.","11/02/2011 Read twice and referred to the Committee on Finance.","07/10/2012 Referred to the Subcommittee on Military Personnel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Comprehensive Dental Reform Act of 2012 - <strong>Title I: Medicare and Medicaid</strong> - Amends titles XVIII (Medicare) and XIX (Medicaid) of the Social Security Act to cover dental services. </p> <p>Increases the federal medical assistance percentage (FMAP) for funding under Medicaid for dental services.</p> <p>Directs the Secretary of Health and Human Services (HHS) to award grants to states and eligibility entities to develop certain case management programs that: (1) identify eligible individuals in need of dental services, with a particular focus on pregnant women, individuals with disabilities, and older adults, and provide them with information regarding dental providers in proximity to their residence; (2) recruit licensed dental providers and coordinate their voluntary provision of medically recommended dental services at no charge; (3) provide community-level oral health education; and (4) identify and coordinate transportation necessary to overcome mobility impairments and transportation barriers.</p> <p><b>Title II: Public Health Programs</b> - Amends the Public Health Service Act to establish, revise, and extend funding for grant programs for: (1) educating nondental medical and other professionals about oral health care; (2) providing dental services in hospital emergency rooms or in community settings; (3) providing scholarships and education loans for dental therapists and oral health professional students; (4) providing comprehensive oral health services to low-income individuals and individuals in underserved areas; (5) building, operating, or expanding dental clinics in schools; (6) funding research by the Centers for Disease Control and Prevention (CDC) to prevent and manage oral health diseases; and (7) providing rural health clinics with mobile and portable, comprehensive dental services and outreach for senior-care facilities and facilities that provide federal health care and nutrition benefits for women and children.</p> <p><strong>Title III: Department of Veterans Affairs and Department of Defense Matters</strong> - Removes restrictions on the authority of the Secretary of Veterans Affairs (VA) to provide dental care to veterans (thereby requiring such care on the same basis as other VA-provided medical care and services). Authorizes such Secretary to carry out a demonstration program to train and employ alternative dental health care providers (providers) in order to increase access to dental health care services (dental services) for veterans in rural and other underserved communities.</p> <p>Authorizes the Secretary of Defense (DOD) to carry out a similar demonstration program to train and employ such providers in order to increase access to dental services for members of the Armed Forces and their dependents who lack ready access to such services.</p> <p><b>Title IV: Federal Bureau of Prisons </b>- Authorizes the Director of the Bureau of Prisons to carry out a demonstration program to establish programs to train and employ alternative dental health care providers to increase access to dental health services for prisoners within the custody of the Bureau of Prisons.</p> <p>Allows dental services provided under the demonstration program to be administered by alternative dental health care providers and any other dental care providers who are licensed to provided clinical care, through telehealth-enabled collaboration and supervision.</p> <p><b>Title V: Indian Health Service </b> - Authorizes the Secretary of HHS, through the Indian Health Service, to carry out a demonstration program to establish programs to train and employ alternative dental health care providers to help eliminate oral health disparities and increase access to dental services through health programs operated by the Indian Health Service, Indian tribes, tribal organizations, and Urban Indian organizations.</p> <p>Allows dental services provided under the demonstration program to be administered by alternative dental health care providers and any other dental care providers who are licensed to provided clinical care, through telehealth-enabled collaboration and supervision.</p> <p><b>Title VI: Reports to Congress </b> - Directs the Secretary of HHS, by October 1, 2016, to submit a report that provides a comprehensive cost-benefit analysis regarding the expansion of coverage for dental services pursuant to this Act, including whether the provision of such services resulted in a reduction in total health care costs for individuals under the Medicare and Medicaid programs.</p> <p>Directs the Comptroller General (GAO): (1) by October 1, 2015, to submit a report that provides a comprehensive analysis and evaluation of the implementation and utilization of the expanded coverage for dental services under this Act for individuals enrolled in Medicare and Medicaid, and (2) by October 1, 2016, to submit a report that provides a comprehensive analysis and evaluation of the demonstration programs authorized by this Act for the training and employment of alternative dental health care providers.</p> <p><b>Title VII: Funding </b>- Amends the Internal Revenue Code to impose an 0.025% excise tax on the purchase of a security: (1) if such purchase occurs on a trading facility located in the United States, or (2) the purchaser or seller is a U.S. person. </p> <p>Defines ""security"" to include: (1) stocks, partnership interests, notes, bonds, debentures, or other evidences of indebtedness; and (2) interests in a derivative financial instrument (i.e., any option, forward contract, futures contract, notional principal contract, or any similar financial instrument). </p> <p>Exempts from such tax: (1) initial issues of securities; (2) any note, bond, debenture, or other evidence of indebtedness which has a fixed maturity of not more than 100 days; and (3) securities traded pursuant to certain lending arrangements.</p>",,,,,,
"S. 3269",https://www.congress.gov/bill/112th-congress/senate-bill/3269,"112th Congress (2011-2012)","A bill to provide that no United States assistance may be provided to Pakistan until Dr. Shakil Afridi is freed.","Paul, Rand [Sen.-R-KY] (Introduced 06/06/2012)",Republican,06/06/2012,,"Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 423.",06/07/2012,"Hutchison, Kay Bailey [Sen.-R-TX]","Coburn, Tom [Sen.-R-OK]","DeMint, Jim [Sen.-R-SC]","Risch, James E. [Sen.-R-ID]","Lee, Mike [Sen.-R-UT]","Johanns, Mike [Sen.-R-NE]","Tester, Jon [Sen.-D-MT]","Grassley, Chuck [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Asia,"Congressional oversight","Criminal investigation, prosecution, interrogation","Detention of persons","Foreign aid and international relief","Health personnel","Human rights","International Affairs",Pakistan,"Refugees, asylum, displaced persons",Sanctions,Terrorism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.3260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"06/04/2012 Read twice and referred to the Committee on Foreign Relations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Prohibits any direct U.S. assistance to the government of Pakistan unless the President certifies to Congress that: (1) Dr. Shakil Afridi has been released from prison in Pakistan and any criminal charges brought against Dr. Afridi, including treason, have been dropped; and (2) if necessary to ensure his freedom, Dr. Afridi has been allowed to leave Pakistan.",,,,,,
