"Downloaded on",03/05/2025,"13:27:26 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2298%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2890",https://www.congress.gov/bill/98th-congress/senate-bill/2890,"98th Congress (1983-1984)","A bill to require that Presidential primaries or caucuses be held only during the period beginning on the second Tuesday in March and ending on the second Tuesday in June of the year of the Presidential election.","DeConcini, Dennis [Sen.-D-AZ] (Introduced 07/31/1984)",Democratic,07/31/1984,"Senate - Rules and Administration","Read twice and referred to the Committee on Rules.",07/31/1984,"Hawkins, Paula [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Government Operations and Politics","Presidential elections","Presidential primaries","Presidents and Vice Presidents",Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6054,,,,,,,,,CRS,Senate,"09/19/1984 Hearings Held by Task Force on Elections.",,"<p>Provides that presidential primaries shall be held only during specified months in the year of the presidential election. <p>Directs the Attorney General of the United States to seek compliance with this Act in Federal district court.",,,,,,
"S. 2888",https://www.congress.gov/bill/98th-congress/senate-bill/2888,"98th Congress (1983-1984)","A bill for the relief of Ernst B. Coumou.","Johnston, J. Bennett [Sen.-D-LA] (Introduced 07/31/1984)",Democratic,07/31/1984,"Senate - Judiciary","Referred to Subcommittee on Immigration and Refugee Policy.",08/03/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Declares a named individual to have satisfied certain requirements of the Immigration and Nationality Act relating to eligibility for naturalization.",,,,,,
"S. 2887",https://www.congress.gov/bill/98th-congress/senate-bill/2887,"98th Congress (1983-1984)","A bill for the relief of Mr. Clarito Maximo Felipe.","Inouye, Daniel K. [Sen.-D-HI] (Introduced 07/31/1984)",Democratic,07/31/1984,"Senate - Judiciary","Referred to Subcommittee on Immigration and Refugee Policy.",08/02/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 2885",https://www.congress.gov/bill/98th-congress/senate-bill/2885,"98th Congress (1983-1984)","A bill to authorize and direct the Secretary of the Army, acting through the Chief of Engineers, to establish and conduct for a period of five fiscal years a streambank erosion prevention and control demonstration program in Nebraska.","Exon, J. James [Sen.-D-NE] (Introduced 07/31/1984)",Democratic,07/31/1984,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",07/31/1984,"Zorinsky, Edward [Sen.-D-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Advisory bodies","Agriculture and Rural Affairs","Conservation of natural resources","Environmental assessment","Environmental Protection","Federal advisory bodies","Flood control",Nebraska,"Soil conservation","Water and Water Resources Development","Water Resources Development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Nebraska Streambank Erosion Prevention and Control Demonstration Act of 1984 - Authorizes and directs the Secretary of the Army, acting through the Chief of Engineers, to establish and conduct for a period of five fiscal years a streambank erosion prevention and control demonstration program at multiple sites in Nebraska. <p>Directs the Secretary, for each demonstration project under this section, to evaluate the environmental impacts of such project, with the view of minimizing environmental losses.  Specifies various sites within the State of Nebraska at which such demonstration projects shall be conducted. <p>Directs the Secretary to establish a Nebraska Streambank Erosion Advisory Group. <p>Provides that all projects shall be carried out at full Federal expense. <p>Directs non-Federal interests to agree to provide without costs all necessary lands, easements, and rights-of-way necessary for conducting such projects, to hold the United States free from liability for work done under such project, and to operate and maintain such projects upon completion. <p>Authorizes appropriations for fiscal years beginning after September 30, 1984. Directs the Secretary to report annually to Congress concerning such programs.",,,,,,
"S. 2880",https://www.congress.gov/bill/98th-congress/senate-bill/2880,"98th Congress (1983-1984)","A bill to extend the existing suspension of duty on natural graphite until January 1, 1985.","Sasser, Jim [Sen.-D-TN] (Introduced 07/30/1984)",Democratic,07/30/1984,"Senate - Finance","Committee on Finance requested executive comment from OMB, International Trade Commission, Office of the U.S. Trade Representative, Treasury Department, State Department, Commerce Department.",08/01/1984,"Bradley, Bill [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and Investments","Foreign Trade and International Finance",Imports,"Mines and mineral resources",Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3709,,,,,,,,,CRS,Senate,"06/27/1984 Forwarded by Subcommittee to Full Committee.",,"<p>Amends the Tariff Schedules of the United States to extend through December 31, 1987, the existing suspension of duty on natural graphite.",,,,,,
"S. 2879",https://www.congress.gov/bill/98th-congress/senate-bill/2879,"98th Congress (1983-1984)","A bill to provide for cooperation between the Secretary of the Interior and Indian tribes with respect to the regulation of coal mining operations on Indian reservation lands and the acquisition and reclamation of abandoned mines on such land, and for other purposes.","Melcher, John [Sen.-D-MT] (Introduced 07/27/1984)",Democratic,07/27/1984,"Senate - Indian Affairs (Permanent Select)","Committee on Intelligence. Hearings held. Hearings printed: S.Hrg. 98-1158.",08/10/1984,"DeConcini, Dennis [Sen.-D-AZ]","Goldwater, Barry [Sen.-R-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Coal,"Conservation of natural resources","Department of the Treasury",Energy,"Environmental Protection","Federal-Indian relations","Government trust funds","Indian lands","Mines and mineral resources","Native Americans","Reclamation of land","Strip mining",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Indian Coal Mining Regulatory Act of 1984 - Makes Indian lands within the exterior boundaries of any Federal Indian reservation subject to this Act. <p>Creates within the Treasury the Tribal Abandoned Mine Reclamation Fund (The Tribal Fund), comprised of funds generated by surface coal mining activities within exterior boundaries of Indian reservations under the Surface Mining Control and Reclamation Act of 1977. <p>Authorizes the Secretary of the Interior to expend specified funds in any State or to any Indian tribe for surface mining reclamation purposes. <p>Directs the Secretary to invest on a quarterly basis all receipts accruing to the Tribal Fund in public debt securities. Requires a specified percentage of the Tribal Funds annual deposits to be allocated by the Secretary to: (1) tribes with ownership interests in the coal; and (2) Indian lands adversely affected by past mining practices.  Requires specified funds to be allocated to Indian tribes from whose lands such funds were derived. <p>Enumerates the purposes for which appropriations from the Tribal Fund may be expended by Indian tribes. <p>Authorizes Indian tribes to submit tribal regulatory programs concerning surface coal mining operations within exterior reservation boundaries. Authorizes such tribes to adopt a partial, phased regulatory program to be implemented over a period of time. <p>Directs the Secretary to: (1) approve or disapprove a tribal regulatory program within a certain time period; and (2) implement a Federal Indian lands program for certain aspects of Federal surface coal mining and reclamation law which have not been assumed by an Indian tribe under an approved tribal regulatory program.  Authorizes any Indian tribe to contract: (1) with the Secretary for tribal participation in a Federal program; or (2) with the States for tribal participation in State regulatory programs where a mining operation extends beyond the exterior boundary of an Indian reservation.  Declares the Federal Government to be the exclusive authority for the regulation of surface coal mining and reclamation operations on an Indian reservation if no tribal regulatory program exists. <p>Makes certain Federal law regarding surface owner protection applicable to all coal owned or held in trust for Indians by the United States if the coal is to be mined by methods other than underground mining techniques. <p>Confers original jurisdiction upon tribal courts and authorities to impose civil penalties for violations regarding surface coal mining reclamation operations on Indian lands.  Makes final tribal court judgments appealable to a Federal district court.  Precludes any criminal jurisdiction by tribal courts over non-Indians.  Authorizes civil actions by private citizens to compel compliance with this Act. <p>Authorizes the Secretary to make grants to Indian tribes for tribal regulatory programs. <p>Sets conflict-of-interests guidelines regarding appointments to a tribal regulatory authority. <p>Prohibits any consideration of a mining permit application until the appropriate tribe has evaluated an archaeological, historical and cultural resources investigation of the proposed mining area. <p>Requires the Secretary to submit an annual report to the President and the Congress regarding implementation of this Act.  Authorizes appropriations.",,,,,,
"S. 2877",https://www.congress.gov/bill/98th-congress/senate-bill/2877,"98th Congress (1983-1984)","A bill relating to the tariff treatment of certain canned mushrooms.","Bradley, Bill [Sen.-D-NJ] (Introduced 07/26/1984)",Democratic,07/26/1984,"Senate - Finance","Committee on Finance requested executive comment from OMB, International Trade Commission, Office of the U.S. Trade Representative, Treasury Department, State Department, Commerce Department, Agriculture Department.",07/31/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agriculture and Rural Affairs","Agriculture in foreign trade","Foreign Trade and Investments","Foreign Trade and International Finance",Imports,Tariff,"Vegetables and vegetable trade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Provides for the reliquidation of the entry into the United States or withdrawal from the warehouse of certain imported canned mushrooms subjected to a higher tariff because of an import relief action. States that such entry or withdrawal shall be reliquidated as though it had occured before the imposition of the higher tariff.",,,,,,
"S. 2875",https://www.congress.gov/bill/98th-congress/senate-bill/2875,"98th Congress (1983-1984)","A bill to establish qualifications for individuals appointed to the National Advisory Committee on Oceans and Atmosphere to authorize appropriations for fiscal year 1985, and for other purposes.","Hollings, Ernest F. [Sen.-D-SC] (Introduced 07/26/1984)",Democratic,07/26/1984,"Senate - Commerce, Science, and Transportation","Committee on Commerce. Failed to approve for reporting.",08/08/1984,"Riegle, Donald W., Jr. [Sen.-D-MI]","Sarbanes, Paul S. [Sen.-D-MD]","Tsongas, Paul E. [Sen.-D-MA]","Bingaman, Jeff [Sen.-D-NM]","Bradley, Bill [Sen.-D-NJ]","Ford, Wendell H. [Sen.-D-KY]","Kennedy, Edward M. [Sen.-D-MA]","Lautenberg, Frank R. [Sen.-D-NJ]","Levin, Carl [Sen.-D-MI]","Metzenbaum, Howard M. [Sen.-D-OH]","Mitchell, George J. [Sen.-D-ME]","Sasser, Jim [Sen.-D-TN]","Weicker, Lowell P., Jr. [Sen.-R-CT]","Randolph, Jennings [Sen.-D-WV]","Eagleton, Thomas F. [Sen.-D-MO]","Humphrey, Gordon J. [Sen.-R-NH]","Pell, Claiborne [Sen.-D-RI]","Matsunaga, Spark M. [Sen.-D-HI]","Cranston, Alan [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,"Advisory bodies",Atmosphere,"Environmental Protection","Executive reorganization","Federal advisory bodies","Government Operations and Politics",Ocean,"Ocean policy","Water and Water Resources Development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>National Advisory Committee on Oceans and Atmosphere Act of 1984 - Establishes the National Advisory Committee on Oceans and Atmosphere (the Committee).  Requires the 13 members of the Committee (the currently established committee has 18 members) to: (1) not be full-time U.S. employees; (2) be appointed by the President, by and with the advice and consent of the Senate; and (3) relfect diverse backgrounds relating to oceanic and atmospheric policy. <p>Requires the Committee to:  (1) continually review ocean policy, coastal zone management, and the U.S. marine and atmospheric science and service programs; and (2) advise the Secretary of Commerce (the Secretary) with respect to National Oceanic and Atmospheric Administration programs; (3) submit an annual report to the Secretary, President, and Congress. <p>Sets forth provisions relating to:  (1) the membership and Chairmanship of the Committee; (2) the terms, compensation and travel expenses of the committee members; and (3) interagency cooperation and assistance. <p>Repeals Federal law establishing qualifications for individuals appointed to the current National Advisory Committee on Oceans and Atmosphere and authorizing appropriations for such committee. Transfers the personnel and functions of such committee to the Committee established under this Act. <p>Authorizes appropriations for FY 1985.",,,,,,
"S. 2873",https://www.congress.gov/bill/98th-congress/senate-bill/2873,"98th Congress (1983-1984)","A bill to provide that there will be a cost-of-living increase in social security and SSI benefits for 1985 without regard to whether the three percent threshold is met.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 07/26/1984)",Democratic,07/26/1984,"Senate - Finance","Committee on Finance requested executive comment from OMB, Treasury Department, Health and Human Services Department.",07/30/1984,"Bradley, Bill [Sen.-D-NJ]","Hart, Gary W. [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Cost of living adjustments","Economics and Public Finance",Inflation,"Old age, survivors and disability insurance","Social Welfare","Supplemental security income program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1428,,,,,,,,,CRS,,"07/31/1984 Motion by Senator Stevens to reconsider  the vote by which SP3423 and H.R.1428 were agreed to, previously entered, withdrawn in Senate.",,"<p>Provides that there will be a cost- of-living increase in benefits under Titles II (Old Age, Survivors and Disability Insurance) and XVI (Supplemental Security Income) of the Social Security Act for 1985 without regard to whether the three percent threshold is met.",,,,,,
"S. 2869",https://www.congress.gov/bill/98th-congress/senate-bill/2869,"98th Congress (1983-1984)","A bill to amend the Internal Revenue Code of 1954 to provide an income tax credit for expenses incurred by an individual taxpayer for the purchase of television subtitle equipment to be used by a hearing-impaired individual.","Leahy, Patrick J. [Sen.-D-VT] (Introduced 07/26/1984)",Democratic,07/26/1984,"Senate - Finance","Committee on Finance requested executive comment from OMB, Treasury Department.",07/31/1984,"Inouye, Daniel K. [Sen.-D-HI]","Percy, Charles H. [Sen.-R-IL]","Randolph, Jennings [Sen.-D-WV]","Mitchell, George J. [Sen.-D-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Communications and Broadcasting",Deaf,Disabled,"Income tax","Tax credits",Taxation,Television,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6029,,,,,,,,,CRS,Senate,"07/26/1984 Referred to House Committee on Ways and Means.",,"<p>Amends the Internal Revenue Code to allow an income tax credit in an amount equal to 50 percent of expenses incurred for the purchase and installation of television subtitle equipment to be used by a hearing-impaired individual. Limits the amount of such credit to $250 ($125 in the case of a married individual filing a separate return).",,,,,,
"S. 2868",https://www.congress.gov/bill/98th-congress/senate-bill/2868,"98th Congress (1983-1984)","A bill to provide that there will be a cost-of-living increase in social security and SSI benefits for 1985 without regard to whether the three percent threshold is met.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 07/25/1984)",Democratic,07/25/1984,"Senate - Finance","Committee on Finance requested executive comment from OMB, Treasury Department, Health and Human Services Department.",07/30/1984,"Bradley, Bill [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Cost of living adjustments","Economics and Public Finance",Inflation,"Old age, survivors and disability insurance","Social Welfare","Supplemental security income program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1428,,,,,,,,,CRS,,"07/31/1984 Motion by Senator Stevens to reconsider  the vote by which SP3423 and H.R.1428 were agreed to, previously entered, withdrawn in Senate.",,"<p>Provides that there will be a cost-of- living increase in benefits under Titles II (Old Age, Survivors and Disability Insurance) and XVI (Supplemental Security Income) of the Social Security Act for 1985 without regard to whether the three percent threshold is met.",,,,,,
"S. 2867",https://www.congress.gov/bill/98th-congress/senate-bill/2867,"98th Congress (1983-1984)","A bill to refund the duty paid on the entry of two mass spectrometers which should have been admitted duty-free.","Baucus, Max [Sen.-D-MT] (Introduced 07/25/1984)",Democratic,07/25/1984,"Senate - Finance","Committee on Finance requested executive comment from OMB, Treasury Department.",07/30/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Directs the Secretary of the Treasury to refund the duty paid on two mass spectrometers imported for the use of a named university in Montana.",,,,,,
"S. 2866",https://www.congress.gov/bill/98th-congress/senate-bill/2866,"98th Congress (1983-1984)","A bill to authorize the Attorney General of the United States to make grants to States for the purpose of increasing the level of State and local enforcement of State laws relating to production, illegal possession, and transfer of controlled substances; to authorize the Secretary of Health and Human Services to make grants to States for the purpose of increasing the ability of States to provide drug abuse prevention, treatment, and rehabilitation; and for other purposes.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 07/25/1984)",Democratic,07/25/1984,"Senate - Judiciary","Referred to Subcommittee on Criminal Law.",07/30/1984,"Burdick, Quentin N. [Sen.-D-ND]","D'Amato, Alfonse [Sen.-R-NY]","Hollings, Ernest F. [Sen.-D-SC]","Pryor, David H. [Sen.-D-AR]","Johnston, J. Bennett [Sen.-D-LA]","Hawkins, Paula [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Crime and Law Enforcement","Crime prevention","Drug abuse","Drug abuse prevention","Drug law and legislation","Drugs and narcotics","Federal aid to law enforcement agencies","Intergovernmental fiscal relations","Narcotic traffic","Narcotics and crime","State finance",States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5990,,,,,,,,,CRS,Senate,"07/09/1984 Referred to Subcommittee on Crime.",,"<p>State and Local Narcotics Control Assistance Act of 1984 - Authorizes the Attorney General to make grants to States to assist States and local governments to increase their drug enforcement activities.  Requires such grants to be based on the relative needs of the States, taking into consideration the severity of drug trafficking and abuse and the availability of State and local resources to resolve such problems. <p>Establishes a procedure for grant applications.  Requires such an application to include a State-wide strategy for the enforcement of State drug laws.  Imposes limitations on the use of such grants, including a maximum ten percent allocation for administrative purposes. <p>Requires each State which receives a grant to submit a yearly report to the Attorney General, who shall in turn report to Congress with respect to such grants. <p>Allows the Secretary of Health and Human Services to make grants to States for developing more effective drug prevention, treatment and rehabilitation programs. Establishes a procedure for grant applications. <p>Authorizes appropriations for both grant programs for FY 1986 through 1990.",,,,,,
"S. 2862",https://www.congress.gov/bill/98th-congress/senate-bill/2862,"98th Congress (1983-1984)","A bill to declare that the United States holds certain lands in trust for the Cocopah Indian Tribe.","DeConcini, Dennis [Sen.-D-AZ] (Introduced 07/25/1984)",Democratic,07/25/1984,"Senate - Indian Affairs (Permanent Select)","Committee on Indian Affairs. Hearings held. Hearings printed: S.Hrg. 98-1028.",08/06/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Arizona,"Federal-Indian relations","Indian lands","Native Americans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Declares all Federal interest in specified lands in Yuma County, Arizona, shall be held in trust by the United States for the Cocopah Indian Tribe of Arizona as part of its reservation. <p>Applies a certain Executive Order to such lands.",,,,,,
"S. 2860",https://www.congress.gov/bill/98th-congress/senate-bill/2860,"98th Congress (1983-1984)","A bill to amend the Federal Meat Inspection Act and the Poultry Products Inspection Act to increase the authority of the Secretary of Agriculture to refuse to provide, or withdraw, inspection service.","Melcher, John [Sen.-D-MT] (Introduced 07/25/1984)",Democratic,07/25/1984,"Senate - Agriculture, Nutrition, and Forestry","Committee on Agriculture requested executive comment from Agriculture Department.",07/31/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agriculture and Rural Affairs","Agriculture and Food","Food adulteration and inspection","Food and Food Industry",Livestock,Meat,"Meat inspection","Poultry inspection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Meat and Poultry Inspection Improvement Act - Amends the Federal Meat Inspection Act and the Poultry Products Inspection Act to permit the Secretary of Agriculture to refuse or withdraw inspection services if it is determined, after opportunity for a hearing, that an individual is unfit to engage in a business requiring food inspection because of:  (1) a conviction for food-handling or transporting violations, or any felony; or (2) interference with a Federal inspector. <p>Permits summary withdrawal or denial of Federal inspection services, pending an expedited hearing or judicial review, to protect the public health or the safety of Federal inspectors. Permits similar inspection withdrawal for recurring sanitation violations, but only after notice and opportunity for compliance.",,,,,,
"S. 2858",https://www.congress.gov/bill/98th-congress/senate-bill/2858,"98th Congress (1983-1984)","A bill for the relief of the city of Dickinson, North Dakota.","Burdick, Quentin N. [Sen.-D-ND] (Introduced 07/24/1984)",Democratic,07/24/1984,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",07/24/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation","Real property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Relieves a city in North Dakota of all obligations incurred in a contract entered into with the Secretary of the Interior concerning construction of certain facilities under the Reclamation Authorization Act of 1975, notwithstanding certain provisions of such Act. <p>Empowers the Secretary with sole responsibility for the operation, maintenance, and administration of any facilities constructed in such city under such Act.",,,,,,
